open,high,low,close,volume
24.65,24.65,24.25,24.3,3910741
24.3,24.4,24.25,24.25,1734225
24.3,24.45,24.25,24.3,1797891
24.3,24.3,24.1,24.1,1094655
24.1,24.1,23.85,23.85,2061883
23.85,23.95,23.8,23.85,1109701
23.85,24.0,23.8,24.0,662174
24.0,24.0,23.95,24.0,382619
23.95,24.0,23.8,23.85,675486
23.85,23.85,23.7,23.8,718612
23.85,24.0,23.8,23.9,1014469
23.9,23.9,23.7,23.9,1020319
23.85,23.9,23.8,23.9,297990
23.9,23.95,23.85,23.95,269667
23.95,23.95,23.8,23.8,574460
23.75,23.8,23.7,23.75,507476
23.8,23.8,23.75,23.8,280094
23.85,23.85,23.75,23.8,318035
23.8,23.85,23.75,23.85,184538
23.85,23.9,23.8,23.8,218178
23.85,23.9,23.7,23.75,584018
23.75,23.8,23.6,23.65,664895
23.6,23.75,23.6,23.7,257948
23.7,23.85,23.7,23.85,288305
23.85,23.85,23.8,23.8,113176
23.85,23.85,23.75,23.85,364983
23.8,23.85,23.75,23.8,124181
23.8,23.85,23.75,23.8,121426
23.8,23.9,23.8,23.85,336477
23.85,24.0,23.8,23.95,701072
23.95,23.95,23.75,23.8,935162
23.8,23.85,23.8,23.85,246265
23.85,23.85,23.8,23.8,60986
23.85,23.9,23.8,23.9,78228
23.9,23.9,23.85,23.9,97913
23.9,23.9,23.8,23.85,144868
23.85,23.85,23.8,23.85,93294
23.9,23.9,23.7,23.75,737039
23.75,23.75,23.7,23.75,362659
23.75,23.75,23.65,23.65,367939
23.6,23.65,23.5,23.5,810765
23.5,23.55,23.5,23.55,525700
23.55,23.55,23.5,23.55,121365
23.5,23.6,23.35,23.4,962207
23.3,23.4,23.3,23.35,422468
23.35,23.35,23.1,23.15,751001
23.1,23.25,23.1,23.2,964433
23.15,23.25,23.05,23.1,881108
23.1,23.1,23.0,23.0,784282
23.05,23.1,23.0,23.05,657775
23.0,23.05,23.0,23.05,347023
23.05,23.1,23.0,23.05,502624
23.05,23.05,22.9,22.9,762013
22.9,22.95,22.9,22.95,278570
22.95,23.1,22.9,22.95,1132149
22.95,22.95,22.85,22.9,386194
22.9,22.95,22.85,22.9,204698
22.95,23.05,22.9,23.05,614307
23.05,23.1,23.0,23.05,452676
23.05,23.15,23.05,23.1,561010
23.1,23.1,23.05,23.05,201579
23.1,23.1,23.05,23.1,143166
23.1,23.1,22.95,22.95,519562
23.0,23.0,22.95,23.0,105956
23.0,23.05,22.95,23.05,365767
23.0,23.05,23.0,23.05,269261
23.05,23.05,22.95,23.0,423384
23.0,23.0,22.9,22.9,379535
22.9,22.95,22.8,22.8,650042
22.8,22.85,22.8,22.85,230642
22.9,22.95,22.85,22.9,126028
22.95,22.95,22.9,22.95,155888
22.95,23.0,22.9,22.95,225834
22.9,22.95,22.9,22.95,71946
22.95,23.0,22.9,22.95,502353
23.0,23.0,22.95,23.0,97321
23.0,23.05,22.95,23.05,434502
23.05,23.05,23.0,23.05,186088
23.05,23.05,23.0,23.05,178793
23.05,23.15,23.0,23.15,308002
23.15,23.15,23.1,23.1,208890
23.15,23.15,23.05,23.1,163050
23.05,23.1,23.05,23.1,86223
23.1,23.1,23.05,23.1,195437
23.1,23.1,23.0,23.0,472215
22.95,23.0,22.95,23.0,183696
23.0,23.0,22.95,23.0,112427
23.0,23.0,22.95,23.0,52820
23.0,23.0,22.95,23.0,205825
23.0,23.0,22.95,23.0,67381
23.0,23.0,22.95,23.0,106528
23.0,23.0,22.95,23.0,46611
23.0,23.0,22.95,23.0,76089
23.0,23.0,22.95,23.0,36638
23.0,23.0,22.95,23.0,90925
23.0,23.0,22.95,23.0,51848
23.0,23.0,22.95,23.0,17955
23.0,23.0,22.95,22.95,38721
22.95,23.1,22.95,23.1,344864
23.1,23.1,23.0,23.05,209172
23.05,23.1,23.05,23.1,99293
23.1,23.1,23.05,23.05,37963
23.1,23.1,23.05,23.1,163815
23.1,23.1,23.05,23.1,68979
23.1,23.15,23.05,23.1,277626
23.15,23.2,23.1,23.2,249622
23.2,23.2,23.15,23.2,82407
23.15,23.2,23.15,23.2,246757
23.2,23.2,23.15,23.2,88376
23.2,23.2,23.15,23.2,83464
23.2,23.2,23.1,23.15,376076
23.15,23.15,23.1,23.15,49219
23.15,23.15,23.1,23.15,34860
23.15,23.15,23.1,23.15,28561
