open,high,low,close,volume
73.1,74.8,73.1,74.7,878223
74.75,74.75,74.25,74.25,674363
74.25,74.25,74.0,74.1,561144
74.1,74.2,73.9,73.95,701255
73.95,74.25,73.9,74.15,175146
74.2,74.2,74.05,74.1,233485
74.05,74.15,73.8,73.95,573281
73.85,74.45,73.85,74.4,181929
74.5,74.6,74.4,74.55,368991
74.55,74.6,73.75,73.75,656484
73.85,74.0,73.7,73.7,203217
73.75,73.8,73.65,73.75,189771
73.75,73.9,73.55,73.65,306355
73.7,73.9,73.6,73.75,137328
73.9,73.95,73.75,73.85,91382
73.85,74.1,73.85,74.1,97943
74.1,74.4,74.0,74.35,672925
74.35,74.35,74.05,74.1,410520
74.1,74.2,74.05,74.2,57326
74.15,74.4,74.15,74.4,191632
74.35,74.5,74.35,74.4,125141
74.4,74.5,74.4,74.45,93523
74.5,74.55,74.35,74.45,169320
74.45,74.55,74.35,74.45,139893
74.45,74.45,74.35,74.45,60218
74.45,74.5,74.4,74.5,115491
74.5,74.5,74.4,74.45,62249
74.45,74.45,74.4,74.4,68598
74.4,74.45,74.1,74.15,1258640
74.15,74.15,73.6,73.95,614609
73.95,74.0,73.85,73.9,247507
73.85,74.0,73.85,74.0,119578
74.0,74.1,73.9,74.05,262184
73.95,74.05,73.95,74.0,73707
74.0,74.0,73.85,74.0,114725
74.0,74.0,73.9,74.0,291339
73.9,74.15,73.9,74.15,85082
74.15,74.2,74.1,74.1,66440
74.15,74.2,74.05,74.15,56566
74.1,74.2,74.1,74.2,292576
74.2,74.3,74.2,74.25,69185
74.3,74.3,74.2,74.25,54852
74.3,74.35,74.2,74.3,43464
74.35,74.35,74.25,74.3,62306
74.35,74.35,74.25,74.35,36378
74.35,74.4,74.25,74.35,62159
74.35,74.4,74.2,74.2,78733
74.25,74.35,74.2,74.25,48088
74.25,74.35,74.05,74.35,251331
74.3,74.4,74.3,74.3,107748
74.35,74.4,74.3,74.3,45984
74.35,74.35,74.2,74.3,46979
74.3,74.35,74.15,74.25,208976
74.3,74.5,74.2,74.3,231891
74.35,74.35,74.3,74.35,44544
74.35,74.35,74.25,74.3,23805
74.3,74.3,74.2,74.25,38433
74.3,74.3,74.15,74.2,39195
74.25,74.3,74.2,74.25,51523
74.25,74.25,74.15,74.2,14973
74.25,74.25,74.15,74.2,15307
74.2,74.25,74.15,74.2,37524
74.2,74.2,74.05,74.05,42765
74.1,74.1,74.05,74.1,13926
74.1,74.1,74.0,74.0,36835
74.0,74.25,74.0,74.25,69416
74.2,74.3,74.2,74.25,57659
74.3,74.3,74.2,74.3,42728
74.2,74.3,74.2,74.25,48119
74.3,74.3,74.15,74.2,31335
74.2,74.2,74.15,74.2,19030
74.2,74.25,74.1,74.1,48942
74.1,74.2,74.1,74.15,27649
74.1,74.15,74.0,74.0,36153
74.0,74.05,73.85,73.85,274130
73.85,73.95,73.8,73.95,141276
73.9,73.95,73.7,73.8,289615
73.8,73.8,73.65,73.75,146856
73.7,73.75,73.35,73.45,402608
73.5,73.6,73.45,73.5,70969
73.6,73.6,73.45,73.45,128038
73.5,73.5,73.4,73.45,123163
73.5,73.5,73.35,73.5,113688
73.45,73.5,73.4,73.5,77464
73.45,73.55,73.4,73.4,105061
73.3,73.4,73.3,73.35,43678
73.35,73.4,73.25,73.4,73416
73.4,73.4,73.1,73.15,124615
73.1,73.15,72.85,72.95,625480
73.0,73.1,72.9,73.1,89756
73.05,73.1,72.8,72.85,209719
72.85,72.85,72.6,72.75,174263
72.7,73.15,72.7,73.15,133595
73.15,73.2,73.05,73.1,247344
73.15,73.15,72.9,73.0,204720
73.0,73.05,72.9,73.0,165609
73.05,73.2,73.0,73.15,103271
73.2,73.2,73.15,73.2,37620
73.15,73.2,72.85,73.0,288988
72.9,73.0,72.9,73.0,43501
73.0,73.0,72.75,72.9,128296
72.9,72.9,72.75,72.85,127438
72.85,72.9,72.8,72.8,72180
72.8,72.95,72.75,72.85,60655
72.9,72.95,72.85,72.95,25939
72.95,72.95,72.65,72.65,137067
72.7,72.75,72.65,72.75,23126
72.75,72.8,72.7,72.7,46099
72.7,72.75,72.35,72.45,275507
72.45,72.5,72.4,72.5,95580
72.5,72.55,72.4,72.45,216481
72.5,72.5,72.4,72.45,65583
72.5,72.65,72.45,72.65,47396
72.7,72.8,72.65,72.75,24717
72.75,72.95,72.7,72.9,91541
72.9,73.0,72.85,72.95,65802
73.0,73.1,72.85,73.05,69263
73.1,73.15,73.0,73.05,59548
73.05,73.15,73.0,73.1,72821
73.1,73.1,72.95,73.1,41170
73.1,73.15,73.05,73.15,38408
73.15,73.15,73.0,73.1,42816
73.05,73.1,73.0,73.1,15497
73.1,73.25,73.1,73.25,162693
73.3,73.35,73.25,73.3,59177
73.25,73.3,73.2,73.25,26744
73.25,73.25,73.2,73.25,23028
73.2,73.25,73.1,73.1,35138
73.15,73.15,73.1,73.15,14595
73.15,73.15,73.05,73.1,33545
73.1,73.15,73.05,73.1,14931
73.1,73.15,73.0,73.15,74247
73.15,73.15,73.05,73.15,13930
73.1,73.15,73.05,73.1,28896
73.15,73.15,73.05,73.1,25762
73.1,73.3,73.1,73.25,65011
73.25,73.3,73.2,73.25,31788
73.25,73.35,73.2,73.3,9321
73.25,73.3,73.2,73.3,11711
73.3,73.35,73.25,73.35,38188
73.35,73.35,73.25,73.3,24613
