open,high,low,close,volume
333.0,335.0,331.3,334.85,1745375
334.8,336.1,334.6,335.05,1211500
335.3,335.55,334.25,334.8,803080
334.7,335.3,334.55,335.3,611890
335.1,335.95,335.1,335.9,577658
335.95,336.35,335.5,336.2,758741
336.25,337.2,336.0,336.95,949657
336.85,336.95,335.75,335.95,847977
335.95,336.95,335.9,336.9,325729
336.9,337.55,336.9,337.5,481433
337.6,337.85,337.0,337.3,617530
337.15,337.2,336.4,337.0,355099
336.95,337.4,336.95,337.1,217077
337.15,337.15,335.5,335.9,463534
335.95,336.75,335.9,336.6,235201
336.75,336.75,335.7,335.95,327523
336.0,336.0,335.05,335.1,464433
335.1,336.65,335.1,336.45,468339
336.45,336.8,336.25,336.65,244916
336.6,336.6,335.8,335.8,248597
335.95,335.95,335.25,335.5,211883
335.4,335.5,334.8,335.45,586599
335.3,335.65,335.0,335.3,198716
335.3,335.35,334.8,335.25,407905
335.3,335.45,334.35,335.0,483448
335.0,335.45,334.95,335.1,262205
335.3,336.4,335.2,336.2,335533
336.2,337.45,336.2,337.45,698756
337.45,337.45,336.75,337.15,185095
337.15,337.2,336.8,337.1,189707
337.1,337.45,336.6,336.6,313459
336.75,336.75,336.1,336.25,147811
336.3,336.45,336.05,336.35,100879
336.35,336.45,335.5,335.5,342230
335.55,335.7,335.0,335.65,267962
335.55,335.75,335.4,335.7,209641
335.55,336.15,335.55,336.1,94209
336.0,336.1,335.1,335.3,179387
335.2,335.8,335.2,335.6,64713
335.55,335.7,335.3,335.6,69553
335.5,335.75,334.5,334.75,545666
334.7,335.2,334.7,334.8,145985
334.65,334.85,334.6,334.75,159938
334.65,335.3,334.65,335.1,108590
335.0,335.15,334.5,334.65,170879
334.75,335.0,334.65,334.95,149037
334.95,335.4,334.95,335.4,147960
335.35,335.45,335.0,335.05,199832
335.05,335.3,335.0,335.3,56375
335.15,335.3,334.75,334.9,94346
334.9,335.1,334.8,335.0,55273
335.1,335.3,334.9,335.1,52727
335.0,335.2,335.0,335.1,35835
335.2,335.2,334.9,335.1,90231
335.1,335.35,335.0,335.25,69238
335.35,335.5,335.05,335.3,100924
335.4,335.55,335.2,335.55,56133
335.5,335.6,335.25,335.3,78097
335.3,335.4,335.1,335.1,37425
335.2,335.3,335.1,335.2,33613
335.2,335.2,334.9,334.9,145028
334.9,334.95,334.65,334.75,79260
334.75,334.75,333.6,333.95,631785
334.0,334.0,333.75,333.8,198835
333.8,333.85,333.5,333.6,139783
333.6,333.6,333.25,333.45,195715
333.45,333.75,333.35,333.55,143772
333.55,334.15,333.5,334.15,88850
334.15,334.2,333.9,334.05,99798
333.5,334.05,332.8,332.85,466447
332.85,333.0,332.5,332.95,343894
332.85,332.95,332.7,332.95,90770
333.0,333.4,332.9,333.2,168485
333.1,333.4,333.1,333.15,80040
333.2,333.25,333.0,333.05,142861
333.0,333.1,332.8,332.9,132197
332.9,333.05,332.6,332.7,129039
332.7,332.7,332.05,332.15,406754
332.3,332.35,331.65,331.75,374651
332.0,332.25,331.95,332.1,177936
332.1,332.5,331.65,332.1,344315
331.95,332.1,330.25,330.25,840270
330.15,330.9,329.75,330.6,1091454
330.6,330.65,330.0,330.5,295902
330.6,330.95,330.1,330.85,216246
330.9,331.0,330.05,330.05,303765
330.15,330.2,328.8,329.25,666253
329.25,329.8,329.1,329.45,250495
329.3,329.4,328.65,329.35,272082
329.35,329.95,329.1,329.9,178154
