open,high,low,close,volume
283.0,284.3,283.0,283.95,28412
283.6,285.0,283.6,283.7,39675
283.65,284.15,283.65,283.9,22268
283.75,284.15,283.25,283.4,20835
283.4,283.9,283.35,283.65,14869
283.6,284.8,283.6,284.0,21189
284.15,284.45,283.9,284.15,11237
284.1,284.7,284.1,284.65,11487
284.65,284.7,283.8,284.0,23105
284.0,284.25,283.9,283.9,8696
283.95,283.95,283.3,283.45,10607
283.45,283.55,283.25,283.3,11229
283.2,283.4,282.8,283.05,18631
283.05,283.95,282.85,283.9,19047
283.9,283.9,283.45,283.85,3318
283.85,284.45,283.65,283.8,18864
283.65,284.2,283.6,284.15,7812
284.25,284.85,284.25,284.75,22227
284.8,285.2,284.45,284.6,26374
284.6,285.4,284.6,285.0,59454
284.9,285.5,284.65,284.9,26500
284.8,285.2,284.65,285.1,18013
285.1,285.1,284.65,284.8,10361
284.8,285.0,284.7,284.9,7531
284.8,285.1,284.8,285.1,9203
285.0,285.5,285.0,285.15,12521
285.1,285.4,285.1,285.35,10922
285.35,285.5,285.1,285.4,20739
285.5,285.6,285.4,285.45,13953
285.5,285.5,284.9,284.95,41477
284.95,285.15,284.7,284.75,10978
284.75,285.15,284.65,285.15,9732
285.15,285.15,284.95,285.15,10721
285.2,285.25,284.95,285.15,7772
285.15,285.45,285.1,285.35,6370
285.35,285.4,285.15,285.15,3405
285.15,285.25,285.1,285.2,4752
285.2,285.2,284.9,285.0,21415
285.0,285.25,284.95,285.25,11836
285.3,285.5,285.2,285.45,14904
285.3,285.45,285.0,285.0,47947
285.0,285.75,284.9,285.55,55784
285.6,285.6,285.15,285.25,20527
285.25,285.25,284.05,284.3,69561
284.3,284.35,283.95,284.05,33176
284.15,284.2,283.45,283.85,33369
283.85,284.15,283.7,283.95,14133
283.85,284.25,283.85,284.05,15056
284.05,284.05,283.85,283.9,9967
283.95,284.05,283.95,284.05,11008
284.05,284.2,283.9,284.2,12859
284.2,284.2,284.0,284.1,5813
284.1,284.2,284.1,284.2,3416
284.1,284.5,284.1,284.35,8368
284.35,284.35,284.1,284.3,6716
284.3,284.3,284.0,284.1,5455
284.1,284.2,284.0,284.15,3599
284.15,284.15,283.9,284.0,6559
283.85,284.0,283.8,284.0,6769
284.0,284.15,283.95,284.15,8730
284.15,284.15,284.05,284.15,1691
284.05,284.3,284.05,284.3,8114
284.3,284.3,284.1,284.25,4230
284.25,284.25,284.05,284.1,4626
284.05,284.1,283.85,283.95,3695
283.95,284.0,283.85,283.95,7073
283.9,284.3,283.9,284.2,8846
284.2,284.3,284.1,284.2,5192
284.2,284.25,284.0,284.1,7545
284.1,284.15,284.0,284.1,4530
284.1,284.1,283.8,283.85,6881
283.8,284.1,283.8,283.95,5257
283.95,284.1,283.95,284.1,2099
284.1,284.3,283.95,284.15,13575
284.15,284.4,284.15,284.4,9682
284.3,284.4,284.15,284.15,2466
284.15,284.2,284.1,284.15,2173
284.15,284.35,284.1,284.25,5395
284.25,284.25,284.1,284.1,3111
284.1,284.15,283.8,283.85,18419
283.85,283.85,283.35,283.55,20707
283.55,283.65,283.1,283.5,31082
283.5,283.65,283.3,283.45,17444
283.45,283.9,283.3,283.6,8107
283.55,283.75,283.5,283.75,2609
283.75,283.8,283.2,283.35,19610
283.35,283.65,283.35,283.5,12479
283.5,283.65,283.25,283.35,6197
283.35,283.6,283.35,283.5,3884
283.5,283.6,283.4,283.6,997
283.55,283.65,283.4,283.65,13899
283.8,285.0,283.7,284.5,44030
284.45,284.55,284.4,284.55,3221
284.5,284.75,284.35,284.65,7129
284.65,284.75,284.5,284.55,861
284.55,284.95,284.55,284.95,8303
285.0,285.0,284.7,284.8,6510
284.8,284.8,284.45,284.55,6058
284.35,284.55,284.2,284.5,5070
284.5,284.5,284.35,284.5,2316
284.5,284.6,284.35,284.55,2397
284.55,284.55,284.35,284.45,3143
284.4,284.45,284.35,284.35,5507
284.4,284.4,284.25,284.35,2698
284.35,284.5,284.25,284.5,8748
284.5,284.6,284.4,284.55,3126
284.55,284.95,284.5,284.5,4957
284.5,285.0,284.35,284.95,14726
284.95,284.95,284.75,284.85,1661
284.85,284.85,284.6,284.65,1089
284.65,284.65,284.3,284.55,8954
284.55,284.6,284.5,284.6,1349
284.6,284.6,284.5,284.6,1316
284.6,284.6,284.45,284.55,5474
284.55,284.6,284.45,284.6,1025
284.6,284.6,284.45,284.6,2599
284.5,284.6,284.5,284.55,3790
284.55,284.6,284.5,284.5,1590
284.6,284.65,284.45,284.55,6397
284.5,284.65,284.45,284.45,5518
284.55,284.7,284.45,284.45,3802
284.55,284.55,284.05,284.25,10894
284.25,284.25,284.1,284.25,1585
284.25,284.4,284.25,284.3,2528
284.3,284.3,283.8,284.0,12830
284.0,284.0,283.85,284.0,1139
283.95,284.1,283.85,283.95,11575
283.95,284.0,283.55,283.7,11020
283.55,283.9,283.55,283.8,3767
283.7,284.1,283.7,284.1,10120
284.1,284.3,284.0,284.15,9748
284.15,284.15,284.1,284.15,3782
284.15,284.15,284.05,284.15,3380
284.15,284.2,284.15,284.2,1426
284.2,284.2,284.05,284.15,4837
284.1,284.15,284.0,284.15,7202
284.15,284.25,284.05,284.25,2344
284.15,284.3,284.15,284.25,6048
284.2,284.25,284.15,284.25,1781
284.25,284.25,284.2,284.25,2678
284.15,284.25,284.15,284.25,1506
284.2,284.25,284.2,284.25,2752
284.25,284.25,284.05,284.15,4712
284.05,284.2,284.0,284.2,1133
284.2,284.3,284.15,284.3,1414
284.3,284.3,284.2,284.3,1704
284.3,284.35,284.2,284.35,4448
