open,high,low,close,volume
529.85,530.5,528.3,529.15,294804
529.1,529.5,527.8,527.8,92863
527.95,528.4,527.4,527.7,76171
527.7,528.8,527.15,527.75,67525
527.9,528.15,527.3,527.5,63590
527.8,528.9,527.6,528.25,41998
528.2,528.5,527.5,527.75,24185
527.75,527.75,526.25,526.6,69574
526.65,526.95,526.1,526.3,44297
526.3,526.6,526.05,526.25,37991
526.3,526.4,526.0,526.2,37892
526.3,527.2,526.3,526.75,47199
526.3,527.0,525.85,526.45,96061
526.4,527.6,526.05,527.5,39869
527.55,527.8,526.7,527.1,41093
527.15,527.65,527.05,527.1,27591
527.25,527.5,527.0,527.25,24073
527.25,527.6,527.0,527.5,11827
527.5,527.75,527.0,527.4,23653
527.4,527.4,526.5,526.5,13125
526.15,526.75,525.75,526.0,70069
525.85,526.2,525.6,525.95,43615
525.95,526.0,525.5,525.75,24631
525.85,526.2,525.6,525.95,19540
525.75,525.95,525.5,525.7,26333
525.65,526.0,525.55,525.8,15562
525.6,526.0,525.5,525.8,10968
525.85,526.2,525.8,525.95,10915
525.95,526.4,525.9,526.25,18342
526.25,526.9,526.1,526.25,33118
526.05,526.4,525.95,526.25,15599
526.25,526.65,526.15,526.4,11306
526.65,526.95,526.45,526.7,14409
526.7,526.9,526.3,526.4,11493
526.4,526.55,526.0,526.0,12793
526.0,526.15,525.55,525.6,16682
525.6,525.85,525.5,525.6,15914
525.5,525.9,525.25,525.45,43825
525.4,525.85,525.4,525.6,12101
525.6,525.75,525.35,525.6,15691
525.6,525.6,525.3,525.3,15943
525.05,525.6,525.0,525.05,28893
525.05,525.4,525.05,525.15,13661
525.15,525.3,524.5,524.75,96675
524.5,524.95,524.15,524.9,43611
524.95,525.0,524.5,524.95,15297
524.8,525.0,524.75,524.8,9080
525.0,525.85,524.8,525.8,65346
525.75,525.75,525.0,525.05,31002
525.05,525.7,525.05,525.5,14591
525.5,525.65,525.1,525.35,11934
525.5,525.9,525.3,525.4,33456
525.55,525.6,525.3,525.55,12122
525.4,525.6,525.0,525.0,14112
525.0,525.25,525.0,525.0,31308
525.15,525.25,524.7,524.7,28165
525.0,525.0,524.7,524.75,8730
524.75,524.75,524.05,524.25,46856
524.2,524.3,523.7,523.85,38905
523.85,524.2,523.7,523.85,41566
524.15,524.3,524.0,524.15,11139
524.05,524.3,523.9,524.05,15100
524.05,524.15,523.85,524.05,15306
524.1,524.2,523.95,524.0,8051
524.1,524.15,523.8,524.15,14951
524.1,524.2,524.0,524.2,9930
524.05,524.3,524.0,524.1,8216
524.05,524.3,524.0,524.3,17109
524.3,524.3,524.05,524.1,3854
524.1,524.35,524.05,524.3,7862
524.25,524.8,524.15,524.5,17125
524.45,524.7,524.25,524.65,15819
524.65,524.75,524.55,524.7,9778
524.5,524.9,524.35,524.55,14322
524.55,525.3,524.55,524.75,29976
524.75,524.85,524.1,524.35,19422
524.1,524.6,524.1,524.15,7697
524.15,524.3,524.0,524.1,7507
524.0,524.25,523.8,523.8,18686
523.8,523.85,523.0,523.0,54891
523.05,523.35,522.75,523.25,45493
523.25,523.35,523.05,523.1,15960
523.1,523.4,522.6,522.6,39121
522.65,522.8,522.05,522.05,53757
522.15,522.5,521.9,522.0,85761
522.0,522.2,521.8,522.0,36743
521.9,522.25,521.8,522.0,22181
522.0,523.0,521.9,522.65,44354
522.7,522.7,522.1,522.1,17117
522.05,522.9,522.05,522.7,9931
522.6,523.7,522.55,523.6,34616
523.45,524.1,523.45,523.8,31815
523.8,524.0,523.75,523.8,16254
523.8,524.95,523.75,524.05,47035
524.05,524.7,524.05,524.5,30503
524.6,525.1,524.4,524.9,35541
524.95,525.45,524.6,525.15,44284
525.15,525.4,524.95,525.1,8799
524.9,525.8,524.9,525.6,28380
525.35,525.8,525.2,525.8,13707
525.55,525.8,525.0,525.1,8939
525.1,525.3,525.0,525.05,3433
525.0,526.45,525.0,525.9,65148
525.9,526.05,525.7,525.85,9914
525.85,525.85,525.4,525.5,9022
525.5,525.5,525.25,525.45,3811
525.45,525.75,525.2,525.75,13598
525.75,525.95,525.45,525.8,12595
525.8,525.8,525.5,525.6,5076
525.6,525.8,525.5,525.65,3797
525.55,525.8,525.2,525.45,11113
525.25,525.45,525.0,525.1,20998
525.15,525.8,525.0,525.7,31109
525.7,525.7,525.1,525.3,7302
525.3,525.4,524.65,524.65,13833
524.75,525.65,524.7,524.9,15142
524.95,525.25,524.7,524.85,4998
524.85,525.0,524.6,524.75,7115
524.7,525.0,524.6,524.8,4549
524.8,524.8,524.6,524.75,2932
524.75,525.05,524.65,524.85,8995
524.85,525.35,524.7,525.05,8424
525.0,525.05,524.6,524.9,6973
524.9,524.9,524.1,524.35,23408
524.35,524.5,523.7,524.0,18872
524.0,524.2,523.8,524.15,22074
523.95,524.5,523.95,524.2,25139
524.2,524.9,524.2,524.9,6301
524.9,525.0,524.55,524.9,6091
524.65,525.4,524.65,525.3,20936
525.3,525.7,525.2,525.45,10177
525.45,525.45,525.1,525.2,4926
525.1,525.2,525.0,525.1,4119
525.1,525.4,525.0,525.3,6974
525.3,525.3,525.0,525.25,2817
525.25,525.5,525.25,525.4,6332
525.4,526.15,525.25,526.15,32130
526.2,526.4,525.55,525.95,25272
525.95,526.3,525.85,526.2,11680
526.2,526.45,526.0,526.1,42155
526.4,526.4,525.6,525.7,11118
525.7,526.4,525.55,526.35,28902
526.25,526.35,525.7,526.0,8610
526.0,526.1,525.8,526.1,5702
525.95,526.1,525.85,526.0,5454
525.85,526.05,525.85,525.95,6760
525.8,526.3,525.8,526.25,10999
526.25,526.75,526.25,526.5,22709
526.45,526.75,526.45,526.75,8349
526.65,526.85,526.45,526.55,16922
526.55,526.65,526.0,526.1,14281
526.1,526.4,526.0,526.25,6312
526.1,526.4,526.0,526.25,4026
526.25,526.35,525.85,526.25,8849
526.25,526.35,526.05,526.2,4369
526.2,526.35,526.1,526.3,4422
526.3,527.35,526.1,526.8,79434
526.8,526.95,526.4,526.85,6867
526.85,526.85,526.55,526.85,6224
526.7,526.85,526.55,526.8,15294
526.7,526.9,526.7,526.7,9359
526.7,526.8,526.6,526.65,6640
526.65,527.4,526.6,527.1,25734
527.0,527.05,526.5,526.75,13386
526.75,527.3,526.75,527.2,7709
527.25,527.3,527.0,527.3,9196
527.2,527.3,526.75,527.0,9109
527.0,527.0,526.85,526.9,6880
526.9,527.0,526.85,526.95,4209
527.0,527.0,526.55,526.85,7468
526.6,526.85,526.15,526.2,7575
526.15,526.2,525.9,526.2,26504
526.3,526.3,526.0,526.15,5020
526.05,526.3,526.0,526.05,4366
526.05,526.2,525.95,525.95,8980
525.95,526.05,525.5,525.8,7921
525.9,526.2,525.75,526.2,6672
526.2,526.4,526.1,526.3,10009
526.3,526.65,526.15,526.55,14065
526.6,526.8,526.35,526.7,8930
526.7,526.7,526.2,526.6,5316
526.6,526.6,526.2,526.35,5723
526.35,526.7,526.2,526.4,6943
526.4,526.4,525.8,525.85,7370
525.85,525.95,525.1,525.6,22607
525.6,525.85,525.2,525.2,18718
525.25,525.55,525.2,525.35,4899
525.3,525.6,525.25,525.6,4710
525.6,525.6,525.25,525.4,6106
525.25,525.8,525.2,525.75,5759
525.75,525.8,525.5,525.75,4438
525.7,525.75,525.2,525.4,7997
525.4,525.4,525.0,525.25,10651
525.15,525.45,525.0,525.25,10937
525.15,525.35,525.0,525.3,34332
525.05,525.3,524.75,525.0,15679
525.15,525.15,524.6,524.75,19226
524.75,524.75,524.1,524.4,28827
524.4,524.55,524.05,524.4,12657
524.35,524.5,524.1,524.35,19596
524.3,524.95,524.25,524.3,16302
524.4,524.5,524.2,524.3,15430
524.25,524.65,524.2,524.25,13318
524.25,524.45,523.55,524.0,45953
523.9,524.45,523.75,524.45,17272
524.2,524.45,524.0,524.3,14542
524.1,524.3,524.05,524.3,12272
524.25,524.25,523.8,523.8,17167
523.85,524.1,523.65,523.85,10728
523.85,523.95,523.55,523.9,19378
523.75,523.9,523.5,523.6,14897
523.5,523.7,523.05,523.1,50698
523.1,523.45,523.0,523.2,18100
523.0,523.5,523.0,523.3,12517
523.3,523.4,523.15,523.3,13358
523.25,523.35,523.0,523.05,12867
523.05,523.3,522.7,522.95,36163
522.9,523.3,522.9,523.05,15175
523.0,523.3,522.9,522.95,19955
522.9,523.3,522.75,523.05,18440
523.05,523.35,523.0,523.35,18261
523.2,523.45,523.0,523.4,16864
523.2,523.4,522.65,523.0,47274
522.9,523.0,522.55,523.0,34896
522.95,523.5,522.7,523.2,32787
523.25,523.3,522.9,523.2,13513
523.2,524.1,523.1,523.6,42101
523.55,524.35,523.55,523.95,39024
523.95,523.95,523.7,523.7,4454
523.85,523.9,523.15,523.4,51367
523.55,523.9,523.25,523.85,11068
523.85,523.85,523.5,523.85,9084
523.6,523.85,523.5,523.55,8981
523.8,524.55,523.6,524.45,34251
524.3,524.5,523.9,524.25,15678
524.35,524.4,523.85,524.15,10399
524.15,524.25,523.8,524.0,6761
524.0,524.05,523.2,523.5,17040
523.5,523.6,523.0,523.3,27189
523.3,523.4,523.0,523.15,35408
