open,high,low,close,volume
528.85,528.85,527.6,528.8,8749
528.8,528.8,527.55,528.1,6362
528.0,528.0,527.75,527.9,6504
527.5,528.0,527.5,527.9,5547
527.9,528.6,527.7,528.25,5868
528.3,528.75,528.15,528.6,6787
528.75,529.95,528.6,529.9,7812
529.6,529.65,528.8,528.8,3827
528.8,528.85,528.7,528.7,1078
528.6,529.85,528.6,529.55,6423
529.75,529.75,528.7,528.7,3023
528.6,528.65,528.35,528.4,1402
528.4,528.5,528.35,528.45,1277
528.45,529.55,528.4,529.55,6626
529.55,529.55,529.3,529.5,1432
529.45,529.9,529.25,529.25,8752
529.3,529.6,529.0,529.1,2410
529.1,529.3,529.0,529.0,1544
529.0,529.25,528.95,529.0,1270
528.95,529.05,528.95,529.05,1168
528.95,529.25,528.9,529.0,1918
529.1,529.8,529.0,529.75,5077
529.75,529.85,529.4,529.55,5758
529.65,529.65,529.4,529.45,1759
529.2,529.5,529.2,529.35,1598
529.35,529.65,529.35,529.4,5932
529.6,529.6,529.4,529.6,303
529.6,529.65,529.5,529.65,2620
529.65,529.65,529.45,529.45,1972
529.45,529.5,529.4,529.5,254
529.5,529.5,529.0,529.2,2781
529.2,529.2,528.35,528.6,9800
528.6,528.75,528.5,528.6,2096
528.6,528.65,528.05,528.35,5547
528.05,528.35,528.05,528.1,2358
528.05,528.25,527.55,527.9,4036
527.9,527.95,527.5,527.7,4033
527.7,527.95,527.65,527.95,2917
527.85,527.9,527.6,527.85,2012
527.65,528.0,527.65,528.0,1577
528.0,528.1,527.9,528.0,1336
527.9,528.0,527.9,527.95,792
527.95,527.95,527.6,527.6,2149
527.5,527.7,527.0,527.05,3212
527.05,527.1,527.0,527.0,2503
527.0,527.6,526.6,527.3,10202
527.3,527.7,527.25,527.35,3778
527.35,528.0,527.35,528.0,1732
527.75,528.0,527.5,527.8,2288
527.5,527.8,527.5,527.55,1797
527.55,527.8,527.5,527.55,1512
527.55,527.75,527.25,527.25,1273
527.3,527.35,527.0,527.3,2156
527.3,527.3,527.1,527.1,77
527.25,527.25,527.1,527.1,448
527.1,527.25,527.1,527.1,969
527.1,527.2,526.75,526.9,1730
526.9,526.9,526.45,526.6,5644
526.6,526.7,526.6,526.65,1250
526.65,526.65,526.6,526.65,485
526.65,527.0,526.6,526.9,2468
526.9,526.95,526.65,526.65,1625
526.65,526.65,526.25,526.6,6396
526.35,526.6,526.35,526.35,766
526.25,526.35,526.0,526.0,1828
526.0,526.1,526.0,526.1,2547
526.1,526.6,526.0,526.6,2184
526.6,526.6,526.1,526.5,2373
526.5,526.6,526.3,526.5,2172
526.5,526.55,526.15,526.5,992
526.5,526.6,526.2,526.2,3246
526.2,526.3,526.2,526.3,351
526.3,526.65,526.2,526.2,1305
526.2,527.05,526.2,527.05,5738
527.05,527.1,526.75,527.1,2059
526.8,527.1,526.8,527.1,1475
526.85,527.15,526.85,527.15,472
527.15,527.35,527.1,527.15,1310
527.4,527.4,527.0,527.25,1366
526.95,527.25,526.6,526.85,2256
526.85,526.85,526.45,526.5,1014
526.5,526.7,526.35,526.4,1175
526.4,526.55,526.35,526.35,296
526.55,526.6,526.3,526.3,1515
526.5,526.5,526.3,526.35,258
526.35,526.45,526.1,526.1,1235
526.35,526.35,525.7,526.0,3947
526.0,526.0,525.8,526.0,521
526.0,526.0,525.85,526.0,809
525.9,526.0,525.75,526.0,1140
526.0,526.3,525.75,526.3,1732
526.3,526.95,526.3,526.7,2306
526.7,526.9,526.55,526.55,1905
526.9,527.2,526.6,527.2,1051
527.2,527.2,526.7,527.0,327
527.0,527.0,526.75,526.9,677
526.9,526.9,526.8,526.8,190
526.8,527.05,526.8,526.9,775
526.9,527.0,526.75,526.9,642
526.9,526.9,526.8,526.85,648
526.85,526.85,526.75,526.75,104
526.7,526.8,526.3,526.35,2105
526.35,526.55,526.35,526.5,59
526.5,526.55,526.5,526.5,814
526.5,526.5,526.35,526.35,201
526.35,526.55,526.35,526.45,531
526.55,526.55,526.4,526.5,869
526.55,526.7,526.5,526.55,699
526.55,526.8,526.55,526.55,503
526.75,526.75,526.6,526.6,147
526.6,526.8,526.6,526.8,721
526.8,527.25,526.6,527.1,6058
527.1,527.1,526.8,527.0,1076
527.0,527.0,526.7,526.85,478
526.95,526.95,526.8,526.8,1271
526.8,526.85,526.45,526.45,290
526.45,526.45,526.0,526.3,3776
526.3,526.3,526.05,526.05,480
526.15,526.15,525.8,525.8,1589
525.85,525.9,525.7,525.85,1452
525.85,525.85,525.75,525.8,601
525.8,525.85,525.7,525.85,1238
525.85,525.85,525.8,525.85,676
525.8,525.85,525.5,525.6,1042
525.45,525.6,525.4,525.4,1509
525.55,525.55,525.4,525.55,1249
525.5,525.55,525.15,525.35,1508
525.35,525.35,525.0,525.1,3268
525.1,525.15,525.05,525.1,1239
525.2,525.45,525.2,525.2,1012
525.2,525.4,525.1,525.4,664
525.4,526.05,525.4,525.95,5450
525.95,525.95,525.9,525.95,577
525.95,526.0,525.6,525.7,892
525.8,525.8,525.65,525.75,307
525.75,525.8,525.7,525.8,940
525.8,526.95,525.8,526.5,23776
526.15,526.5,526.15,526.5,1047
526.5,526.5,525.5,525.9,2305
525.9,525.9,525.5,525.7,1385
525.7,525.7,525.5,525.5,324
525.5,525.5,525.0,525.5,4532
525.45,525.45,525.1,525.1,910
525.1,525.3,525.1,525.2,1120
525.2,525.2,525.0,525.2,2241
525.05,525.2,525.0,525.1,2976
525.2,525.2,525.1,525.15,634
525.15,525.2,525.0,525.2,2491
525.25,525.3,525.0,525.25,2470
525.3,525.3,525.15,525.25,806
525.3,525.3,525.15,525.3,186
525.3,525.3,525.15,525.25,794
525.25,525.25,525.15,525.2,678
525.2,525.95,525.2,525.95,1881
525.9,525.95,525.8,525.9,2630
525.65,525.9,525.35,525.65,1617
525.75,525.85,525.05,525.65,8042
525.65,525.65,525.4,525.6,885
525.6,525.65,525.4,525.45,809
525.6,525.6,525.4,525.4,1053
525.5,525.5,525.25,525.35,673
525.35,525.35,525.25,525.25,201
525.3,525.3,525.2,525.2,834
525.2,525.6,525.2,525.5,467
525.5,525.6,525.5,525.5,918
525.5,525.8,525.5,525.6,722
525.6,525.85,525.6,525.8,958
525.8,525.8,525.8,525.8,590
525.8,526.2,525.8,526.15,1992
526.15,526.15,526.05,526.05,351
526.05,526.05,525.75,525.85,760
525.85,525.85,525.7,525.75,151
525.75,525.75,525.35,525.4,2321
