open,high,low,close,volume
295.6,296.7,295.35,296.4,141291
296.4,297.3,296.25,296.9,147006
296.9,297.85,296.7,297.35,215937
297.5,297.75,297.15,297.6,250231
297.65,297.65,295.8,295.95,151924
296.2,296.35,294.35,295.05,175913
294.95,295.9,294.55,295.85,77378
295.8,295.9,295.25,295.7,41550
295.65,295.7,294.85,295.0,44120
294.95,295.05,294.5,294.6,29140
294.6,294.75,294.0,294.0,72056
294.05,294.15,293.6,293.6,54209
293.7,294.1,293.65,293.7,35814
293.8,294.05,293.1,294.05,250143
294.05,294.45,293.65,294.0,240352
294.0,294.55,293.95,294.3,38285
294.3,294.7,294.2,294.4,33083
294.4,294.85,294.35,294.8,33488
294.8,295.5,294.8,295.35,150712
295.4,295.4,295.0,295.35,24407
295.15,295.25,294.6,294.95,33795
294.95,294.95,294.45,294.8,44036
294.8,295.15,294.7,295.0,32352
295.05,295.1,294.8,295.1,9504
295.1,295.1,294.9,295.05,10260
295.05,295.25,294.95,294.95,21271
294.95,295.25,294.85,295.15,7874
295.15,295.75,295.0,295.6,29345
295.6,295.8,295.55,295.8,14131
295.8,296.0,295.65,295.85,31736
296.0,296.0,295.65,295.7,16594
295.8,295.85,295.65,295.8,6390
295.8,295.9,295.65,295.8,20767
295.85,295.85,295.65,295.7,7239
295.65,296.6,295.65,296.6,34055
296.7,296.75,296.35,296.35,25760
296.5,296.7,296.25,296.7,12089
296.75,296.75,296.3,296.45,11791
296.45,296.45,295.65,295.75,25088
295.75,296.4,295.75,296.1,24381
296.1,296.1,295.4,295.45,11092
295.45,296.5,295.45,296.1,21681
296.15,296.25,295.85,295.9,4906
295.85,295.95,295.1,295.45,9854
295.3,295.5,295.0,295.1,32710
295.0,295.2,294.7,294.75,17255
294.75,295.1,294.5,295.1,26891
295.05,295.7,295.05,295.4,11267
295.4,295.6,295.0,295.15,8774
295.0,295.55,295.0,295.35,4515
295.5,295.9,295.35,295.85,9355
295.85,295.9,295.6,295.65,8012
295.65,295.9,295.55,295.85,5096
295.85,295.9,295.25,295.25,6361
295.25,295.25,295.0,295.05,6184
295.05,295.65,295.0,295.1,11251
295.1,295.2,294.6,294.65,10418
294.6,294.7,293.6,293.6,49309
293.7,294.1,293.55,293.8,37776
293.8,293.8,293.55,293.65,11660
293.7,294.05,293.6,293.95,16337
293.95,294.2,293.6,293.7,31446
293.65,293.75,293.4,293.6,22427
293.6,293.8,293.2,293.2,32190
293.2,293.4,293.1,293.1,19989
293.1,293.8,292.95,293.7,51887
293.7,293.8,293.35,293.6,13837
293.6,293.95,293.55,293.7,11454
293.6,293.75,293.5,293.6,4911
293.6,293.75,293.4,293.45,12817
293.45,293.5,292.7,292.75,27832
292.7,293.3,292.6,292.85,28620
293.05,293.05,292.8,293.0,12560
292.95,293.2,292.65,293.0,15452
293.0,293.5,293.0,293.35,11181
293.35,293.4,292.75,292.75,5106
292.75,292.95,292.7,292.85,10239
292.7,293.0,292.6,292.9,15907
293.0,293.0,292.65,292.8,7914
292.65,292.85,292.2,292.35,46959
292.3,292.45,292.0,292.3,33517
292.2,292.9,292.1,292.9,18731
292.75,293.2,292.75,293.0,12962
293.1,293.4,292.95,292.95,11818
292.95,293.0,292.75,293.0,10235
292.9,293.0,292.25,292.35,11688
292.35,292.55,292.1,292.2,12183
292.2,292.3,291.7,292.15,50637
292.3,292.55,292.05,292.35,10644
292.45,292.7,292.35,292.65,6395
292.65,293.25,292.6,293.05,19581
293.05,293.6,293.0,293.3,28599
293.3,293.45,293.05,293.25,4655
293.25,293.75,293.25,293.4,15478
293.4,293.5,293.25,293.45,7645
293.45,293.8,293.25,293.7,9287
293.7,294.0,293.5,293.75,10312
293.7,293.75,293.0,293.15,7827
292.65,293.35,292.65,293.1,27682
293.2,293.2,293.0,293.0,4753
293.0,293.0,292.55,292.55,9670
292.6,292.8,292.25,292.35,10436
292.25,292.7,292.2,292.4,3474
292.25,292.9,292.25,292.8,7145
292.8,292.8,292.35,292.7,5099
292.7,293.0,292.4,293.0,9462
293.0,293.3,292.85,293.3,4562
293.1,293.55,293.1,293.35,7681
293.4,293.75,293.05,293.25,61842
293.35,293.7,293.2,293.4,18491
293.4,293.8,293.25,293.55,8682
293.7,293.7,293.3,293.45,3551
293.45,293.7,293.35,293.65,4781
293.65,293.65,293.3,293.5,5443
293.5,293.6,293.4,293.55,2191
293.5,293.95,293.4,293.8,27726
293.8,294.15,293.8,293.9,15976
293.95,294.0,293.6,293.6,6017
293.65,293.75,293.6,293.6,5107
293.6,293.65,293.5,293.55,3558
293.55,293.85,293.5,293.75,5653
293.75,293.95,293.6,293.85,2159
293.85,294.0,293.7,293.95,2937
293.9,294.0,293.6,293.7,13302
293.7,293.7,293.25,293.25,7611
293.25,293.5,293.05,293.3,2819
293.25,293.3,293.0,293.25,8538
293.25,293.45,293.05,293.3,9760
293.3,293.35,293.15,293.25,2863
293.25,293.75,293.15,293.7,4507
293.7,294.15,293.55,294.1,16170
294.15,294.15,293.95,294.05,5685
294.05,294.05,293.85,293.9,9809
293.9,294.0,293.75,293.75,6773
293.75,293.95,293.75,293.95,1729
293.95,294.2,293.85,294.2,13532
294.05,295.35,294.05,295.1,52221
295.15,295.15,294.8,294.9,13753
294.9,294.95,294.7,294.85,7948
294.85,294.95,294.7,294.7,4747
294.8,295.0,294.6,294.8,17905
294.8,294.95,294.7,294.85,3397
294.9,294.9,294.7,294.75,8644
294.75,294.8,294.7,294.7,2092
294.7,295.0,294.6,294.85,20738
294.85,294.85,294.1,294.3,9713
294.3,294.8,294.2,294.7,11971
294.7,294.7,294.2,294.4,9242
294.4,295.2,294.4,295.15,51929
295.15,295.15,294.85,294.95,4683
295.0,295.1,294.8,294.85,5366
294.95,295.3,294.95,295.2,20217
295.2,295.3,295.05,295.3,5567
295.3,295.8,295.3,295.8,27467
295.8,295.8,295.5,295.7,12273
295.7,295.75,295.6,295.6,5633
295.6,296.5,295.6,296.4,84955
296.45,296.85,296.25,296.6,29012
296.7,296.8,296.1,296.15,41243
296.5,296.55,296.25,296.25,30920
296.4,297.0,296.2,296.75,52268
296.95,297.35,296.8,297.0,46923
297.15,297.15,296.5,296.55,45675
296.7,296.8,296.55,296.7,7249
296.75,296.8,296.4,296.5,12106
296.6,296.6,296.25,296.35,12122
296.25,296.5,296.25,296.45,13691
296.5,296.75,296.4,296.6,30619
296.6,296.9,296.55,296.75,9794
296.9,296.9,296.5,296.5,19219
296.5,296.5,296.0,296.2,21688
