open,high,low,close,volume
237.0,237.75,235.9,237.4,38500
237.4,237.7,237.0,237.45,42963
237.55,237.95,237.15,237.85,39998
237.8,238.0,237.25,237.8,58067
237.8,238.35,237.8,238.05,25064
238.05,238.75,238.05,238.65,23148
238.65,238.65,237.8,238.45,34227
238.5,239.0,238.3,238.6,52436
238.6,238.7,237.9,238.1,9478
238.05,238.1,237.5,237.5,17075
237.45,237.85,237.25,237.25,10597
237.2,237.55,237.2,237.3,12706
237.3,237.6,237.3,237.5,5809
237.5,238.0,237.5,237.95,4390
237.95,238.2,237.6,237.65,4334
237.8,237.95,237.65,237.65,3279
237.65,238.25,237.6,237.95,14769
237.95,238.4,237.85,238.4,5391
238.4,238.5,237.75,237.75,2722
237.75,238.0,237.75,237.9,3667
238.0,238.25,237.85,237.95,6723
237.95,238.35,237.55,238.25,17054
238.25,238.4,237.9,237.9,10567
238.0,238.5,237.75,238.45,7919
238.45,238.5,238.0,238.35,15298
238.4,238.45,237.9,238.1,17054
238.3,238.3,238.05,238.1,2203
238.1,238.3,237.9,238.25,11802
238.4,239.0,238.4,238.75,30542
238.8,238.9,238.6,238.9,3835
238.9,238.95,238.3,238.3,8115
238.3,238.55,238.05,238.1,6768
238.15,238.5,238.05,238.15,10207
238.25,238.45,238.05,238.15,13648
238.25,238.7,238.15,238.6,13400
238.6,238.6,238.3,238.3,2931
238.3,238.5,238.15,238.4,2979
238.4,238.4,238.2,238.35,4627
238.35,238.35,238.1,238.2,1788
238.2,238.25,238.0,238.05,9529
238.1,238.7,238.0,238.6,12424
238.7,238.9,238.55,238.85,36837
238.85,238.85,238.55,238.65,2192
238.65,238.7,238.45,238.45,2964
238.45,238.6,238.2,238.55,5795
238.45,238.45,237.85,238.0,24387
238.0,238.1,237.85,237.9,4408
238.0,238.2,238.0,238.1,9821
238.1,238.15,238.0,238.1,8011
238.1,238.4,238.0,238.1,4656
238.15,238.4,238.0,238.4,8281
238.4,238.9,238.35,238.8,32365
238.85,238.9,238.8,238.85,4557
238.9,238.9,238.65,238.7,2134
238.8,238.8,238.65,238.65,2005
238.45,238.65,238.35,238.45,1431
238.45,238.5,238.15,238.4,5534
238.45,238.45,238.0,238.15,12513
238.05,238.2,237.9,238.05,14019
238.15,238.15,237.9,238.0,6580
238.0,238.15,237.9,238.1,11776
238.15,238.45,238.1,238.35,6212
238.25,238.25,238.05,238.1,1787
238.1,238.25,238.0,238.15,12026
238.2,238.2,238.0,238.0,2139
237.95,238.4,237.85,238.4,23899
238.4,238.6,238.25,238.6,9967
238.6,238.8,238.55,238.65,17813
238.65,238.9,238.5,238.55,38622
238.7,239.4,238.35,238.95,93871
239.15,239.3,238.6,238.75,30008
238.7,239.1,238.55,239.05,9940
239.1,239.25,238.95,239.2,10910
239.2,239.5,239.0,239.5,37394
239.65,239.9,239.6,239.85,43161
239.45,239.55,239.25,239.45,36697
239.4,239.6,239.1,239.6,8492
239.55,239.6,239.35,239.6,3502
239.6,239.6,239.1,239.15,20428
239.15,239.2,239.0,239.1,3629
239.1,239.15,238.5,238.7,31613
238.7,239.0,238.4,238.65,30858
238.65,239.2,238.5,238.6,12605
238.6,239.0,238.4,238.65,15229
238.7,239.0,238.65,239.0,8566
239.0,239.05,238.35,238.35,16018
238.4,238.4,238.1,238.15,8293
238.15,238.25,238.1,238.25,10852
238.2,238.25,238.0,238.25,19511
238.25,238.3,238.1,238.25,3999
238.25,238.9,238.2,238.9,25533
238.9,239.0,238.75,238.8,5154
238.8,238.8,238.75,238.8,3431
238.8,238.9,238.65,238.75,3044
238.7,238.7,238.0,238.0,7054
238.05,238.3,238.0,238.2,9585
238.3,238.5,238.0,238.2,7299
238.2,238.2,237.75,237.9,10379
237.9,238.0,237.6,238.0,7730
238.0,238.0,237.85,238.0,1766
238.0,238.05,237.55,237.7,13845
237.7,237.7,237.05,237.3,23184
237.35,237.65,237.25,237.25,7725
237.25,237.4,237.1,237.4,4199
237.4,237.5,237.2,237.2,3475
237.3,237.3,237.1,237.1,8188
237.2,237.3,237.05,237.3,10101
237.3,237.4,237.2,237.35,3185
237.35,237.6,237.0,237.2,21594
237.2,237.35,237.0,237.2,14366
237.35,237.35,237.1,237.3,3808
237.25,237.5,237.05,237.35,6739
237.35,237.5,237.35,237.45,3302
237.45,237.7,237.35,237.7,3739
237.75,237.85,237.35,237.4,2197
237.4,237.4,237.2,237.3,4841
237.3,237.4,237.25,237.3,14914
237.35,237.4,237.3,237.4,1052
237.4,237.45,237.25,237.45,5192
237.4,237.75,237.3,237.75,7273
237.75,237.75,237.55,237.6,1874
237.6,238.0,237.6,238.0,11000
238.0,238.1,237.9,238.05,5986
238.0,238.15,237.9,238.05,4237
238.05,238.05,237.95,238.0,4898
238.0,238.05,237.7,238.0,3471
238.0,238.0,237.5,237.65,1581
237.7,237.8,237.45,237.75,2650
237.8,237.9,237.75,237.85,1925
237.85,237.85,237.75,237.85,6301
237.85,238.25,237.75,238.25,23716
238.2,238.45,238.2,238.35,14708
238.35,238.35,238.15,238.2,3610
238.2,238.3,237.85,238.3,23990
238.3,238.5,238.3,238.45,11328
238.45,238.7,238.35,238.5,17092
238.5,238.65,238.45,238.6,4014
238.6,238.7,238.4,238.6,13077
238.65,238.7,238.5,238.55,2835
238.5,238.65,238.15,238.3,9331
238.35,238.6,238.3,238.45,8236
238.35,238.5,238.15,238.4,7711
238.45,238.5,238.3,238.35,3623
238.4,238.4,238.15,238.2,2969
238.2,238.4,238.05,238.4,8636
238.35,238.4,238.15,238.3,2601
238.3,238.35,238.2,238.35,4013
238.35,238.6,238.2,238.6,20584
238.6,238.7,238.15,238.5,35105
238.5,238.5,238.4,238.45,3302
238.45,238.45,238.25,238.35,3080
238.35,238.4,238.25,238.25,2543
238.25,238.35,238.25,238.3,5918
238.3,238.5,238.25,238.5,8520
238.5,238.55,238.2,238.5,19224
238.5,238.6,238.45,238.55,2248
238.55,238.65,238.4,238.5,12226
238.5,238.65,238.2,238.5,7964
238.5,238.5,237.85,238.15,12866
237.95,238.25,237.95,238.15,4044
238.15,238.4,238.05,238.4,2164
238.4,238.4,238.2,238.35,2336
238.4,238.55,238.0,238.4,19886
238.15,238.45,238.0,238.15,13414
238.2,238.5,238.2,238.45,9952
238.45,238.8,238.45,238.8,15941
238.8,238.9,238.3,238.8,25163
238.8,238.8,238.75,238.8,3599
238.85,238.85,238.6,238.65,3464
238.65,238.7,238.4,238.55,6252
238.55,238.75,238.15,238.65,37992
238.7,238.85,238.6,238.7,6754
238.7,238.7,238.6,238.65,2010
238.65,238.65,238.4,238.45,3178
238.45,238.6,238.3,238.6,3710
238.65,238.8,238.55,238.75,8502
238.75,238.8,238.5,238.65,4997
238.65,238.8,238.55,238.8,1455
238.8,238.85,238.75,238.8,1573
238.8,238.85,238.55,238.85,11261
238.65,238.9,238.35,238.7,19239
238.6,238.65,238.5,238.55,1641
238.55,238.6,238.3,238.55,4337
238.55,238.55,237.8,237.9,9815
237.9,237.9,237.75,237.85,3245
237.85,237.85,237.6,237.7,5347
237.7,237.75,237.6,237.75,4372
237.7,237.75,237.6,237.75,6559
237.75,237.75,237.4,237.7,15284
237.7,237.7,237.5,237.5,2198
237.5,237.65,237.5,237.6,1879
237.55,237.55,237.4,237.5,1873
237.45,237.7,237.45,237.6,12845
237.6,237.65,237.4,237.5,3426
237.5,237.6,237.4,237.55,6164
237.6,237.6,237.45,237.45,1967
237.55,237.6,237.4,237.45,6207
237.4,237.65,237.4,237.6,3576
237.7,237.75,237.4,237.5,10642
237.4,237.5,237.25,237.4,10610
237.35,237.4,237.2,237.3,2503
237.25,237.3,237.15,237.3,5488
237.25,237.4,237.15,237.35,1972
237.3,237.4,237.3,237.4,2248
237.35,237.65,237.35,237.65,3969
237.65,237.7,237.45,237.5,3891
237.45,237.75,237.45,237.75,5789
237.7,237.8,237.6,237.7,6170
237.6,237.75,237.5,237.7,2031
237.65,237.7,237.45,237.6,6151
237.55,237.65,237.35,237.65,10975
237.6,237.65,237.45,237.6,2661
237.55,237.65,237.5,237.55,1763
237.5,237.6,237.4,237.45,3911
237.5,237.6,237.4,237.5,3512
237.6,237.6,237.4,237.6,3380
237.55,237.65,237.45,237.55,10415
237.55,237.65,237.45,237.6,2417
237.55,237.7,237.4,237.5,8811
237.45,237.5,237.25,237.35,4135
237.3,237.35,237.15,237.3,3622
237.25,237.5,237.15,237.4,3091
237.4,237.4,237.15,237.3,10591
237.25,237.3,237.15,237.2,5429
237.2,237.7,237.2,237.5,12558
237.5,237.55,237.35,237.5,4368
237.5,237.6,237.3,237.45,3682
237.45,237.45,237.3,237.4,3313
237.4,237.55,237.25,237.55,9664
237.55,237.55,237.35,237.4,4610
237.4,237.45,237.25,237.45,5419
237.45,237.45,237.1,237.3,14523
237.3,237.3,237.0,237.15,28351
237.1,237.3,237.0,237.3,18310
237.3,237.4,237.1,237.4,4261
237.4,237.45,237.15,237.15,2837
237.05,237.3,236.95,237.0,20867
237.0,237.1,236.6,237.05,33351
237.05,237.1,236.8,237.0,11124
237.0,237.05,236.65,236.7,11391
236.7,236.95,236.5,236.7,21180
236.7,236.7,236.3,236.5,26767
236.5,236.5,236.25,236.4,11068
236.45,236.55,236.25,236.25,24961
236.45,236.7,236.2,236.6,52710
236.7,237.0,236.35,236.55,37796
236.55,236.6,236.2,236.35,12521
236.35,236.65,236.25,236.55,14859
236.55,236.7,236.45,236.65,10009
236.65,236.65,236.4,236.5,7531
236.5,236.5,236.0,236.15,35219
236.15,236.25,235.8,235.95,15223
235.95,235.95,235.4,235.5,24587
235.4,236.0,235.4,236.0,45322
235.9,236.1,235.9,236.0,8164
235.95,236.0,235.4,235.5,10832
235.5,235.55,235.05,235.15,20894
235.3,235.45,235.05,235.2,10371
235.2,235.5,235.05,235.2,6935
235.25,235.4,235.1,235.4,11917
235.4,235.75,235.2,235.45,13297
235.4,235.65,235.35,235.6,4762
235.65,235.65,235.35,235.4,5588
235.45,235.5,235.0,235.1,19554
235.1,235.1,234.8,234.9,8010
234.9,235.05,234.5,234.55,13446
234.6,234.65,234.4,234.65,10734
234.55,234.8,234.45,234.8,9169
234.8,234.85,234.4,234.8,5947
234.8,234.8,234.65,234.8,2319
234.8,235.35,234.75,235.3,32718
235.25,235.7,235.25,235.65,4640
235.7,235.8,235.25,235.25,7064
