open,high,low,close,volume
298.0,298.3,296.4,296.95,6332
296.95,297.75,296.95,297.5,3365
297.5,298.0,296.85,296.85,8309
296.75,296.85,295.45,296.05,10330
296.15,298.15,296.15,297.9,3318
298.15,298.5,297.9,298.5,3452
298.5,298.5,297.25,297.25,4179
297.25,297.35,297.15,297.3,2946
297.3,297.3,296.15,296.2,3850
296.55,296.55,295.0,295.0,4146
295.0,295.4,295.0,295.2,9209
295.1,295.25,295.1,295.25,2407
295.2,295.25,295.05,295.05,2892
295.05,295.25,295.0,295.1,3505
295.1,295.25,294.7,294.7,2742
294.9,296.0,294.7,295.65,3205
295.65,295.95,295.2,295.2,1032
295.2,295.65,295.2,295.5,2200
295.5,295.65,295.4,295.6,1829
295.5,296.0,295.5,295.8,3631
295.8,296.15,295.5,295.75,3178
295.45,295.75,295.2,295.4,952
295.4,295.55,295.4,295.5,1717
295.5,296.25,295.5,296.0,2570
296.0,296.5,296.0,296.1,2984
296.15,296.3,296.0,296.0,310
296.2,296.25,295.6,295.75,1935
295.75,295.8,295.5,295.8,192
295.8,295.95,295.7,295.95,1636
295.8,296.0,295.65,296.0,1538
296.0,296.25,295.7,295.8,3981
295.8,296.0,295.8,296.0,156
295.9,296.3,295.85,295.85,1727
296.0,296.0,295.85,295.95,440
295.95,296.2,295.85,296.05,1495
296.05,296.45,296.05,296.35,83
296.35,296.35,295.05,295.05,10138
295.15,295.15,294.75,294.8,2926
294.8,294.8,294.1,294.1,4959
294.1,294.2,293.8,293.8,4385
293.8,293.85,292.2,292.65,9827
292.65,293.4,292.35,292.8,23424
292.8,293.4,292.8,293.4,1821
293.4,293.6,293.4,293.5,3424
293.5,293.6,293.3,293.6,2163
293.6,293.6,293.25,293.25,963
293.25,293.5,293.25,293.25,455
293.25,293.4,293.15,293.4,1071
293.4,293.45,293.3,293.3,240
293.1,293.45,293.1,293.45,1512
293.45,294.3,293.45,294.3,3145
294.45,294.45,294.3,294.45,1954
294.45,294.6,294.4,294.5,695
294.5,295.0,294.4,295.0,2159
295.0,295.0,294.8,295.0,1038
295.0,295.0,294.8,294.8,689
294.9,294.9,294.1,294.25,1871
294.25,294.4,294.05,294.4,371
294.4,294.5,294.0,294.1,1299
294.1,294.5,294.0,294.15,431
294.15,294.35,294.0,294.0,1610
294.0,294.75,294.0,294.6,1081
294.6,294.65,294.15,294.3,1011
294.3,294.3,293.8,293.8,522
293.8,293.8,293.65,293.65,132
293.8,293.8,293.05,293.35,2316
293.35,293.35,293.15,293.3,66
293.3,293.3,293.2,293.3,454
293.3,294.0,293.15,294.0,4079
294.0,294.25,293.7,294.25,1230
294.25,294.4,293.5,293.6,2305
293.6,293.9,293.35,293.35,1219
293.5,294.4,293.5,294.4,1292
294.4,294.45,294.15,294.35,381
294.35,294.35,294.05,294.35,154
294.35,294.35,293.65,293.65,391
293.65,293.65,293.15,293.15,410
293.15,293.55,293.15,293.25,626
293.25,293.45,293.15,293.3,464
293.3,293.5,292.45,292.45,7610
292.45,292.45,292.05,292.1,3146
292.1,292.1,292.05,292.05,1695
292.0,292.05,291.2,292.05,11383
292.05,293.0,292.05,292.8,2576
292.8,292.8,292.5,292.8,204
292.8,292.9,292.55,292.8,109
292.8,292.8,292.1,292.2,1697
292.35,292.35,292.0,292.0,412
292.0,292.3,292.0,292.3,1483
292.3,292.3,292.0,292.3,636
292.35,292.35,292.2,292.35,451
292.35,292.9,292.35,292.9,806
292.9,292.9,292.45,292.7,193
292.7,292.7,292.45,292.7,18
292.75,292.9,292.75,292.9,931
292.9,293.55,292.9,293.4,972
293.4,293.8,293.4,293.8,1003
293.8,293.9,293.55,293.85,159
293.85,293.85,293.35,293.6,464
293.35,293.55,293.0,293.0,1425
293.15,293.15,293.0,293.0,474
293.0,293.1,293.0,293.1,488
293.1,293.1,292.35,292.35,1194
292.35,292.5,292.35,292.5,519
292.5,292.5,292.25,292.45,236
292.5,292.5,292.4,292.4,607
292.4,292.45,292.4,292.4,5744
292.4,292.55,292.4,292.5,583
292.5,292.55,292.4,292.55,1091
292.4,292.55,292.4,292.55,763
292.55,292.6,292.35,292.6,1759
292.6,292.6,292.6,292.6,222
292.5,292.5,292.2,292.3,682
292.3,292.7,292.2,292.6,847
292.6,292.65,292.45,292.6,398
292.6,292.65,292.45,292.65,522
292.65,292.65,292.45,292.65,343
292.65,292.65,292.4,292.4,1306
292.4,292.5,292.15,292.45,448
