open,high,low,close,volume
594.75,596.7,592.85,595.2,482807
595.45,597.4,595.15,596.65,250447
596.7,597.3,596.2,596.95,96083
597.0,597.2,596.0,596.35,117953
596.45,596.55,595.75,596.05,58789
596.1,597.75,596.05,597.5,107654
597.7,597.7,596.45,596.65,79514
596.65,597.4,596.5,596.85,69229
596.9,597.2,596.5,597.05,50429
596.9,597.05,595.0,595.85,78034
595.85,595.95,594.0,594.05,93812
594.0,595.3,594.0,595.2,102854
595.25,595.85,595.15,595.6,52371
595.6,596.7,595.5,596.55,72515
596.4,596.6,595.65,596.3,55213
596.25,597.5,596.25,596.95,108301
597.0,597.35,596.9,597.15,48197
597.1,597.5,596.15,597.2,78781
597.2,597.6,597.0,597.3,82164
597.35,598.0,597.3,597.8,87140
597.7,597.9,597.0,597.6,61412
597.6,597.85,597.4,597.75,42429
597.75,597.85,597.65,597.7,44997
597.8,598.0,597.65,598.0,55755
598.0,598.85,597.85,598.85,87947
598.85,599.45,598.5,599.1,117938
599.35,599.4,598.45,598.6,57934
598.6,598.95,598.3,598.65,38686
598.75,599.45,598.7,599.45,51261
599.45,599.9,599.15,599.85,93284
599.95,600.5,599.5,599.9,175594
599.9,600.3,599.4,600.1,73382
600.2,601.0,599.9,601.0,108082
600.85,601.15,600.3,600.45,136738
600.5,601.3,600.4,601.1,102424
601.3,601.35,600.5,600.6,69911
600.7,600.7,600.1,600.25,45894
600.05,600.25,599.55,600.0,80899
600.0,600.2,599.65,599.85,48777
600.0,600.1,599.8,599.95,48405
599.85,600.0,599.15,599.2,55006
599.3,599.4,598.95,599.0,68901
599.2,599.2,598.35,598.45,57008
598.75,598.9,598.5,598.6,47584
598.6,599.0,598.4,599.0,33455
599.0,599.0,597.7,598.2,97031
598.25,598.3,597.1,597.35,75744
597.25,598.0,597.15,597.9,46316
598.0,598.15,597.25,597.3,40356
597.3,597.75,596.9,597.05,110339
597.05,598.0,597.05,598.0,36825
598.0,598.05,597.15,597.3,31480
597.3,597.5,597.3,597.45,15051
597.45,597.7,596.85,597.05,44736
597.0,597.0,596.0,596.1,79216
596.4,596.8,596.15,596.2,48356
596.3,596.45,596.15,596.3,32860
596.2,596.3,595.15,595.35,114459
595.35,595.5,594.6,595.5,111508
595.65,595.65,595.1,595.6,34871
595.75,596.5,595.45,596.45,63511
596.3,596.45,595.4,595.5,41548
595.5,596.45,595.35,596.45,46946
596.15,596.25,595.7,595.85,28216
595.65,596.0,595.5,595.55,31551
595.6,596.0,595.6,595.95,24995
595.9,595.95,595.05,595.6,84980
595.6,595.85,595.55,595.8,19386
595.85,596.0,595.7,595.85,25445
595.9,596.3,595.75,596.25,24769
596.0,596.3,595.25,595.3,45797
595.3,595.75,595.05,595.75,44108
595.75,595.9,595.35,595.7,23962
595.9,595.95,595.55,595.6,28260
595.6,596.75,595.5,596.35,44119
596.35,596.4,595.1,595.1,42934
595.2,595.3,594.75,594.9,58619
594.9,595.1,594.6,594.85,40544
595.0,595.0,594.6,594.65,29871
