open,high,low,close,volume
98.9,99.45,98.7,98.9,442599
98.85,99.15,98.7,98.9,284174
98.95,99.1,98.9,99.05,219444
99.05,99.1,98.9,99.05,186756
99.05,99.2,99.05,99.1,163718
99.15,99.4,99.15,99.3,219215
99.3,99.35,99.15,99.25,82932
99.25,99.35,98.85,98.95,330068
98.95,99.05,98.8,98.8,137734
98.8,98.9,98.6,98.65,128088
98.65,98.7,98.3,98.35,154775
98.35,98.5,98.3,98.45,99006
98.45,98.7,98.45,98.7,70956
98.65,98.8,98.6,98.7,103359
98.65,98.7,98.45,98.5,77397
98.45,98.65,98.45,98.55,64891
98.55,98.6,98.5,98.6,98133
98.6,98.75,98.55,98.75,70856
98.7,98.95,98.65,98.65,112512
98.6,98.8,98.6,98.75,32871
98.8,98.85,98.6,98.65,72509
98.65,98.7,98.55,98.7,78780
98.7,98.75,98.5,98.5,77202
98.55,98.75,98.5,98.75,46829
98.75,98.75,98.55,98.65,52142
98.65,98.7,98.6,98.6,44443
98.55,98.7,98.55,98.65,25657
98.7,98.7,98.55,98.65,63586
98.7,98.75,98.7,98.75,38521
98.7,98.8,98.7,98.8,24754
98.8,98.8,98.5,98.55,108798
98.55,98.55,98.35,98.45,276193
98.45,98.5,98.4,98.45,58039
98.45,98.45,98.3,98.3,146412
98.3,98.45,98.25,98.45,22513
98.4,98.45,98.35,98.4,32421
98.4,98.4,98.35,98.35,21768
98.45,98.5,98.4,98.45,25752
98.5,98.5,98.35,98.4,57493
98.4,98.45,98.4,98.45,9480
98.45,98.5,98.4,98.5,65539
98.5,98.65,98.45,98.45,63093
98.45,98.5,98.35,98.4,61213
98.4,98.45,98.25,98.25,94936
98.2,98.45,98.2,98.4,55531
98.4,98.4,98.15,98.2,51847
98.15,98.25,98.15,98.15,48147
98.2,98.25,98.15,98.2,32495
98.15,98.25,98.1,98.15,90341
98.1,98.25,98.1,98.15,64458
98.2,98.3,98.15,98.3,43199
98.3,98.4,98.25,98.4,28153
98.4,98.45,98.3,98.35,47961
98.45,98.45,98.3,98.4,52614
98.4,98.45,98.3,98.4,36703
98.4,98.4,98.25,98.3,32131
98.3,98.3,98.15,98.2,71958
98.2,98.25,98.0,98.05,157275
98.05,98.2,98.0,98.15,97965
98.1,98.15,98.1,98.15,38669
98.1,98.2,98.05,98.2,92458
98.2,98.2,98.05,98.1,24472
98.0,98.0,97.8,97.95,460741
97.85,97.9,97.7,97.8,95331
97.8,97.8,97.7,97.7,87516
97.7,97.9,97.7,97.9,92759
97.9,97.95,97.85,97.9,49011
97.85,97.9,97.8,97.8,29579
97.9,97.9,97.8,97.85,21302
97.8,97.95,97.8,97.95,54467
97.95,97.95,97.85,97.9,25361
97.9,98.0,97.8,97.95,93577
97.95,98.0,97.9,97.95,21356
97.95,98.0,97.9,98.0,45711
97.95,98.15,97.95,98.1,146625
98.05,98.05,97.85,97.9,45343
97.95,98.0,97.9,97.95,44644
97.95,97.95,97.85,97.9,15945
97.9,97.9,97.8,97.85,16556
97.85,97.85,97.7,97.8,127509
97.75,97.8,97.7,97.75,29485
97.8,97.8,97.7,97.7,27005
97.75,97.75,97.7,97.75,19035
97.7,97.75,97.6,97.6,87034
97.65,97.75,97.6,97.75,57148
97.75,97.75,97.55,97.6,34821
97.55,97.65,97.5,97.6,60618
97.55,97.65,97.5,97.65,61226
97.55,97.65,97.5,97.55,20280
97.6,97.6,97.55,97.6,29669
97.6,97.75,97.55,97.7,62471
97.7,97.8,97.7,97.8,45518
97.8,97.8,97.75,97.8,22869
97.8,98.0,97.75,97.8,99548
97.8,97.9,97.75,97.75,23767
97.75,97.95,97.75,97.85,34108
97.85,97.9,97.8,97.9,10315
97.9,97.9,97.75,97.85,55997
97.85,97.85,97.7,97.75,36998
97.75,97.8,97.75,97.8,9923
97.75,97.8,97.7,97.75,31781
97.75,97.75,97.6,97.7,62057
97.7,97.75,97.65,97.75,28954
97.75,97.75,97.7,97.7,9870
97.7,97.75,97.7,97.75,9301
97.75,97.8,97.7,97.75,15523
97.8,97.85,97.7,97.8,11194
97.8,97.9,97.8,97.9,29007
97.9,97.9,97.8,97.9,24511
97.85,97.85,97.75,97.85,36842
97.8,97.85,97.75,97.8,15696
97.8,97.8,97.7,97.8,23697
97.7,97.8,97.7,97.75,2739
97.75,97.8,97.7,97.75,9402
97.8,97.8,97.7,97.7,8668
97.7,97.8,97.7,97.75,5147
97.75,97.8,97.7,97.75,55778
97.75,97.8,97.7,97.8,13178
97.8,97.8,97.65,97.7,34462
97.7,97.75,97.65,97.7,29052
97.7,97.85,97.65,97.8,66154
97.8,97.85,97.7,97.75,30430
97.75,97.85,97.75,97.8,9939
97.8,97.85,97.75,97.85,7029
97.85,97.85,97.7,97.75,18542
97.7,97.8,97.7,97.8,5399
97.75,97.8,97.75,97.75,6156
97.8,97.8,97.65,97.75,56801
97.7,97.75,97.7,97.75,10327
97.75,97.75,97.7,97.75,13595
97.75,97.8,97.7,97.8,6676
97.8,97.8,97.75,97.8,18978
97.75,97.8,97.75,97.8,9051
97.8,97.8,97.75,97.8,16067
97.8,97.8,97.75,97.8,5794
97.8,97.85,97.8,97.8,17093
97.8,97.95,97.8,97.9,68016
97.95,97.95,97.85,97.95,14999
97.95,97.95,97.85,97.95,15655
97.95,97.95,97.9,97.95,17354
97.95,98.0,97.9,97.95,23743
97.95,97.95,97.9,97.95,8150
97.95,97.95,97.9,97.95,10672
97.95,97.95,97.9,97.95,14804
