open,high,low,close,volume
213.0,213.3,212.2,212.2,1257511
212.2,213.2,212.05,213.15,698217
213.0,213.5,212.95,212.95,536305
213.0,213.0,212.6,212.7,353165
212.7,212.8,212.55,212.7,180110
212.7,213.25,212.7,213.05,351448
213.05,213.15,212.75,212.8,264377
212.95,213.0,212.4,212.5,215360
212.5,212.5,212.2,212.3,153031
212.3,212.35,212.0,212.1,243011
212.2,212.2,211.95,212.1,199451
212.1,212.15,212.0,212.1,98245
212.1,212.6,212.1,212.6,176547
212.6,213.0,212.5,212.95,426553
212.95,213.1,212.65,213.1,215418
213.1,213.35,213.05,213.2,237870
213.0,213.2,212.9,213.0,179622
213.1,213.15,212.95,213.05,246868
213.05,213.05,212.85,212.95,87007
212.95,213.4,212.85,213.35,244187
213.4,213.45,213.25,213.45,339138
213.35,213.45,213.3,213.4,154974
213.4,213.4,213.0,213.15,235508
213.2,213.3,213.05,213.3,74802
213.25,213.35,213.15,213.25,117102
213.35,213.45,213.25,213.4,299453
213.4,213.45,213.15,213.15,124349
213.15,213.2,212.9,213.1,224029
213.0,213.35,213.0,213.35,124847
213.35,213.35,213.25,213.3,48589
213.25,213.3,213.05,213.2,81116
213.1,213.2,213.05,213.1,51010
213.15,213.2,213.05,213.2,51511
213.25,213.35,213.2,213.3,88160
213.25,213.75,213.25,213.75,268684
213.7,213.8,213.5,213.55,133634
213.6,213.7,213.4,213.6,85779
213.65,213.65,213.35,213.5,95045
213.5,213.7,213.4,213.55,165185
213.65,213.65,213.5,213.6,50366
213.5,213.6,213.45,213.5,57286
213.55,213.55,213.2,213.3,93507
213.3,213.3,213.05,213.2,73073
213.25,213.55,213.1,213.4,247014
213.45,213.5,213.35,213.5,88982
213.5,213.5,213.35,213.35,36326
213.35,213.4,213.3,213.4,45155
213.35,213.5,213.3,213.45,84804
213.4,213.75,213.4,213.7,731116
213.7,213.75,213.6,213.7,124465
213.7,214.35,213.7,214.3,540803
214.3,214.4,214.0,214.1,414972
214.1,214.15,214.0,214.05,93704
214.05,214.2,214.0,214.0,128096
214.0,214.2,213.85,214.2,190029
214.2,214.2,214.0,214.05,247131
214.1,214.15,213.85,214.0,119168
214.0,214.1,213.9,214.0,140522
214.0,214.0,213.85,213.9,46556
213.95,213.95,213.65,213.85,104566
213.8,213.85,213.75,213.8,85481
213.8,213.85,213.7,213.7,57210
213.7,213.85,213.65,213.8,84783
213.75,213.8,213.6,213.6,71946
213.7,214.05,213.6,214.05,1638205
214.15,214.2,213.95,214.2,153880
214.15,214.35,214.1,214.3,163729
214.3,214.7,214.25,214.55,394253
214.6,214.8,214.5,214.7,243149
214.65,214.75,214.6,214.65,141681
214.65,214.7,214.4,214.4,153100
214.4,214.7,214.35,214.6,149338
214.7,214.8,214.6,214.75,212026
214.8,214.9,214.7,214.9,1062971
214.9,215.25,214.9,215.05,1336613
215.1,215.1,214.6,214.6,223175
214.6,214.8,214.4,214.8,161114
214.75,214.85,214.65,214.8,232714
214.85,214.85,214.7,214.75,204438
214.75,215.15,214.7,215.1,300303
215.1,215.2,214.9,214.95,337763
215.0,215.2,215.0,215.0,428968
215.05,215.2,215.0,215.15,342715
215.05,215.15,215.0,215.05,280003
215.05,215.05,215.0,215.05,307906
215.0,215.05,214.55,214.55,234242
214.6,214.6,214.35,214.45,218858
214.45,214.6,214.2,214.45,207844
214.5,214.7,214.4,214.65,90806
214.7,214.75,214.6,214.65,78414
214.6,214.7,214.5,214.6,188381
214.55,214.75,214.55,214.7,77449
214.7,214.75,214.6,214.7,78150
214.75,214.85,214.5,214.55,112154
214.55,214.55,214.3,214.3,78553
214.35,214.45,214.1,214.4,149709
214.4,214.5,214.35,214.45,57527
214.5,214.65,214.45,214.55,70963
214.5,214.6,214.5,214.55,54428
214.55,214.6,214.5,214.5,60924
214.5,214.6,214.35,214.5,85649
214.5,214.6,214.35,214.5,74933
214.6,214.6,214.5,214.6,53276
214.6,214.75,214.55,214.7,72070
214.7,215.0,214.65,214.95,228226
214.95,215.0,214.85,214.95,120707
214.9,215.0,214.8,214.85,61330
214.85,214.95,214.85,214.95,51977
214.95,215.0,214.9,214.95,77789
214.95,214.95,214.85,214.95,44120
214.9,215.0,214.9,215.0,121464
215.0,215.1,214.9,215.1,133723
215.05,215.35,215.05,215.35,333127
215.3,215.5,215.25,215.25,210639
215.35,215.4,215.0,215.2,111513
215.2,215.2,215.0,215.05,74318
215.05,215.1,215.0,215.0,108896
215.0,215.1,215.0,215.05,130686
215.1,215.25,215.0,215.25,189258
215.25,215.5,215.2,215.45,120967
215.45,215.5,215.25,215.35,84098
215.3,215.4,215.2,215.35,80652
215.4,215.5,215.35,215.4,137528
215.4,215.45,215.25,215.3,66477
215.25,215.3,215.1,215.1,55274
215.2,215.2,215.0,215.1,92378
215.1,215.1,215.0,215.05,75006
215.05,215.45,215.0,215.35,135379
215.3,215.45,215.3,215.45,49340
215.45,215.45,215.3,215.35,56023
215.35,215.4,215.3,215.3,43787
215.4,215.4,215.3,215.35,46406
215.3,215.3,215.1,215.2,72562
215.2,215.3,215.05,215.15,205454
215.15,215.15,215.0,215.1,48056
215.05,215.35,215.05,215.35,49944
215.35,215.5,215.3,215.45,132411
215.4,215.45,215.3,215.35,48132
215.35,215.35,215.2,215.25,70108
215.2,215.4,215.2,215.3,47563
215.25,215.35,215.15,215.15,42705
215.15,215.2,215.1,215.2,64266
215.2,215.2,215.05,215.1,48097
215.1,215.15,215.05,215.05,28356
215.1,215.1,215.05,215.1,48298
215.05,215.1,215.0,215.05,129074
215.0,215.1,215.0,215.05,58350
215.1,215.2,215.05,215.2,68449
215.15,215.25,215.15,215.15,66699
215.25,215.25,215.05,215.05,62902
215.05,215.15,215.0,215.05,99756
215.1,215.1,215.0,215.05,61865
215.1,215.1,215.0,215.05,36365
215.05,215.15,215.05,215.15,37327
215.1,215.3,215.1,215.3,52984
215.3,215.35,215.25,215.35,63348
215.35,215.35,215.15,215.15,78001
215.15,215.25,215.15,215.2,41055
215.2,215.25,215.1,215.2,60956
215.2,215.2,215.1,215.1,37924
215.1,215.2,215.1,215.15,45261
215.15,215.2,215.0,215.05,157245
215.0,215.1,215.0,215.0,118244
215.05,215.1,215.0,215.05,79726
215.0,215.25,215.0,215.25,112056
215.3,215.3,215.2,215.25,44661
215.3,215.3,215.1,215.2,51081
215.1,215.2,215.1,215.2,38363
215.15,215.25,215.05,215.1,41052
215.05,215.2,215.05,215.2,29701
215.2,215.3,215.15,215.25,56351
215.25,215.35,215.15,215.2,101068
215.3,215.3,215.2,215.25,29696
215.3,215.3,215.1,215.2,79855
215.3,215.45,215.2,215.45,79447
215.45,215.6,215.4,215.6,349516
215.6,215.65,215.5,215.6,255547
215.55,215.65,215.5,215.65,81599
215.65,215.8,215.55,215.75,171769
215.75,216.1,215.75,215.85,1323193
215.9,216.1,215.7,216.0,327325
216.05,216.1,215.8,215.8,230040
215.9,215.95,215.8,215.9,80209
215.85,215.9,215.75,215.8,73149
215.75,215.85,215.75,215.75,82396
215.75,215.85,215.7,215.75,93551
215.8,215.9,215.75,215.9,64593
215.85,215.95,215.8,215.95,42812
215.9,216.05,215.9,215.95,161927
216.1,216.35,216.0,216.15,270692
216.2,216.3,216.15,216.3,134840
216.25,216.3,216.15,216.15,131858
216.1,216.2,215.95,216.15,122607
216.1,216.25,216.1,216.15,63709
216.2,216.3,216.15,216.25,102833
216.3,216.4,216.25,216.4,145541
216.35,216.45,216.3,216.4,107066
216.4,216.45,216.15,216.15,144490
216.15,216.25,215.8,216.1,176264
216.0,216.1,215.95,215.95,75822
215.95,216.05,215.85,216.0,99334
216.0,216.25,216.0,216.25,89027
216.2,216.25,216.15,216.25,102214
216.2,216.4,216.2,216.3,126589
216.35,216.4,216.3,216.35,116233
216.35,216.5,216.35,216.45,141789
216.45,216.8,216.45,216.8,408357
216.75,216.85,216.7,216.8,165240
216.75,216.8,216.7,216.7,165477
216.7,216.7,216.55,216.55,136501
216.6,216.7,216.55,216.7,104404
216.65,216.8,216.65,216.7,191880
216.75,217.1,216.7,217.05,2161579
217.1,217.2,216.8,216.9,451457
216.9,217.2,216.9,217.15,256439
217.15,217.3,217.05,217.15,219757
217.25,217.3,217.1,217.15,159859
217.15,217.25,216.9,216.9,352693
217.05,217.05,216.8,217.0,210032
217.0,217.05,216.8,216.8,351065
216.8,216.95,216.8,216.8,181931
216.8,216.9,216.7,216.7,115869
216.7,217.05,216.65,217.0,1726428
217.05,217.1,217.0,217.0,212190
217.0,217.1,217.0,217.05,100572
217.1,217.1,217.0,217.1,117182
217.05,217.5,217.0,217.35,473542
217.35,217.45,217.25,217.25,192860
217.25,217.5,217.25,217.35,202516
217.3,217.35,217.2,217.2,126076
217.25,217.25,217.1,217.1,136014
217.15,217.2,217.0,217.0,249470
216.95,217.0,216.25,216.35,540237
216.4,216.4,216.3,216.3,226133
216.3,216.5,216.3,216.4,216589
216.35,216.4,215.8,215.8,483203
215.8,215.9,215.45,215.7,445222
215.7,215.7,215.5,215.5,199753
215.55,215.9,215.5,215.9,262757
215.9,216.0,215.55,215.6,269795
215.6,215.7,215.5,215.7,200093
215.7,215.75,215.25,215.4,536555
215.25,215.35,214.8,214.9,545588
214.9,215.2,214.85,215.0,334941
215.0,215.15,214.65,214.7,306799
214.65,214.8,214.55,214.6,281537
214.5,214.8,214.5,214.8,259829
214.65,215.45,214.65,215.45,331430
215.4,215.6,215.1,215.1,209032
215.2,215.4,215.0,215.1,122017
215.15,215.2,214.55,214.7,239741
214.65,214.75,214.55,214.65,143935
214.65,214.7,214.6,214.7,157403
214.6,215.0,214.55,215.0,150935
214.85,214.9,214.6,214.75,109085
214.7,214.8,214.25,214.3,426691
214.25,214.55,214.1,214.1,188648
214.05,214.2,213.9,214.15,679464
214.1,214.4,214.0,214.35,183229
214.45,214.75,214.4,214.6,200070
214.7,214.75,214.25,214.3,181410
214.35,214.55,214.25,214.5,407212
214.55,214.6,214.2,214.25,191781
214.25,214.4,213.7,213.7,342185
213.65,214.0,213.65,213.75,272846
213.75,214.15,213.65,214.05,333484
214.05,214.05,213.65,213.8,287055
213.8,214.25,213.75,214.1,182852
214.2,214.45,214.1,214.2,126214
214.2,214.4,214.15,214.4,85946
214.4,214.75,214.35,214.7,189672
214.5,214.8,214.5,214.8,217546
214.8,215.1,214.6,214.8,464196
214.75,214.8,214.5,214.55,400407
214.55,215.1,214.5,214.9,317312
214.85,215.2,214.8,214.95,186522
214.85,215.0,214.75,214.75,102749
214.8,214.85,214.5,214.55,145565
214.55,214.6,214.5,214.6,76405
214.55,214.75,214.5,214.65,220155
214.7,214.75,214.5,214.55,95243
214.55,214.6,214.35,214.6,100560
214.45,214.6,214.35,214.4,91647
214.4,214.5,214.3,214.35,122355
214.4,214.7,214.1,214.25,1613710
214.25,214.5,214.0,214.3,216065
214.3,214.4,214.25,214.25,108796
214.3,214.3,214.2,214.25,72442
214.2,214.5,214.2,214.3,201606
214.25,214.7,214.25,214.65,118336
214.7,214.85,214.65,214.7,88003
214.8,214.9,214.7,214.8,113377
214.8,214.9,214.65,214.7,124357
214.7,214.9,214.7,214.75,115508
214.8,214.95,214.75,214.85,97488
214.85,214.95,214.7,214.75,74234
214.8,214.8,214.7,214.7,62273
214.7,214.75,214.6,214.6,80895
214.6,214.95,214.6,214.85,2209040
214.85,214.9,214.35,214.35,130111
214.35,214.6,214.1,214.3,163145
214.3,214.35,213.85,213.85,340727
213.9,214.0,213.8,213.85,245869
213.8,213.85,213.65,213.75,282051
213.7,213.8,213.55,213.55,334087
213.6,214.0,213.5,214.0,252869
214.0,214.0,213.85,214.0,220065
214.0,214.0,213.7,213.75,208928
213.75,213.95,213.7,213.8,199634
213.8,214.15,213.8,214.1,171423
214.1,214.65,214.1,214.25,265100
214.25,214.35,214.1,214.2,118231
214.2,214.4,214.1,214.3,122330
214.3,214.4,214.2,214.3,98619
214.3,214.6,214.15,214.6,175784
214.65,215.05,214.55,215.0,543509
214.95,215.05,214.85,215.0,182288
215.0,215.2,215.0,215.15,144733
215.0,215.15,215.0,215.05,107952
215.0,215.1,214.6,214.65,129047
214.5,214.7,214.4,214.55,101691
214.5,214.65,214.5,214.6,56561
214.6,214.85,214.6,214.85,95001
214.85,214.9,214.75,214.9,52843
214.85,214.9,214.7,214.8,80724
214.85,214.9,214.75,214.8,55966
214.8,214.85,214.6,214.6,85455
214.65,214.7,214.45,214.45,109014
214.4,214.55,214.35,214.35,114753
214.45,214.55,214.35,214.4,117015
214.35,214.6,214.35,214.5,165183
214.45,214.45,214.15,214.35,202005
214.3,214.4,214.2,214.25,101413
214.3,214.35,214.15,214.3,88269
214.25,214.5,214.25,214.45,81199
214.5,214.6,214.35,214.35,103550
214.35,214.45,214.2,214.35,179822
214.4,214.65,214.3,214.5,204674
214.55,214.7,214.45,214.6,122352
214.65,214.8,214.6,214.75,84242
214.75,215.1,214.75,215.0,227828
215.05,215.4,215.0,215.35,349697
215.25,215.7,215.25,215.6,306754
215.5,215.5,215.05,215.2,2143791
215.2,215.25,215.05,215.1,113588
215.2,215.2,214.65,214.75,150234
214.75,215.0,214.65,215.0,162021
215.05,215.65,215.0,215.55,438448
215.6,216.45,215.6,216.25,842855
216.2,216.3,216.0,216.15,273393
216.15,216.2,215.9,216.05,419102
216.0,216.15,215.95,216.15,191857
216.05,216.3,216.05,216.3,177514
