open,high,low,close,volume
110.0,111.45,109.9,110.9,454729
110.8,110.9,110.45,110.5,499807
110.45,110.45,110.0,110.35,448606
110.45,110.65,110.2,110.55,381702
110.75,111.0,110.55,110.65,132061
110.7,111.35,110.6,111.3,304036
111.35,111.45,111.1,111.4,171163
111.45,111.6,111.25,111.3,190325
111.25,111.25,110.9,111.0,174995
111.05,111.15,110.9,111.0,156579
111.1,111.2,110.9,111.1,140827
111.1,111.2,111.05,111.1,70942
111.15,111.5,111.15,111.5,132880
111.45,111.7,111.4,111.55,190669
111.6,111.6,111.3,111.4,126352
111.35,111.7,111.3,111.55,145606
111.45,111.8,111.45,111.75,403279
111.7,111.85,111.65,111.85,110670
111.75,112.0,111.6,111.7,179860
111.65,111.8,111.6,111.75,46934
111.75,111.8,111.4,111.55,191702
111.65,111.9,111.6,111.85,107108
111.9,111.9,111.65,111.7,58552
111.7,112.15,111.65,112.1,365897
112.05,112.15,111.9,112.05,82817
112.0,112.1,111.8,111.85,131942
111.8,111.9,111.75,111.75,51224
111.75,111.85,111.6,111.8,38038
111.85,112.0,111.8,111.95,30771
111.85,111.95,111.85,111.95,20545
111.9,111.95,111.5,111.65,90005
111.55,111.65,111.3,111.45,79575
111.45,111.5,111.4,111.45,44916
111.35,111.4,111.2,111.2,111439
111.2,111.3,111.15,111.2,89916
111.2,111.3,111.15,111.2,40779
111.25,111.25,111.15,111.15,29102
111.15,111.2,111.1,111.1,43041
111.05,111.1,110.85,110.9,97543
110.85,110.9,110.75,110.85,82145
110.85,110.95,110.8,110.95,49275
110.95,111.25,110.95,111.1,105265
111.1,111.1,110.9,111.0,39070
111.0,111.05,110.95,111.05,30950
110.95,111.2,110.95,111.15,28442
111.2,111.2,111.0,111.05,35790
111.0,111.05,110.9,110.95,137102
110.9,110.95,110.75,110.8,128094
110.8,110.9,110.75,110.9,20846
110.9,111.0,110.8,110.9,83104
110.85,111.1,110.85,111.1,52869
111.1,111.15,111.0,111.15,14985
111.15,111.3,111.05,111.25,33529
111.25,111.4,111.2,111.25,26876
111.35,111.35,111.2,111.2,16823
111.2,111.25,111.0,111.1,20022
111.0,111.1,110.95,111.0,17573
110.95,111.0,110.75,110.8,25020
110.75,110.8,110.7,110.8,67620
110.8,110.8,110.7,110.75,21873
110.75,110.95,110.7,110.95,26595
110.95,110.95,110.8,110.85,18383
110.85,110.85,110.7,110.85,21320
110.85,110.85,110.65,110.65,47810
110.65,110.75,110.6,110.65,12619
110.6,110.8,110.6,110.7,57204
110.75,110.8,110.7,110.8,21205
110.8,110.8,110.6,110.65,19924
110.65,110.75,110.6,110.7,11677
110.6,110.75,110.6,110.65,16900
110.7,110.75,110.6,110.65,29664
110.65,110.8,110.6,110.8,30012
110.75,110.95,110.75,110.95,58526
110.95,111.1,110.9,111.1,40050
111.1,111.2,110.95,110.95,66496
111.05,111.05,110.8,110.9,50917
110.85,110.9,110.8,110.8,17555
110.8,110.9,110.8,110.8,17551
110.8,110.85,110.8,110.85,12992
110.8,110.85,110.75,110.75,19593
110.8,110.8,110.6,110.7,30575
110.7,110.7,110.4,110.5,210485
110.45,110.6,110.45,110.5,41129
110.5,110.6,110.5,110.5,21286
110.55,110.7,110.5,110.6,29476
110.55,110.6,110.25,110.3,293678
110.3,110.4,110.3,110.3,36864
110.25,110.45,110.25,110.4,47948
110.4,110.5,110.35,110.5,15606
110.5,110.5,110.4,110.5,6076
110.5,110.65,110.35,110.55,74807
110.6,110.7,110.5,110.7,32092
110.6,110.7,110.6,110.7,21615
110.7,110.8,110.6,110.6,77551
110.65,110.7,110.6,110.6,15890
110.6,110.7,110.55,110.65,22013
110.65,110.8,110.65,110.75,14341
110.65,110.75,110.6,110.65,24489
110.65,110.7,110.55,110.65,14429
110.65,110.7,110.55,110.65,15774
110.65,110.7,110.55,110.65,14625
110.6,110.65,110.45,110.55,34375
