open,high,low,close,volume
371.5,373.75,371.35,373.55,629739
373.5,374.15,373.5,373.6,510305
373.7,373.8,373.1,373.55,263276
373.55,373.7,372.6,372.95,219542
372.95,373.15,372.9,373.0,122095
373.0,374.7,373.0,374.55,387350
374.4,374.5,373.65,373.8,120961
373.7,374.05,372.95,373.55,181761
373.4,373.5,372.65,372.65,118323
372.65,372.85,372.0,372.3,149132
372.25,372.3,371.25,371.5,307112
371.5,371.7,371.25,371.25,128225
371.3,371.6,371.15,371.4,97920
371.25,373.0,371.25,372.8,316143
372.8,373.0,372.35,372.8,112753
372.9,373.5,372.8,373.1,151047
373.05,373.35,373.0,373.15,100466
373.1,374.1,372.6,373.7,254049
373.85,374.0,373.45,373.55,402847
373.55,373.95,373.3,373.3,94127
373.3,373.4,372.65,372.9,105538
373.0,373.3,372.75,373.15,64718
373.0,373.15,372.8,372.95,53587
372.95,373.1,372.65,373.0,69870
372.95,374.05,372.8,374.0,314021
374.1,374.25,373.8,373.9,141560
373.9,374.0,373.65,373.7,50868
373.7,373.85,373.45,373.85,52844
374.0,374.05,373.85,373.85,89034
373.95,374.15,373.9,374.05,84832
374.05,374.2,373.6,373.8,78022
373.8,373.9,373.5,373.75,50127
373.8,374.0,373.6,373.75,45594
373.8,373.85,373.3,373.45,53945
373.45,374.5,373.2,374.45,145381
374.35,374.5,374.1,374.35,83528
374.35,374.6,374.3,374.6,140059
374.6,375.0,374.45,374.95,146383
374.9,375.0,374.55,374.7,129744
374.7,374.7,374.35,374.4,75901
374.4,374.65,374.0,374.5,77949
374.65,374.8,374.55,374.7,52237
374.65,374.75,374.0,374.1,63860
374.15,374.5,373.9,373.9,68090
373.8,374.1,373.75,373.9,45561
374.0,374.0,373.6,373.85,50156
373.85,373.9,373.6,373.7,46682
373.7,374.4,373.7,374.2,95004
374.2,374.45,374.05,374.2,55607
374.25,374.4,374.1,374.4,46399
374.35,374.8,374.2,374.75,80167
374.8,375.0,374.45,374.45,82488
