open,high,low,close,volume
606.0,608.2,606.0,607.7,16356
607.7,607.7,606.15,606.3,14244
606.9,607.35,606.15,606.15,11858
606.1,606.9,604.15,604.5,27385
604.5,605.95,604.5,604.7,11182
604.7,605.65,604.65,605.15,10119
604.7,604.75,603.0,604.75,18272
604.75,605.5,604.4,604.9,9302
604.9,605.25,603.05,603.4,10648
603.3,603.8,603.3,603.7,6119
603.75,603.9,602.5,602.8,11278
602.85,603.5,600.8,600.85,15376
600.25,601.75,600.2,600.75,16436
601.0,602.65,600.7,602.5,16234
602.25,602.5,601.3,602.1,15666
602.35,603.0,601.9,602.5,15979
602.2,603.0,602.2,602.8,2690
602.85,603.0,602.75,602.75,6991
602.75,603.45,602.75,603.45,9300
603.45,603.7,603.2,603.7,2995
603.55,604.25,603.45,604.2,6087
603.75,604.2,603.75,603.85,4275
603.85,604.2,603.8,604.0,4310
604.0,605.0,603.9,604.8,5312
604.85,605.35,604.75,605.15,11235
605.0,605.3,604.7,605.1,9237
605.1,605.2,605.0,605.1,5457
605.1,605.15,604.55,604.55,2525
604.55,604.75,604.55,604.55,2339
604.55,605.2,604.55,604.7,5192
604.7,605.35,604.7,605.1,5287
605.3,605.3,604.95,604.95,5918
605.0,605.0,604.95,604.95,1554
604.95,605.0,604.2,604.35,5398
604.35,605.0,604.1,604.8,2924
605.0,605.0,604.7,604.7,2606
604.8,605.0,604.7,604.85,6354
604.8,604.85,604.1,604.15,3105
604.1,604.5,603.1,603.2,12126
603.1,603.45,602.35,602.45,2963
602.45,602.5,602.0,602.0,10622
602.15,602.45,601.4,601.6,9534
602.0,602.1,601.6,602.0,3520
602.0,602.1,601.5,601.6,2726
601.45,601.6,601.0,601.4,7929
601.25,601.7,601.0,601.1,5442
601.0,601.1,600.25,600.45,10871
600.25,600.45,600.05,600.1,11382
600.45,600.85,600.1,600.45,20565
600.25,602.0,600.1,601.5,21888
601.8,602.0,601.55,602.0,2045
602.05,602.8,601.7,602.7,8664
602.7,603.3,602.6,603.0,5621
603.0,603.4,602.9,603.0,2861
603.0,603.5,602.9,603.45,4031
603.45,603.45,602.1,602.1,9560
602.1,602.8,602.1,602.8,8610
602.55,603.5,601.5,603.15,31108
602.7,603.15,602.6,602.95,6782
602.95,603.95,602.8,603.7,4884
603.65,603.9,602.95,603.2,17325
602.85,602.85,601.75,602.25,4202
