open,high,low,close,volume
104.6,105.85,104.6,105.6,1798912
105.55,106.0,105.35,106.0,699322
106.0,106.6,105.95,106.35,1075108
106.2,106.3,105.85,106.0,840216
105.95,106.0,105.6,105.65,263058
105.65,106.2,105.6,105.95,677872
105.9,106.1,105.7,106.05,300328
106.05,106.15,105.85,105.9,299698
105.85,105.95,105.4,105.4,520128
105.4,105.75,105.4,105.65,208950
105.65,105.65,105.2,105.2,395064
105.25,105.25,104.7,104.7,673907
104.7,105.1,104.6,105.1,347494
105.1,105.5,105.0,105.45,306305
105.45,105.45,105.0,105.2,386675
105.15,105.55,105.15,105.4,391826
105.5,105.55,105.4,105.5,225515
105.6,105.95,105.55,105.9,327802
105.9,106.1,105.8,105.95,481956
105.95,106.25,105.9,106.15,299731
106.2,106.2,105.6,105.9,468220
106.0,106.1,105.9,106.0,182823
106.0,106.0,105.85,105.9,208557
105.9,105.95,105.75,105.95,151426
105.85,106.3,105.85,106.3,465655
106.35,106.4,105.9,105.95,190685
105.95,106.05,105.9,106.05,66783
106.0,106.2,105.85,106.2,220342
106.2,106.2,106.1,106.2,79462
106.25,106.45,106.2,106.25,280593
106.25,106.25,105.9,106.0,263749
105.95,106.1,105.8,106.05,197720
106.05,106.2,105.6,105.85,372763
105.9,105.9,105.6,105.75,148709
105.75,105.9,105.65,105.85,87423
105.85,105.85,105.7,105.7,86164
105.7,105.75,105.5,105.7,295282
105.7,105.7,105.55,105.65,76971
105.65,105.65,105.4,105.45,178001
105.45,105.45,105.2,105.3,382314
105.3,105.3,105.1,105.3,240918
105.3,105.6,105.15,105.4,177502
105.35,105.35,104.8,104.85,580185
104.8,104.85,104.7,104.75,228704
104.75,104.9,104.65,104.75,419233
104.75,104.75,104.5,104.6,236020
104.55,104.75,104.45,104.5,415219
104.6,104.85,104.45,104.8,205122
104.75,104.8,104.5,104.65,177780
104.6,104.7,104.5,104.6,244786
104.7,104.8,104.55,104.75,208233
104.75,104.8,104.5,104.75,261068
104.75,104.85,104.6,104.75,182945
104.7,104.75,104.5,104.6,212091
104.55,104.6,104.4,104.4,131129
104.45,104.5,104.15,104.3,406921
104.35,104.4,104.1,104.1,230335
104.1,104.2,103.95,104.1,478670
104.05,104.2,104.0,104.05,181310
104.0,104.1,103.8,103.85,200129
103.8,104.2,103.8,104.2,407787
104.15,104.2,104.0,104.15,120089
104.15,104.45,103.95,104.45,370011
104.35,104.4,104.0,104.1,103833
104.1,104.1,103.9,104.0,174051
104.0,104.1,103.9,104.1,142286
104.1,104.2,104.05,104.2,57374
104.2,104.2,104.1,104.15,73096
104.1,104.2,104.05,104.1,72667
104.15,104.2,104.05,104.15,73782
104.15,104.15,103.9,103.95,117900
103.95,104.0,103.7,104.0,345144
103.95,104.1,103.9,104.0,65236
103.95,104.0,103.9,104.0,58428
104.0,104.05,103.9,103.9,133584
103.95,103.95,103.65,103.7,217649
103.65,103.7,103.5,103.6,207045
103.7,103.7,103.6,103.7,63137
103.65,103.7,103.3,103.35,399558
103.35,103.35,102.85,103.05,561864
103.35,103.35,103.0,103.15,460329
103.2,103.45,103.2,103.35,327132
