open,high,low,close,volume
423.25,424.15,420.05,421.75,173264
421.55,421.7,420.35,421.4,100736
421.3,421.9,421.0,421.1,71967
420.7,420.75,419.25,420.45,118783
420.5,421.0,420.0,420.0,50456
420.0,420.4,419.4,419.8,55425
419.8,419.85,419.5,419.7,34038
419.85,420.25,419.65,419.95,46487
419.9,420.0,419.6,419.9,30486
419.9,419.9,418.6,418.9,51150
418.95,418.95,418.4,418.4,52256
418.4,418.5,415.55,415.7,147278
415.65,417.5,415.65,417.45,67645
417.45,418.85,417.35,418.85,58392
418.95,420.0,418.8,419.05,69513
418.85,419.5,418.85,419.15,33265
419.15,419.4,419.1,419.35,26955
419.3,420.2,419.3,419.9,42548
420.05,420.2,419.45,419.65,33845
419.65,420.8,419.45,420.35,40610
420.1,420.55,420.1,420.15,27164
420.35,421.1,419.8,421.0,64846
420.9,421.1,420.65,420.85,27485
420.7,422.25,420.25,422.05,84633
421.9,422.2,421.75,421.95,40163
422.0,422.0,421.4,421.5,23780
421.4,421.4,420.6,420.8,27893
420.75,421.0,420.6,420.95,28127
420.9,421.25,420.9,421.25,12871
421.25,421.45,420.95,421.2,11454
421.25,421.25,420.55,420.6,13106
420.7,420.75,420.3,420.5,17286
420.3,420.5,419.65,419.75,31231
419.6,420.3,419.5,420.0,23365
420.15,420.25,419.9,420.0,4774
420.0,420.0,419.25,419.3,13414
419.35,419.6,419.3,419.45,13729
419.4,419.9,419.05,419.75,37416
419.65,419.7,419.1,419.2,21718
419.1,419.25,418.4,418.5,35705
418.35,418.6,418.25,418.55,49074
418.55,418.7,417.8,418.15,49945
418.2,418.5,417.75,417.8,20549
417.8,418.0,417.7,417.9,13164
417.9,418.45,417.75,418.4,36277
418.4,418.4,417.8,418.0,13867
418.0,418.35,417.9,418.35,10889
418.35,418.65,418.15,418.65,18068
418.45,418.65,418.4,418.5,11093
418.55,418.9,418.4,418.9,11979
418.8,419.2,418.7,419.2,20752
419.2,419.25,418.9,418.9,15483
418.95,419.0,418.8,418.95,6499
418.9,419.0,418.8,418.8,5450
418.9,418.95,418.55,418.75,14481
418.75,418.8,418.25,418.45,7024
418.4,418.6,418.3,418.5,8183
418.5,418.5,418.1,418.25,7439
418.15,418.4,417.6,417.65,35797
417.75,417.95,417.3,417.3,14771
417.25,417.45,416.9,417.25,64346
417.3,417.35,416.7,416.85,44609
416.85,417.0,416.4,416.85,41831
417.0,417.0,416.7,416.85,9045
416.85,417.7,416.65,417.65,41687
417.45,417.45,416.8,417.0,11356
417.0,417.5,416.9,417.45,9411
417.5,417.5,417.2,417.35,8269
417.2,417.35,416.6,416.6,19748
416.6,416.8,416.3,416.5,27224
416.6,416.65,416.3,416.6,9876
416.6,416.7,416.3,416.5,8284
416.45,417.2,416.45,416.85,16767
416.55,417.0,416.55,416.9,6686
417.0,417.05,416.55,416.8,15150
416.8,416.8,416.0,416.0,22264
416.0,416.65,416.0,416.45,12983
416.45,417.1,416.45,416.85,19028
416.8,416.8,416.5,416.8,5235
