open,high,low,close,volume
182.0,182.4,180.35,180.5,55631
180.65,181.4,180.55,180.85,18377
180.65,180.75,179.55,180.3,36363
180.3,180.4,179.65,179.75,18033
179.75,180.15,179.75,180.1,14021
180.1,180.1,179.65,179.65,16449
179.6,179.7,178.75,179.55,38449
179.55,179.7,179.0,179.0,10170
179.0,179.75,178.85,179.65,13060
179.65,179.8,179.4,179.55,7885
179.45,179.5,179.05,179.45,6524
179.45,179.8,179.4,179.55,6271
179.55,179.55,178.95,179.0,8367
179.1,179.4,179.0,179.4,10404
179.3,179.45,179.0,179.05,5350
178.85,179.05,178.2,178.35,25831
178.35,178.55,178.1,178.35,12954
178.35,178.45,178.25,178.35,6873
178.35,178.4,177.7,178.15,19220
177.85,178.6,177.85,178.6,21940
178.5,178.7,178.0,178.15,6479
178.15,178.15,177.8,177.8,19282
177.8,178.25,177.65,178.15,12677
178.35,179.0,178.25,178.8,10089
178.8,178.85,178.4,178.4,5356
178.45,178.85,178.3,178.65,7792
178.55,178.8,178.45,178.45,5022
178.55,178.55,177.55,177.85,22360
177.85,178.1,177.8,178.1,7139
178.0,178.2,177.6,177.7,7862
177.55,177.6,177.05,177.5,23259
177.5,177.55,177.0,177.0,8962
176.95,177.95,176.75,177.4,31311
177.35,177.7,177.25,177.5,7285
177.5,178.1,177.5,177.8,6679
177.85,177.85,177.4,177.7,4266
177.7,177.7,176.9,176.9,8487
176.8,177.5,176.8,177.5,8336
177.5,177.55,177.2,177.2,3448
177.15,177.25,176.8,177.2,11520
177.15,177.2,176.65,176.75,5280
176.75,177.25,176.75,177.2,5094
177.2,177.2,176.8,176.9,4537
176.8,177.3,176.7,177.3,6285
177.3,177.3,176.85,176.85,4344
176.75,176.85,176.5,176.7,9277
176.7,176.7,176.35,176.7,8245
176.7,177.1,176.7,177.1,7268
177.1,177.15,176.95,177.15,5740
177.15,177.25,176.95,177.0,6009
177.0,177.35,177.0,177.25,2802
177.1,177.1,176.75,176.8,4571
176.75,177.15,176.7,177.15,2047
177.15,177.25,176.85,176.9,1987
176.8,177.1,176.8,177.1,4329
177.0,177.1,177.0,177.1,6830
177.25,177.25,177.0,177.1,7326
177.1,177.3,177.05,177.2,2694
177.2,177.5,177.2,177.35,4857
177.45,177.5,177.25,177.25,4808
177.25,177.35,177.25,177.35,5739
177.35,177.35,177.15,177.15,4214
177.2,177.2,177.0,177.1,30493
177.1,177.3,177.1,177.25,4069
177.25,177.5,177.25,177.5,3125
177.5,177.8,177.5,177.8,2462
177.7,177.9,177.6,177.85,10048
177.85,177.85,177.65,177.7,2564
177.7,177.8,177.7,177.8,1497
177.8,177.8,177.65,177.75,2030
177.75,177.95,177.75,177.9,2125
177.9,177.9,177.5,177.5,3509
177.5,177.55,177.35,177.45,4550
177.4,177.6,177.3,177.3,6054
177.3,177.4,176.9,176.9,32813
176.65,176.85,176.65,176.65,8288
176.65,176.75,176.5,176.5,3694
176.5,176.85,176.5,176.75,5801
176.8,176.8,176.75,176.8,810
176.8,176.8,176.7,176.8,3916
176.8,176.85,176.55,176.55,7480
176.55,176.6,176.15,176.3,11245
176.3,176.35,176.05,176.2,3537
176.2,176.5,176.2,176.35,2177
176.35,176.65,176.35,176.55,3111
176.55,176.55,176.4,176.45,1161
176.45,176.45,176.25,176.25,3104
176.25,176.3,176.15,176.3,3301
176.3,176.35,176.2,176.35,666
176.35,176.65,176.3,176.4,8852
176.4,176.4,175.8,175.8,16433
175.8,175.95,175.7,175.85,7432
175.85,176.15,175.75,175.95,5110
175.95,176.25,175.85,176.2,4805
176.2,176.2,175.65,175.7,3814
175.5,175.95,175.5,175.85,7302
175.8,176.0,175.7,175.95,4775
175.95,175.95,175.7,175.75,2725
175.8,176.4,175.75,176.3,6845
176.3,176.5,176.15,176.15,2317
176.0,176.0,175.7,175.7,5349
175.7,175.95,175.5,175.85,7331
175.85,176.0,175.85,175.85,1366
175.85,176.35,175.8,176.1,8871
176.1,176.1,175.55,175.75,5461
175.75,175.75,175.55,175.6,4364
175.65,175.85,175.6,175.85,4838
175.85,176.05,175.55,176.05,18840
