open,high,low,close,volume
446.0,446.0,439.25,442.0,77981
441.95,442.95,441.5,441.6,19465
441.6,441.8,440.35,441.1,15615
441.35,441.35,440.05,440.7,13503
440.55,442.95,440.55,442.95,17068
443.0,444.7,442.25,443.85,17900
443.6,443.85,443.2,443.25,5658
443.3,443.3,441.35,441.35,9398
441.6,443.2,440.85,443.05,20857
443.1,443.5,442.15,442.35,5350
442.35,442.35,441.1,441.2,7105
441.15,442.4,440.1,440.25,15971
440.1,440.3,439.3,439.95,28177
440.15,441.5,438.7,441.25,44015
441.4,442.25,441.05,441.55,12242
441.8,442.6,440.95,441.3,16746
441.3,441.6,441.0,441.25,5380
441.25,441.25,438.75,438.85,34736
439.15,440.0,438.95,439.6,10580
439.75,440.45,439.4,439.8,16769
439.8,439.9,439.0,439.25,14114
439.25,439.25,437.55,438.4,25780
438.05,438.7,437.65,438.5,28929
438.55,439.25,438.35,438.95,17594
438.95,440.0,438.9,439.55,19110
439.8,439.8,439.1,439.55,5620
439.35,439.5,437.5,437.55,12515
437.8,437.8,436.05,436.8,37094
436.75,437.5,436.65,437.5,8887
437.3,437.3,435.3,436.15,36943
435.7,435.85,433.0,433.5,38103
433.8,434.05,432.6,433.65,34688
433.7,436.75,433.4,436.0,16125
436.0,436.0,435.4,435.55,11464
435.55,436.5,435.55,436.05,7492
436.2,436.3,435.15,436.0,7342
436.0,436.3,433.9,434.0,10753
434.05,434.6,434.0,434.35,11390
434.35,434.8,433.5,433.5,6289
433.6,433.7,432.0,432.6,12217
432.8,433.3,432.35,432.85,10163
433.0,434.0,432.85,433.9,7455
433.9,434.65,433.6,434.15,6046
434.35,435.0,434.15,434.85,7069
434.85,435.0,434.25,434.5,8720
434.5,434.5,433.8,434.1,15919
434.1,434.45,433.3,434.25,8496
434.25,434.95,434.1,434.55,5818
434.55,435.0,433.7,435.0,7376
435.0,435.6,434.65,434.95,17048
434.95,435.55,434.9,435.5,4590
435.15,435.35,434.25,434.45,9089
434.25,435.0,434.2,434.6,5168
434.6,435.0,434.3,434.85,3507
434.9,435.0,434.55,435.0,4289
435.0,435.0,434.5,434.75,4477
434.85,435.35,434.65,435.15,5024
435.15,436.0,435.15,435.7,5922
435.7,435.9,435.1,435.45,5167
435.45,435.6,435.1,435.1,4052
435.1,435.3,434.65,435.3,4723
435.1,435.45,434.55,435.25,9361
435.3,435.3,435.0,435.05,6108
435.05,435.65,434.65,434.95,27417
434.75,435.3,434.75,435.3,3478
435.3,435.45,435.05,435.2,2681
435.05,435.8,435.05,435.8,4891
435.8,435.8,435.6,435.75,2040
435.75,435.9,435.35,435.9,2827
435.9,436.0,435.65,436.0,4372
436.0,437.2,436.0,436.85,19184
436.75,437.0,436.45,436.7,4566
436.7,436.9,436.55,436.85,4558
436.85,437.3,436.55,437.0,7632
437.0,437.0,436.2,436.3,4090
436.2,436.2,435.35,435.45,9411
435.7,435.7,435.45,435.65,3461
435.65,435.65,435.25,435.45,5259
435.45,435.45,434.8,434.85,5194
434.85,434.85,434.15,434.45,7855
434.45,434.7,434.2,434.45,5134
434.45,434.6,433.55,433.9,8108
433.8,434.3,433.6,434.0,7525
434.0,434.7,434.0,434.2,8013
434.05,434.2,434.0,434.0,2856
434.0,434.05,433.65,433.75,2408
433.75,433.85,433.5,433.8,3737
433.8,434.0,433.55,434.0,5382
434.2,434.3,433.8,434.0,2237
434.0,434.7,434.0,434.45,3622
434.45,434.45,433.35,433.55,4880
433.55,433.55,431.5,431.6,44235
431.65,432.2,431.05,432.2,11279
432.25,432.85,432.2,432.75,4196
432.8,433.0,432.1,432.55,4120
432.55,432.95,432.45,432.6,4285
432.5,433.35,432.5,432.7,8573
432.7,432.9,432.0,432.25,6583
432.25,432.35,431.85,432.25,6314
432.05,432.1,431.25,431.6,14102
431.3,431.7,430.1,430.1,15905
430.15,431.35,430.1,431.05,21009
431.0,431.15,430.75,430.8,4000
430.95,432.0,430.75,431.95,7052
431.85,432.0,431.1,431.5,5187
431.65,432.5,431.5,431.7,5261
431.7,431.95,431.15,431.95,3325
431.95,431.95,431.4,431.7,5028
431.65,431.85,431.35,431.7,3391
431.7,431.9,431.55,431.65,2333
431.9,432.45,431.45,432.45,10314
432.45,433.1,432.25,433.1,8832
433.05,433.9,433.05,433.4,12654
433.4,433.4,433.0,433.25,3727
433.25,433.4,432.2,432.45,4186
432.45,432.7,432.05,432.1,5671
432.15,432.35,432.0,432.05,4201
432.05,432.35,431.6,431.95,4894
431.75,432.35,431.75,432.2,3107
432.2,432.3,431.9,432.05,4078
431.9,432.05,431.5,431.7,2706
431.75,432.05,431.7,432.0,2127
432.0,432.1,431.6,432.1,3707
432.3,432.3,431.5,431.75,5184
431.75,431.75,431.25,431.4,3577
431.4,431.55,431.05,431.05,4663
431.05,431.7,431.05,431.65,2734
431.65,432.05,431.65,431.95,3923
431.95,432.05,431.55,431.65,2693
431.65,431.65,431.15,431.5,1730
431.5,431.5,431.15,431.2,1079
431.2,431.7,431.2,431.65,1152
431.65,431.7,431.25,431.55,2367
431.55,431.75,431.1,431.3,2302
431.45,432.0,431.3,431.75,2516
432.0,432.0,431.5,431.6,1920
431.6,433.4,431.6,433.4,14022
433.3,433.5,432.7,433.5,12010
433.5,433.85,433.15,433.45,9710
433.45,433.95,433.45,433.8,6036
433.8,434.7,433.55,434.05,18042
434.05,434.05,433.35,433.75,6124
433.75,433.85,433.35,433.85,3544
433.85,434.0,433.55,433.9,1540
433.9,433.95,433.5,433.9,3506
433.85,434.3,433.7,433.7,8743
433.9,433.9,433.6,433.85,1316
433.85,434.4,433.7,434.4,3288
434.5,435.35,434.1,435.1,15148
435.3,435.65,434.55,435.0,7077
435.0,435.0,434.3,434.65,3583
434.65,434.8,434.4,434.45,2265
434.5,434.5,433.8,434.0,8132
434.45,434.45,433.85,434.15,2796
434.15,434.65,434.1,434.6,6485
434.6,434.7,434.2,434.2,2392
434.2,434.3,433.9,434.25,3675
434.25,434.25,433.9,434.0,2833
434.0,434.15,433.9,434.05,3215
434.05,434.7,434.05,434.45,5772
434.45,434.65,433.9,433.9,4977
433.8,433.95,433.5,433.95,3019
433.95,434.95,433.8,434.8,15909
434.95,434.95,433.85,433.85,34936
433.75,433.75,432.55,433.05,24881
433.05,434.45,433.05,434.15,50322
434.4,435.4,434.2,434.5,34426
434.4,434.7,434.05,434.4,3238
434.5,434.5,433.2,433.25,9347
433.3,433.5,433.1,433.2,4119
433.2,433.35,432.8,432.8,8646
432.9,433.85,432.8,433.25,42873
433.25,434.4,433.15,434.35,5147
434.3,434.55,434.1,434.5,7077
434.5,434.5,434.0,434.45,2744
434.45,435.0,434.3,434.95,5128
434.95,435.6,434.55,435.6,10653
435.6,436.1,435.4,435.6,11920
435.6,435.6,434.9,435.2,4400
