open,high,low,close,volume
138.5,138.55,136.8,136.9,112462
137.0,137.35,136.6,137.0,88813
136.9,137.15,136.3,136.85,50039
136.85,136.85,136.35,136.85,36284
136.8,137.25,136.7,137.1,26055
137.1,137.1,136.6,136.7,25334
136.7,136.75,136.0,136.5,72085
136.4,136.5,135.9,135.9,25527
135.75,136.4,135.65,135.95,78073
136.0,136.3,136.0,136.2,25492
136.1,136.4,135.9,136.25,26903
136.2,136.3,136.05,136.15,44132
136.15,136.15,135.7,135.7,17427
135.7,136.15,135.65,136.15,24646
136.15,136.4,135.95,136.1,19763
136.0,136.0,135.35,135.4,58662
135.3,135.55,134.8,135.2,64124
135.2,135.35,135.15,135.2,24744
135.2,135.35,135.0,135.2,31869
135.2,135.2,134.6,134.75,40537
134.8,134.9,134.6,134.6,18810
134.45,134.6,134.2,134.45,33219
134.3,134.55,134.0,134.4,25994
134.4,134.9,134.4,134.7,16128
134.7,134.8,134.2,134.35,22769
134.25,135.0,134.2,134.95,35549
134.75,134.95,134.55,134.6,14079
134.4,134.45,133.75,133.85,63392
134.0,134.1,133.5,134.1,65697
134.05,134.1,133.6,133.65,12228
133.65,133.8,133.15,133.7,93311
133.55,133.95,133.55,133.9,57374
133.9,134.55,133.7,134.4,32016
134.35,134.6,134.25,134.5,22100
134.5,134.8,134.45,134.55,13412
134.55,134.75,134.15,134.65,11508
134.65,134.7,133.8,133.8,19402
133.95,134.2,133.8,134.2,26426
134.25,134.3,133.6,133.6,18316
133.75,133.75,133.0,133.45,36474
133.4,133.5,133.05,133.25,21617
133.25,133.6,133.25,133.55,28729
133.5,133.6,133.25,133.45,13722
133.45,133.8,133.35,133.8,11840
133.8,133.9,133.5,133.6,16346
133.6,133.6,133.15,133.15,16648
133.15,133.5,133.0,133.3,19185
133.3,133.45,133.2,133.3,30194
133.35,133.4,133.1,133.4,8309
133.4,133.4,133.0,133.15,14562
133.15,133.6,133.15,133.3,47252
133.4,133.4,132.6,132.85,58719
132.85,133.2,132.7,133.15,13752
133.2,133.25,132.95,133.0,13566
133.0,133.2,132.65,132.7,41121
132.6,132.6,130.6,131.4,178214
131.45,131.55,131.0,131.4,44597
131.3,131.85,131.2,131.8,37341
131.8,131.95,131.7,131.8,21921
131.75,131.8,131.25,131.4,13851
131.3,131.45,131.1,131.1,20843
131.3,131.45,131.15,131.25,26483
131.35,131.55,131.25,131.45,14061
131.45,131.55,131.2,131.4,19718
131.5,131.9,131.35,131.9,17620
131.9,132.2,131.75,131.95,23749
131.95,132.25,131.85,132.15,9471
132.25,132.25,132.0,132.05,12469
132.05,132.2,131.8,132.05,16217
132.05,132.05,131.7,132.05,16340
132.05,132.6,131.85,132.55,15312
132.55,132.65,132.4,132.45,21585
132.35,132.6,132.35,132.35,16262
132.35,132.4,131.95,132.0,17953
132.0,132.0,131.7,131.7,20056
131.7,131.75,131.6,131.65,7604
131.65,131.95,131.6,131.9,9042
131.9,132.15,131.9,132.1,14512
132.1,132.15,131.9,132.0,5893
132.0,132.0,131.65,131.9,9580
131.9,131.95,131.65,131.7,13414
131.6,131.65,131.35,131.4,36941
131.4,131.7,131.4,131.65,6828
131.65,131.85,131.65,131.8,6288
131.8,132.0,131.75,131.95,3218
131.95,131.95,131.65,131.65,12752
131.6,131.6,131.5,131.5,4232
131.5,131.85,131.5,131.75,37836
131.75,131.8,131.6,131.6,4392
131.6,131.8,131.35,131.35,27653
131.35,131.35,130.2,130.2,117998
130.2,130.25,129.9,130.1,63486
130.05,130.45,129.95,130.4,24081
130.4,130.5,130.3,130.5,17207
130.5,130.5,129.75,129.75,29374
129.7,130.45,129.7,130.3,28377
130.25,130.65,130.25,130.6,13571
130.65,130.7,130.35,130.5,13927
130.45,130.45,130.2,130.3,7094
130.35,130.45,130.2,130.2,6883
130.2,130.55,130.1,130.1,37817
130.15,130.4,130.05,130.35,7821
130.4,130.55,130.3,130.55,16587
130.55,131.1,130.45,131.1,19759
131.15,131.4,130.95,131.35,42671
131.35,131.55,130.9,131.05,69394
131.05,131.1,130.7,130.75,38018
130.8,131.1,130.55,131.1,43182
131.1,131.35,131.1,131.2,16127
131.2,131.35,131.1,131.2,17608
131.15,131.2,130.6,130.8,5578
130.75,131.0,130.7,130.95,3079
130.95,131.05,130.8,130.85,11356
130.85,131.1,130.8,130.85,3416
130.85,131.1,130.6,130.65,14115
130.65,130.7,130.3,130.45,17719
130.45,130.8,130.45,130.6,17873
130.6,130.8,130.55,130.6,2397
130.6,130.95,130.6,130.95,2205
130.95,130.95,130.8,130.9,2650
130.8,130.9,130.45,130.5,7526
130.5,130.7,130.5,130.7,7119
130.6,130.8,130.55,130.8,4511
130.8,130.9,130.65,130.8,7042
130.8,130.95,130.75,130.95,7907
130.95,130.95,130.15,130.4,52687
130.4,130.5,130.1,130.5,10296
130.5,130.55,130.3,130.3,19037
130.35,130.5,130.35,130.35,3674
130.35,130.35,130.05,130.15,12439
130.2,130.25,130.0,130.25,82869
130.25,130.35,130.2,130.25,3951
130.25,130.55,130.25,130.5,12446
130.5,130.65,130.4,130.5,11189
130.5,130.95,130.5,130.75,13620
130.75,131.0,130.6,130.6,9842
130.6,130.9,130.6,130.9,6594
130.9,130.9,130.75,130.8,5092
130.8,130.95,130.8,130.9,3854
130.9,131.3,130.9,131.05,21104
131.05,131.3,131.05,131.2,3685
131.2,131.2,130.95,131.0,2675
131.0,131.05,130.7,130.9,5587
130.9,131.1,130.9,131.0,6850
131.0,131.2,130.9,131.2,5324
131.1,131.15,130.75,130.75,6607
130.75,131.05,130.75,131.05,9565
130.95,131.45,130.95,131.45,18056
131.45,131.45,131.3,131.35,4766
131.35,131.9,131.35,131.85,29932
131.85,132.15,131.7,132.15,19018
132.15,132.2,131.8,131.95,47502
131.95,131.95,131.7,131.7,11073
131.7,131.75,131.6,131.7,3301
131.75,131.8,131.7,131.75,1832
131.75,131.8,131.65,131.7,11481
131.7,131.7,131.45,131.6,9163
131.6,131.75,131.6,131.75,5779
131.75,131.8,131.6,131.75,10106
131.8,132.05,131.8,132.05,10975
132.05,132.05,131.45,131.45,10569
131.5,131.65,131.4,131.55,8242
131.4,131.5,131.3,131.35,7190
131.35,131.5,131.15,131.3,7462
131.15,131.45,131.15,131.3,2653
131.3,131.5,131.25,131.35,17589
131.35,131.45,131.25,131.45,1172
131.45,131.65,131.45,131.45,3765
131.45,131.7,131.45,131.5,5827
131.5,131.55,131.35,131.5,2054
131.5,131.95,131.5,131.8,10786
131.8,132.05,131.75,132.0,12066
132.0,132.0,131.8,131.85,967
131.85,131.85,131.65,131.75,5886
131.65,131.7,131.4,131.5,12237
