open,high,low,close,volume
86.1,86.5,85.35,85.4,179693
85.35,85.65,85.0,85.1,89167
85.1,85.4,84.8,85.3,137715
85.4,85.45,85.1,85.3,37194
85.3,85.35,85.1,85.2,38107
85.2,85.2,84.9,84.95,54023
84.95,84.95,84.4,84.55,102228
84.55,84.55,84.25,84.45,73911
84.4,84.95,84.1,84.95,59795
84.85,85.0,84.8,84.9,27551
84.85,84.9,84.5,84.55,14134
84.55,84.6,84.45,84.5,33155
84.5,84.55,84.4,84.4,21050
84.4,84.6,84.4,84.55,18675
84.65,84.65,84.4,84.5,18674
84.5,84.5,83.8,83.8,119423
83.85,84.0,83.8,83.9,34167
83.9,83.95,83.6,83.8,45406
83.75,83.8,83.6,83.7,29924
83.7,83.8,83.5,83.8,49642
83.8,83.9,83.55,83.75,21871
83.65,83.75,83.5,83.6,27822
83.65,83.65,83.5,83.6,19925
83.55,83.85,83.5,83.75,38264
83.75,83.85,83.55,83.6,28220
83.4,83.8,83.35,83.65,87040
83.65,83.7,83.45,83.45,23536
83.45,83.5,82.9,83.3,218006
83.3,83.3,83.05,83.15,40451
83.15,83.2,83.0,83.05,34503
83.05,83.05,82.75,83.0,56322
83.0,83.25,82.9,83.15,42373
83.1,83.3,83.0,83.2,22685
83.25,83.3,83.05,83.2,24548
83.2,83.4,83.1,83.3,38957
83.3,83.6,83.1,83.45,32244
83.5,83.6,83.3,83.35,33296
83.35,83.4,83.2,83.3,22649
83.25,83.35,83.05,83.15,47378
83.15,83.15,82.9,83.1,47514
83.1,83.2,83.0,83.15,14789
83.1,83.25,83.1,83.15,37123
83.15,83.25,82.95,83.0,35664
83.0,83.15,82.95,83.1,24462
83.1,83.3,83.05,83.1,31029
83.1,83.15,83.0,83.0,17503
83.0,83.05,82.95,83.05,25875
83.0,83.15,82.95,83.15,30572
83.15,83.15,83.05,83.15,11423
83.15,83.15,83.0,83.05,11770
83.05,83.25,83.05,83.15,32120
83.15,83.3,83.15,83.25,45739
83.3,83.45,83.25,83.45,28701
83.45,83.5,83.4,83.5,22838
83.5,83.7,83.45,83.7,64455
83.65,83.75,83.55,83.6,46255
83.6,83.7,83.45,83.7,27549
83.7,83.95,83.6,83.6,58004
83.6,83.75,83.55,83.75,59940
83.7,83.8,83.5,83.5,47808
83.5,83.7,83.45,83.7,31650
83.7,83.7,83.6,83.7,14910
83.65,83.75,83.6,83.6,23197
83.6,83.6,83.55,83.6,7107
83.6,83.7,83.55,83.7,12811
83.7,83.7,83.55,83.6,27155
83.6,83.65,83.55,83.65,15989
83.65,83.7,83.55,83.7,20006
83.7,83.8,83.65,83.75,43844
83.75,83.95,83.7,83.7,33973
83.7,83.8,83.6,83.8,20250
83.8,83.85,83.7,83.75,16226
83.75,83.8,83.7,83.75,6740
83.75,83.8,83.7,83.8,11502
83.8,83.85,83.65,83.7,22703
83.7,83.7,83.55,83.65,33542
83.6,83.6,83.5,83.55,13480
83.55,83.6,83.5,83.55,12298
83.55,83.6,83.5,83.55,6533
83.55,83.55,83.35,83.4,50664
83.4,83.45,83.25,83.3,23316
83.3,83.3,83.15,83.25,26289
83.25,83.25,83.2,83.25,11305
83.25,83.45,83.25,83.35,22302
83.35,83.35,83.25,83.3,10468
83.3,83.3,83.15,83.2,23835
83.2,83.2,83.0,83.1,43403
83.1,83.2,83.0,83.15,26329
83.1,83.25,83.05,83.25,26847
83.25,83.4,83.2,83.3,15982
83.3,83.3,82.85,83.0,89149
83.0,83.1,82.9,83.0,45282
83.05,83.1,82.9,82.9,43874
82.9,83.1,82.9,83.1,7647
83.1,83.15,83.0,83.0,12038
82.95,83.05,82.95,83.0,19829
83.0,83.05,82.95,83.05,13481
83.0,83.0,82.5,82.65,112022
82.65,82.7,82.6,82.65,15365
82.65,82.8,82.55,82.55,37912
82.55,82.55,82.25,82.25,81311
82.25,82.55,82.25,82.55,53187
82.55,82.55,82.3,82.4,47360
82.4,82.6,82.3,82.6,30513
82.6,82.7,82.5,82.7,24598
82.65,82.7,82.4,82.5,20058
82.5,82.55,82.35,82.4,21113
82.4,82.4,82.25,82.35,18585
82.35,82.5,82.35,82.45,15286
82.45,82.45,82.4,82.4,15146
82.4,82.45,82.3,82.35,8915
82.4,82.4,82.3,82.35,9516
82.35,82.35,82.25,82.35,15041
82.25,82.35,82.2,82.25,11725
82.25,82.3,82.15,82.2,39636
82.2,82.25,82.1,82.1,33935
82.15,82.15,82.05,82.15,17944
82.1,82.3,82.1,82.25,22787
82.25,82.4,82.25,82.4,21893
82.4,82.45,82.25,82.45,13367
82.45,82.45,82.25,82.35,12455
82.35,82.35,82.15,82.25,24535
82.25,82.25,82.1,82.1,23088
82.1,82.15,81.75,82.0,121523
82.0,82.0,81.95,82.0,9926
82.0,82.0,81.8,81.9,34235
82.0,82.0,81.9,81.9,11722
81.95,81.95,81.85,81.9,13576
81.9,81.9,81.7,81.8,20653
81.8,82.15,81.7,82.15,159873
82.15,82.2,82.05,82.15,8083
82.15,82.5,82.1,82.5,30948
82.5,82.7,82.5,82.65,148392
82.65,82.7,82.6,82.6,18248
82.7,82.7,82.6,82.6,15661
82.65,82.8,82.6,82.75,22209
82.75,82.8,82.65,82.75,15911
82.75,82.95,82.75,82.8,43937
82.8,82.9,82.75,82.8,17513
82.8,82.95,82.8,82.9,17451
82.9,83.2,82.85,83.2,39501
83.2,83.3,83.1,83.15,50421
83.15,83.2,83.0,83.2,54082
83.2,83.3,83.1,83.3,22015
83.3,83.3,83.15,83.15,13898
83.15,83.15,82.75,82.8,44037
82.8,82.95,82.8,82.9,32746
82.85,82.85,82.6,82.7,25351
82.65,82.75,82.5,82.55,14916
82.55,82.7,82.55,82.6,29868
82.55,82.6,82.45,82.45,99965
82.5,82.6,82.15,82.2,45328
82.15,82.25,82.15,82.25,33180
82.25,82.45,82.25,82.45,45054
82.45,82.7,82.45,82.6,27056
82.6,82.6,82.55,82.6,11014
82.6,82.7,82.55,82.6,22238
82.6,82.6,82.4,82.55,15669
82.55,82.65,82.5,82.6,8126
82.6,82.75,82.6,82.75,12682
82.75,82.85,82.6,82.6,44868
82.6,82.85,82.6,82.8,22450
82.75,83.1,82.7,82.85,76414
82.85,82.9,82.5,82.55,46283
82.55,82.8,82.5,82.75,19110
82.8,82.8,82.7,82.7,5694
82.7,82.75,82.6,82.6,21984
82.6,82.6,82.3,82.4,36007
82.4,82.4,82.3,82.35,4926
82.35,82.4,82.35,82.4,4066
82.4,82.55,82.35,82.5,20250
82.5,82.5,82.45,82.5,4902
82.5,82.5,82.45,82.5,2307
82.5,82.5,82.45,82.5,2816
82.5,82.5,82.25,82.25,15779
82.25,82.45,82.25,82.3,29583
82.3,82.3,82.2,82.25,8745
82.25,82.3,82.2,82.25,14065
82.3,82.3,82.2,82.2,13508
82.2,82.2,82.05,82.05,36652
82.1,82.1,82.0,82.0,85525
82.0,82.0,81.8,81.85,29434
81.8,81.9,81.75,81.8,18799
81.8,81.9,81.8,81.9,13650
81.9,81.9,81.8,81.8,16623
81.8,81.85,81.7,81.7,47819
81.7,81.75,81.55,81.75,38043
81.75,82.0,81.7,82.0,36948
82.0,82.05,81.9,81.9,86771
81.9,82.05,81.9,82.05,29787
82.05,82.2,82.0,82.15,37893
82.15,82.5,82.1,82.45,159832
82.4,82.45,82.25,82.25,28789
82.3,82.35,82.25,82.25,32899
82.25,82.3,82.2,82.25,53703
82.25,82.4,82.25,82.3,48909
82.3,82.3,82.2,82.25,71462
82.25,82.3,82.2,82.3,3240
82.3,82.5,82.3,82.5,32621
82.5,82.55,82.45,82.55,59400
82.55,82.55,82.35,82.4,14704
82.4,82.4,82.35,82.35,6274
82.35,82.4,82.3,82.4,11339
82.4,82.4,82.25,82.35,17213
82.35,82.35,82.3,82.35,3077
82.35,82.35,82.25,82.35,5237
82.35,82.6,82.35,82.6,67199
82.6,82.6,82.5,82.6,25111
82.6,82.7,82.6,82.7,7298
82.7,82.7,82.6,82.7,24409
82.7,82.8,82.65,82.75,9336
82.75,82.8,82.55,82.6,11447
82.6,82.6,82.5,82.5,51926
82.5,82.6,82.5,82.6,14661
82.6,82.65,82.5,82.6,3776
82.6,82.65,82.5,82.55,3476
82.55,82.6,82.5,82.5,17674
82.55,82.6,82.55,82.55,4277
82.6,82.8,82.6,82.7,24517
82.75,82.8,82.7,82.75,4546
82.75,82.75,82.65,82.7,5308
82.7,82.7,82.6,82.65,5232
82.7,82.7,82.55,82.6,29679
82.6,82.65,82.5,82.55,6067
82.6,82.6,82.5,82.55,24495
82.6,82.6,82.5,82.5,22160
82.55,82.55,82.3,82.4,105566
82.4,82.4,82.25,82.25,32766
82.3,82.3,82.25,82.25,48824
82.3,82.3,82.05,82.1,77691
82.1,82.1,82.05,82.1,4898
82.1,82.1,81.65,81.7,92976
81.65,81.75,81.65,81.75,31235
81.75,81.75,81.5,81.65,66371
81.65,81.75,81.6,81.7,20500
81.7,81.7,81.45,81.45,78310
