open,high,low,close,volume
189.5,190.05,188.05,188.15,83315
188.1,188.5,187.7,187.8,34563
187.9,188.3,187.45,188.15,36195
188.15,188.15,186.8,187.1,29813
187.1,187.45,186.6,186.95,55173
186.85,187.0,186.35,186.4,31300
186.4,186.4,185.15,185.3,65004
185.45,185.5,184.85,185.35,64483
185.05,185.2,184.3,185.15,85530
184.9,185.15,184.2,184.2,34340
184.2,184.55,184.1,184.55,36724
184.55,184.85,184.25,184.6,23953
184.65,184.9,184.2,184.35,39468
184.3,184.5,184.3,184.5,61918
184.35,184.5,183.85,184.05,59582
183.95,184.05,183.1,183.1,38824
183.3,183.3,182.75,182.85,46522
182.9,183.05,182.8,182.9,68658
182.95,183.05,182.6,183.0,126374
183.0,183.0,182.4,182.95,47322
183.0,183.55,182.75,183.45,57594
183.45,183.8,183.15,183.2,218715
183.2,183.45,182.9,183.45,32216
183.45,183.8,183.45,183.6,70404
183.6,183.6,183.2,183.3,46268
183.3,183.6,183.2,183.4,64077
183.4,183.6,183.4,183.45,50761
183.35,183.8,183.2,183.4,111455
183.4,183.5,183.05,183.45,33797
183.55,183.55,183.05,183.35,30829
183.4,183.75,183.15,183.75,118981
183.65,183.95,183.5,183.75,114506
183.75,184.45,183.55,184.2,51004
184.2,184.45,184.1,184.4,125284
184.4,184.7,184.3,184.3,122418
184.5,184.75,184.25,184.4,47184
184.15,184.25,183.5,183.55,126250
183.6,183.6,183.2,183.3,162400
183.3,183.4,183.05,183.05,106775
182.75,183.05,182.25,183.0,84900
183.05,183.05,182.5,182.55,99123
182.45,182.5,181.8,181.85,99564
181.85,182.0,181.5,181.7,92168
181.7,182.0,181.55,181.85,54006
181.85,182.4,181.85,182.3,96136
182.3,182.55,182.05,182.1,92309
182.0,182.1,181.1,181.15,41959
181.1,181.35,181.1,181.25,21526
181.25,181.25,180.6,180.75,50818
180.75,180.95,180.75,180.9,16645
180.9,181.45,180.75,180.85,30890
180.7,180.7,180.25,180.6,38705
180.6,180.95,180.5,180.9,9933
180.7,181.05,180.4,180.5,29437
180.6,180.6,180.25,180.5,15108
180.55,180.65,180.25,180.3,15566
180.4,180.4,179.85,180.25,72127
