open,high,low,close,volume
195.5,197.0,195.1,197.0,42430
196.9,197.0,195.75,196.35,34280
196.35,197.5,196.2,197.4,37336
197.65,198.45,197.5,198.25,48129
198.25,200.4,198.25,199.7,94288
199.6,200.2,198.9,198.9,56320
198.8,199.65,197.8,198.9,77333
198.75,198.8,197.7,198.0,125243
197.95,198.7,197.95,198.5,92072
198.45,198.5,197.9,198.0,63741
198.0,198.0,197.75,197.9,35144
198.0,198.0,196.9,196.9,58491
196.9,197.1,196.5,197.1,34749
197.0,197.35,196.85,196.85,38434
196.9,197.0,196.65,196.7,22992
196.65,196.7,195.5,195.55,55901
195.55,196.0,195.55,195.85,30666
195.85,195.95,195.8,195.95,23878
195.9,196.0,195.7,195.9,26901
195.9,195.95,195.7,195.75,12522
195.75,196.0,195.75,195.9,12875
195.9,196.0,195.7,195.9,11604
195.9,195.95,195.6,195.8,8362
195.8,195.85,195.4,195.5,23069
195.5,195.6,195.2,195.45,9852
195.45,195.45,194.1,194.3,41114
194.3,194.35,193.9,194.35,34188
194.35,194.7,194.15,194.6,22930
194.6,194.7,194.0,194.0,13293
194.15,194.6,194.0,194.05,12512
194.0,195.0,194.0,194.55,17963
194.55,195.0,194.5,194.65,9137
195.0,195.0,194.55,194.8,8955
194.8,194.8,194.1,194.25,10539
194.25,194.55,194.0,194.0,17163
194.05,194.5,194.0,194.1,13330
194.3,194.65,194.0,194.3,20214
194.2,194.45,194.0,194.05,7181
194.0,194.4,193.8,194.0,17589
193.85,193.85,192.8,192.9,36949
192.8,193.1,192.7,193.05,25409
193.05,193.05,192.8,193.0,17173
193.0,193.0,192.95,193.0,13178
193.0,193.2,192.95,193.15,10737
193.05,193.4,193.05,193.25,7818
193.25,193.5,193.0,193.0,18184
193.0,193.2,192.85,193.0,13107
193.0,193.1,192.85,192.85,7323
192.85,192.95,192.85,192.9,5594
192.9,192.9,192.4,192.4,20823
192.2,192.4,190.95,190.95,81977
190.9,191.0,190.6,190.85,22546
190.85,190.95,190.6,190.9,15655
190.9,190.9,189.75,189.75,48579
189.75,190.0,189.5,190.0,16101
190.0,190.5,189.85,190.0,14869
190.0,190.0,189.9,190.0,11403
190.0,190.0,189.9,190.0,14203
190.0,190.0,189.95,190.0,6851
190.0,190.2,189.9,190.05,11970
190.0,190.25,189.9,190.0,29460
190.0,190.2,189.85,190.05,6771
190.05,190.2,190.0,190.0,7793
190.0,190.35,189.9,190.0,18190
190.0,190.0,189.85,190.0,5419
190.0,190.0,189.9,190.0,5668
190.0,190.3,189.95,190.0,9988
190.0,190.0,189.95,190.0,6841
190.0,190.0,189.9,189.95,9967
189.95,190.0,189.9,190.0,7022
190.0,190.0,189.9,190.0,7663
190.0,190.0,189.9,190.0,14206
190.0,190.0,189.9,190.0,11982
189.9,189.95,189.7,189.85,11056
189.9,189.9,188.55,188.85,30781
188.8,188.9,188.5,188.9,11283
188.9,188.95,188.75,188.85,4909
188.85,188.95,188.6,188.8,7540
188.8,188.9,188.6,188.7,8525
188.5,188.7,187.6,187.6,36477
187.85,187.85,186.7,186.8,24011
186.8,187.25,186.65,186.85,21249
186.7,187.05,186.7,186.9,10345
186.9,187.05,186.8,187.0,10076
187.0,187.0,186.8,186.9,9506
186.9,186.9,186.65,186.85,5989
186.75,186.9,186.5,186.9,10084
186.9,186.9,186.8,186.8,7078
186.85,186.9,186.45,186.65,13168
186.8,186.8,186.0,186.0,22198
185.9,185.95,185.6,185.8,11288
185.75,186.0,185.7,186.0,8627
186.0,186.0,185.8,185.95,10630
185.95,185.95,185.8,185.95,43180
185.95,186.0,185.9,186.0,19269
186.0,186.15,185.95,186.05,15777
186.05,186.6,186.0,186.35,11292
186.1,186.75,185.95,186.55,19574
186.55,186.6,186.1,186.25,7899
186.25,186.5,186.15,186.45,3260
186.65,187.45,186.45,186.85,50373
186.7,187.05,186.2,186.95,5523
186.8,187.05,186.8,186.9,3244
186.9,187.5,186.8,187.3,5475
187.3,187.3,187.0,187.3,5234
187.3,187.5,187.15,187.35,6649
187.35,187.85,187.2,187.6,2648
187.6,188.0,187.35,187.9,6180
187.9,187.95,187.2,187.25,15110
187.25,187.25,186.7,187.0,10533
187.0,187.0,186.05,186.35,8561
186.35,186.55,186.1,186.35,5228
186.3,187.0,186.3,186.5,5674
186.5,186.75,186.4,186.75,1988
186.75,186.75,186.4,186.5,2885
186.5,186.65,186.45,186.5,1548
186.5,186.6,186.35,186.4,2426
186.35,186.4,186.35,186.4,1115
186.4,186.95,186.35,186.85,9682
186.85,187.35,186.6,187.25,1478
187.25,187.5,187.25,187.5,2170
187.5,187.5,187.35,187.4,2274
187.5,187.5,187.35,187.5,3028
187.5,187.5,187.35,187.5,13442
187.5,187.5,187.35,187.45,3547
187.45,187.45,186.55,186.95,6783
186.9,187.0,186.5,187.0,3430
187.0,187.0,186.95,186.95,733
187.0,187.0,186.6,187.0,2318
187.0,187.0,186.65,187.0,576
187.0,187.0,186.5,186.5,3923
186.4,186.4,185.8,185.8,30410
185.85,186.0,185.8,186.0,4675
186.0,186.0,185.8,186.0,9003
186.0,186.0,185.7,185.8,12503
186.0,186.0,185.85,185.95,4786
185.95,186.25,185.7,185.95,20241
185.95,186.0,185.6,186.0,4050
185.95,186.0,185.95,186.0,4957
186.0,186.0,185.95,186.0,5040
186.0,186.0,185.95,186.0,10444
186.0,186.25,185.85,186.05,9560
186.05,186.15,185.95,186.1,3097
186.0,186.05,185.95,186.0,7102
186.0,186.0,185.95,186.0,548
186.0,186.2,185.9,186.0,3405
185.9,186.1,185.9,186.0,2709
186.0,186.1,185.95,186.0,2247
186.0,186.25,185.95,186.1,3516
186.25,186.25,185.95,186.0,15151
185.9,186.0,185.9,186.0,3046
186.0,186.25,186.0,186.1,3082
186.1,186.25,186.05,186.05,2245
186.05,186.25,186.05,186.15,3669
186.15,186.2,185.95,186.0,9765
186.0,186.2,185.95,186.15,1736
186.15,186.5,186.15,186.2,2930
186.2,186.5,186.2,186.5,944
186.5,186.9,186.3,186.3,1676
186.3,187.55,186.3,187.45,4078
187.45,187.75,187.25,187.75,4999
187.65,187.75,186.8,187.4,9921
187.15,187.75,187.05,187.45,9613
187.45,187.7,187.4,187.65,2985
187.65,187.65,187.15,187.55,4344
187.6,187.65,187.4,187.4,4644
187.35,187.65,187.35,187.5,6634
187.45,187.65,187.45,187.65,2178
187.55,187.65,187.4,187.5,3403
187.5,187.6,187.4,187.6,1635
187.6,187.6,187.4,187.6,1827
187.6,187.6,187.4,187.4,5039
187.5,187.65,187.4,187.5,868
187.65,187.7,187.4,187.5,9839
187.5,187.6,187.4,187.5,4877
187.4,188.1,187.3,187.35,22943
187.35,187.95,187.35,187.5,4993
187.5,187.85,187.4,187.5,7308
187.4,187.5,187.4,187.45,1104
187.45,187.7,187.4,187.4,1069
187.4,187.9,187.4,187.65,2904
187.7,187.8,187.6,187.6,2800
187.6,187.85,187.6,187.75,606
187.75,187.8,187.55,187.65,2032
187.65,187.75,187.6,187.7,1895
187.7,187.9,187.7,187.7,1324
187.75,188.0,187.7,187.85,2343
187.85,188.0,187.85,187.85,3381
187.85,188.0,187.8,187.8,2568
187.8,188.0,187.5,187.5,9413
187.5,187.7,187.3,187.4,11117
187.4,187.5,187.4,187.4,1319
187.4,187.5,187.35,187.4,914
187.4,187.5,187.35,187.5,1182
187.35,187.55,187.3,187.5,3043
187.55,187.8,187.3,187.5,5312
187.5,187.6,187.5,187.5,187
187.6,187.75,187.5,187.55,1951
187.55,187.8,187.55,187.6,1153
187.6,187.8,187.6,187.7,3138
187.7,187.9,187.7,187.8,3016
187.85,188.05,187.8,187.85,4446
187.95,188.1,187.8,187.95,4538
187.95,188.2,187.9,188.15,1983
188.1,188.45,188.1,188.35,8349
188.25,188.5,188.1,188.25,10018
188.35,188.5,188.0,188.0,6830
188.0,188.1,187.5,188.0,6635
187.95,187.95,187.55,187.75,4118
187.75,187.95,187.5,187.65,4062
187.65,187.95,187.6,187.95,1054
187.95,188.25,187.6,187.6,5390
187.55,187.6,187.25,187.3,7964
187.4,187.65,187.25,187.35,12627
187.5,187.75,187.4,187.75,1765
187.65,187.9,187.55,187.8,1252
187.85,187.9,187.5,187.55,9572
187.55,187.7,187.55,187.6,2122
187.55,187.8,187.55,187.75,2344
187.75,187.8,187.55,187.7,4103
187.7,188.0,187.5,187.55,5407
187.6,187.8,187.6,187.7,3169
187.7,188.2,187.6,188.05,2928
188.4,188.45,188.0,188.3,4504
188.35,188.45,187.0,187.25,28483
187.25,187.6,187.2,187.25,1376
187.25,187.5,187.2,187.35,978
187.5,187.5,187.2,187.25,1038
187.4,188.0,187.25,187.75,7919
187.75,187.9,187.55,187.8,4743
187.8,188.0,187.45,187.45,8653
187.5,187.75,187.5,187.5,1362
187.6,187.8,187.55,187.6,294
187.6,187.9,187.6,187.75,3650
187.85,188.0,187.7,187.7,3934
187.75,188.0,187.6,187.7,4882
187.7,188.0,187.7,188.0,3226
188.0,188.0,187.75,187.85,8947
187.85,188.1,187.85,188.0,766
188.0,188.25,188.0,188.25,574
188.25,188.3,187.5,187.8,16907
187.8,188.4,187.65,187.9,12684
187.9,188.0,187.65,187.9,1573
187.85,188.55,187.85,188.35,4636
188.35,188.45,188.15,188.2,4406
188.2,188.55,188.0,188.5,11553
188.5,188.65,188.1,188.4,4284
188.4,188.8,188.0,188.0,17681
188.15,188.3,188.0,188.15,1446
188.15,188.4,187.6,188.0,12062
188.0,188.2,188.0,188.0,4986
188.05,188.2,188.0,188.05,7461
188.0,188.15,187.8,187.9,3284
187.9,188.05,187.8,187.9,1081
187.9,188.0,187.8,187.9,2347
187.85,188.0,187.8,187.8,667
187.75,187.75,187.6,187.7,2473
187.65,188.0,187.65,187.9,2821
187.9,188.25,187.8,188.0,425
188.0,188.25,187.9,187.9,682
187.9,188.2,187.9,187.95,434
188.0,188.5,187.95,188.35,737
188.35,188.5,188.1,188.3,1573
188.3,188.45,188.15,188.25,1062
188.25,188.45,188.25,188.35,1586
188.35,188.5,188.35,188.4,923
188.4,188.5,188.4,188.4,1402
188.5,189.0,188.45,188.9,7604
188.85,189.15,188.85,188.95,8274
188.95,189.0,188.35,188.55,6114
188.4,188.65,188.3,188.55,5431
188.5,189.2,188.5,189.1,16877
189.0,189.1,188.8,188.9,3865
188.9,189.0,188.8,188.85,2290
188.85,189.0,188.85,188.85,3814
188.9,189.05,188.85,189.05,7134
189.05,189.35,188.9,189.25,4702
189.25,189.35,188.7,188.75,15028
188.75,189.15,188.75,188.8,2787
188.8,189.1,188.8,189.0,3270
189.0,189.0,188.8,188.8,6066
188.85,189.0,188.8,188.8,1122
189.0,189.0,188.8,189.0,2153
189.0,189.0,188.8,188.9,2319
188.9,189.05,188.85,189.0,4721
189.0,189.0,188.9,189.0,5435
188.9,189.0,188.75,188.85,8840
188.8,189.0,188.65,188.65,12788
188.65,188.9,188.6,188.7,1803
188.7,188.7,188.2,188.2,9065
188.2,188.5,188.2,188.45,777
188.45,188.5,188.2,188.2,1827
188.2,188.5,188.2,188.4,1515
188.3,188.4,188.3,188.35,1620
188.35,188.4,188.25,188.25,1155
188.25,188.4,188.25,188.3,2777
188.25,188.4,188.2,188.2,4625
