open,high,low,close,volume
320.0,320.0,314.1,314.9,689200
314.85,314.85,313.3,313.9,421640
314.2,314.6,313.4,314.5,370593
314.6,314.85,313.9,314.6,387861
314.5,314.75,313.9,313.95,317171
313.9,314.0,312.8,313.1,541202
313.1,313.25,311.9,312.35,634975
312.4,312.45,311.55,311.85,308941
311.85,312.15,311.25,312.15,275320
312.05,312.8,312.0,312.6,143275
312.65,312.65,311.2,311.55,233208
311.7,311.75,310.8,310.8,288248
310.75,311.0,310.0,310.05,409339
310.05,310.25,309.3,310.0,527796
310.0,310.9,309.5,309.9,308419
309.65,309.9,309.0,309.3,325296
309.3,309.8,309.3,309.5,196819
309.4,309.5,308.85,309.1,403290
309.2,309.2,308.8,309.0,162262
309.15,309.15,308.4,309.1,215575
309.0,309.1,308.6,308.65,143383
308.75,308.75,306.35,306.45,633193
306.6,307.25,306.0,307.1,463588
307.05,308.05,306.9,307.85,296692
307.75,308.15,307.25,307.55,193983
307.4,307.85,307.0,307.2,307928
307.05,307.2,305.35,305.5,407403
305.95,306.0,304.2,304.6,618151
304.65,304.65,303.25,304.15,691076
304.0,304.1,302.25,302.6,462428
302.5,302.5,300.0,300.8,1230762
301.15,303.2,301.15,302.75,487259
302.75,303.5,302.25,302.5,356178
302.45,303.0,302.2,302.45,263786
302.6,304.2,302.5,303.9,272706
303.9,304.45,303.55,303.55,357664
303.5,303.5,300.55,300.9,737092
301.0,301.8,300.6,300.85,568404
301.05,301.25,300.15,300.95,636241
300.95,301.15,300.35,301.0,426338
300.95,301.0,300.4,300.7,331596
300.7,301.65,300.65,301.35,342686
301.25,301.3,300.6,301.0,316011
300.85,302.15,300.85,301.95,316495
301.9,302.15,300.6,300.7,372961
300.85,301.75,300.05,301.6,779417
301.7,302.95,301.5,302.85,268481
302.9,303.4,302.5,303.3,238817
303.3,303.3,302.5,303.0,154498
302.9,303.05,302.15,302.7,161261
302.6,303.3,302.6,302.95,217254
303.1,303.15,301.75,302.15,275989
302.1,303.1,302.05,302.7,141177
302.6,303.05,302.5,302.7,155093
302.65,303.25,302.35,303.0,168034
302.85,303.0,302.5,302.8,129886
302.8,302.95,301.95,302.8,340717
302.8,303.7,302.8,303.7,174447
303.75,304.2,303.25,303.6,158779
303.75,303.8,302.75,303.0,169472
302.95,303.25,302.35,302.5,171106
302.5,302.9,302.3,302.45,149239
302.4,302.5,301.65,301.85,359943
301.9,302.25,301.7,302.2,138878
302.0,302.6,302.0,302.5,139206
302.5,303.25,302.4,302.95,122721
302.75,303.2,302.6,303.0,90881
302.95,303.0,302.6,303.0,75427
302.9,303.15,302.8,303.05,105110
303.0,303.05,302.4,302.8,162846
302.85,303.5,302.75,303.05,122745
303.1,303.5,303.0,303.0,80319
303.1,303.5,301.8,301.95,682991
301.45,301.95,301.15,301.6,931512
301.6,301.85,300.95,301.1,400713
301.0,301.25,300.7,301.25,269717
301.25,301.65,301.15,301.4,113762
301.35,302.35,301.25,302.1,223646
302.1,302.5,302.0,302.4,98980
302.45,302.5,302.0,302.3,68926
302.25,302.7,301.5,301.65,144326
301.6,301.7,301.25,301.4,84614
301.4,302.0,301.35,301.9,145178
301.8,302.45,301.75,302.1,110255
302.0,302.35,302.0,302.2,107330
302.15,302.4,301.9,301.9,111952
301.9,302.2,301.75,302.0,63781
301.9,302.35,301.8,302.15,75518
302.2,302.4,301.9,302.1,57014
302.1,302.3,301.8,301.85,70733
301.85,301.9,300.65,300.8,447656
300.85,300.85,300.15,300.15,619587
300.05,300.55,298.75,298.95,1426551
298.7,299.7,298.7,299.65,290910
299.55,299.65,298.25,298.4,332604
298.25,299.2,298.2,298.9,225774
298.75,299.6,298.75,299.45,135677
299.45,299.45,298.1,298.1,208109
298.05,298.6,297.7,298.3,334722
298.2,298.45,297.7,297.7,182312
297.7,298.0,296.3,296.3,400590
296.3,296.65,296.0,296.4,394730
296.4,296.4,294.6,294.8,970215
294.9,296.35,294.85,296.25,353509
296.3,296.85,295.95,296.45,258050
296.6,296.85,296.3,296.6,130800
296.5,297.0,296.4,296.95,146635
297.0,297.2,296.45,297.1,192591
297.2,297.5,297.0,297.2,113545
297.2,297.5,297.0,297.2,113466
297.35,297.35,296.5,297.0,134259
297.1,297.5,297.0,297.4,189109
297.45,297.5,296.85,297.3,86897
297.1,297.4,297.0,297.1,70311
297.3,297.45,296.85,296.95,99998
297.2,297.4,296.7,297.0,126936
296.85,297.5,296.85,297.5,225120
297.5,297.5,296.6,296.9,200159
296.95,297.5,296.9,297.15,152250
297.15,297.15,296.8,296.9,51132
296.9,297.25,296.2,296.4,233313
296.55,297.25,296.5,297.25,65745
297.25,297.45,297.05,297.4,73428
297.4,297.45,296.85,297.1,132455
297.1,297.5,296.85,297.35,100960
297.25,297.3,296.35,296.8,113166
296.75,297.0,296.45,296.75,94960
296.65,296.8,296.0,296.05,175940
296.05,296.25,295.7,295.95,152698
295.9,295.9,295.4,295.75,140970
295.65,295.8,295.1,295.4,135584
295.45,295.85,295.15,295.3,160729
295.15,295.45,295.05,295.4,90058
295.25,295.5,293.6,294.3,952509
294.3,295.2,294.2,295.2,172454
295.05,295.45,294.5,294.65,166965
294.65,295.1,294.3,295.0,155887
295.05,295.5,294.95,295.15,102078
295.3,296.1,294.85,295.4,259109
295.4,296.2,295.25,295.85,108914
295.8,296.6,295.8,296.4,199669
296.4,296.5,295.6,295.75,145313
295.8,296.2,295.55,296.05,76087
296.15,296.45,295.9,296.0,86153
296.0,296.3,295.8,295.9,115896
295.9,296.05,295.7,295.75,59631
295.75,296.2,295.65,295.95,82362
296.0,296.75,295.8,296.75,126299
296.7,297.3,296.6,297.15,278113
297.05,297.65,296.75,297.25,339310
297.2,297.65,296.7,297.65,108679
297.5,298.3,297.25,297.7,197731
297.7,297.75,297.15,297.35,108369
297.5,297.65,297.15,297.2,73515
297.25,297.5,297.1,297.15,66825
297.2,297.3,296.95,297.05,121213
297.1,297.2,296.75,296.85,100925
296.75,297.3,296.55,297.3,90173
297.15,297.55,296.8,297.35,96117
297.4,298.25,297.4,298.1,137113
298.1,298.25,297.6,297.7,125229
297.65,298.0,297.65,297.95,66871
297.9,298.1,297.6,297.8,100141
297.8,297.95,297.25,297.3,69157
297.45,297.8,297.35,297.8,67185
297.75,298.45,297.75,298.05,141181
298.05,298.8,297.95,298.6,154553
298.5,298.85,298.2,298.2,150464
298.2,298.75,298.2,298.4,103809
