open,high,low,close,volume
75.55,75.75,75.45,75.45,145489
75.5,75.55,75.2,75.25,71670
75.25,75.25,74.95,75.1,214638
75.0,75.15,74.9,74.95,96347
74.9,75.0,74.65,74.8,112682
74.8,74.8,74.6,74.65,91570
74.6,74.6,74.4,74.4,124760
74.4,74.4,74.2,74.3,95566
74.3,74.3,74.1,74.2,94684
74.1,74.2,74.0,74.05,118852
74.05,74.2,74.0,74.2,71014
74.2,74.25,74.1,74.2,38640
74.2,74.25,74.1,74.25,43129
74.2,74.25,74.15,74.2,50800
74.2,74.25,73.9,73.9,267946
73.9,73.9,73.6,73.65,127189
73.65,73.65,73.35,73.55,149880
73.55,73.55,73.4,73.55,64773
73.55,73.55,73.3,73.4,107569
73.4,73.45,73.25,73.35,86489
73.3,73.35,73.05,73.05,158854
73.1,73.1,72.85,72.9,155466
72.95,73.05,72.85,73.05,97735
73.0,73.2,73.0,73.2,59560
73.15,73.2,73.0,73.1,110086
73.1,73.2,73.05,73.15,45281
73.2,73.25,73.15,73.2,38830
73.15,73.15,72.8,72.9,210707
72.9,73.0,72.8,73.0,58247
73.05,73.05,72.8,72.9,90826
72.9,72.9,72.55,72.85,234871
72.85,72.9,72.8,72.9,36844
72.9,73.15,72.85,73.05,96137
73.1,73.15,73.05,73.1,36458
73.1,73.2,73.05,73.2,90273
73.2,73.2,73.05,73.2,40725
73.2,73.2,73.05,73.05,55407
73.05,73.3,73.0,73.3,71921
73.3,73.5,73.25,73.45,130473
73.4,73.4,73.2,73.4,77719
73.4,73.4,73.3,73.35,25438
73.3,73.35,73.3,73.35,52673
73.35,73.35,73.15,73.15,63248
73.2,73.25,73.15,73.25,31411
73.2,73.4,73.2,73.4,42535
73.3,73.4,73.25,73.3,25289
73.35,73.35,73.25,73.35,21952
73.35,73.35,73.3,73.35,15306
73.35,73.45,73.3,73.45,95619
73.45,73.6,73.45,73.55,66661
73.55,73.55,73.4,73.5,45376
73.5,73.5,73.3,73.45,44119
73.45,73.45,73.35,73.45,33099
73.45,73.5,73.35,73.4,29907
73.4,73.4,73.3,73.4,58917
73.4,73.4,73.3,73.4,15884
73.35,73.4,73.25,73.3,76518
73.3,73.35,73.25,73.35,30076
73.35,73.45,73.35,73.4,33663
73.45,73.5,73.35,73.4,30657
73.35,73.55,73.35,73.55,43069
73.55,73.6,73.45,73.55,42651
73.6,73.6,73.45,73.45,59870
73.55,73.55,73.45,73.5,21204
73.5,73.55,73.4,73.5,13160
73.45,73.6,73.45,73.55,27040
73.55,73.55,73.5,73.55,14633
73.55,73.55,73.3,73.45,96382
73.45,73.45,73.35,73.45,15448
73.45,73.45,73.35,73.4,14049
73.4,73.5,73.4,73.45,21457
73.45,73.55,73.4,73.5,11062
73.5,73.5,73.45,73.5,5334
73.45,73.55,73.45,73.5,18379
73.5,73.55,73.4,73.4,30525
73.4,73.4,73.3,73.4,59960
73.4,73.4,73.3,73.3,12776
73.3,73.4,73.3,73.4,18614
73.4,73.4,73.35,73.4,16513
73.4,73.4,73.3,73.4,20064
73.4,73.4,73.15,73.2,100429
73.2,73.2,73.0,73.1,43425
73.1,73.25,73.05,73.2,16124
73.2,73.2,73.15,73.2,38446
73.2,73.2,73.0,73.1,42639
73.1,73.15,73.0,73.1,29883
73.1,73.1,73.0,73.05,23828
73.05,73.1,73.0,73.1,13984
73.1,73.1,73.0,73.0,16863
73.05,73.1,72.9,72.95,191618
72.95,73.0,72.8,72.85,103837
72.85,72.85,72.7,72.8,43138
72.75,72.8,72.7,72.75,24030
72.75,72.8,72.7,72.8,47315
72.75,72.8,72.7,72.75,42731
72.75,72.75,72.6,72.65,77120
72.65,72.7,72.6,72.7,36189
72.7,72.7,72.6,72.6,52244
72.65,72.65,72.6,72.65,42594
72.65,72.75,72.6,72.75,92288
72.75,72.75,72.5,72.5,206489
72.55,72.55,72.4,72.5,125447
72.5,72.55,72.4,72.55,50910
72.5,72.7,72.45,72.65,45267
72.65,72.65,72.45,72.5,40829
72.45,72.5,72.2,72.25,103144
72.25,72.25,72.1,72.1,93237
72.15,72.15,72.05,72.15,108197
72.15,72.2,72.05,72.1,54945
72.15,72.15,72.0,72.1,65239
72.1,72.1,72.0,72.05,185978
72.05,72.1,72.0,72.05,49049
72.05,72.05,72.0,72.0,35915
72.05,72.05,71.95,72.0,73487
72.0,72.05,71.9,71.9,93483
71.9,71.9,71.7,71.75,74020
71.75,71.9,71.7,71.75,50519
71.75,71.85,71.7,71.75,55886
71.85,71.95,71.75,71.9,47736
71.9,71.95,71.85,71.9,35213
71.9,71.95,71.8,71.95,49070
71.95,72.0,71.9,71.95,77629
72.0,72.15,72.0,72.1,52744
72.1,72.1,71.95,72.05,62804
72.05,72.05,72.0,72.05,14871
72.05,72.05,71.95,72.0,90469
72.0,72.0,71.85,71.9,28603
71.9,71.9,71.8,71.85,29785
71.9,71.95,71.85,71.9,14836
71.9,72.15,71.85,72.05,69520
72.1,72.1,71.6,71.7,165925
71.7,72.0,71.7,72.0,41704
72.0,72.2,72.0,72.05,38803
72.1,72.15,72.0,72.15,40142
72.15,72.15,72.0,72.05,19859
72.0,72.2,72.0,72.15,43317
72.2,72.45,72.15,72.4,39576
72.35,72.5,72.3,72.4,48447
72.45,72.5,72.4,72.4,16775
72.45,72.55,72.4,72.5,65306
72.5,72.75,72.5,72.7,61639
72.7,72.75,72.5,72.5,49675
72.5,72.5,72.4,72.45,32752
72.45,72.65,72.4,72.6,50547
72.55,72.65,72.55,72.65,81960
72.65,72.65,72.5,72.55,29155
72.55,72.55,72.35,72.4,36076
72.4,72.6,72.4,72.6,18950
72.6,72.7,72.55,72.65,14783
72.65,72.75,72.65,72.7,22872
72.65,72.75,72.6,72.75,18076
72.75,72.9,72.75,72.8,39873
72.8,72.9,72.75,72.8,20451
72.8,72.8,72.7,72.8,16780
72.8,72.9,72.8,72.85,12852
72.85,72.9,72.8,72.8,16999
72.8,72.8,72.7,72.75,22021
72.75,72.8,72.7,72.75,46356
72.7,72.75,72.5,72.55,126437
72.6,72.75,72.6,72.7,67163
72.7,72.7,72.55,72.6,8046
72.6,72.6,72.35,72.4,93397
72.35,72.45,72.25,72.4,61645
72.4,72.4,72.3,72.35,15984
72.3,72.4,72.25,72.35,29451
72.3,72.45,72.3,72.45,20122
72.45,72.65,72.35,72.65,24018
72.65,72.65,72.55,72.65,17856
72.65,72.65,72.55,72.6,16754
72.6,72.6,72.55,72.6,8375
72.6,72.7,72.55,72.65,22438
72.65,72.75,72.6,72.7,19757
72.65,72.75,72.65,72.7,20253
72.7,72.7,72.65,72.7,14173
72.65,72.65,72.45,72.55,53772
72.55,72.65,72.55,72.6,17182
72.6,72.6,72.4,72.4,35281
72.4,72.45,72.35,72.4,32415
72.4,72.5,72.4,72.5,11379
72.4,72.45,72.35,72.4,45668
72.4,72.4,72.35,72.4,22811
72.4,72.45,72.35,72.35,6205
72.35,72.45,72.35,72.45,6186
72.45,72.45,72.35,72.45,7152
72.45,72.5,72.4,72.4,10736
72.45,72.45,72.35,72.35,17643
72.3,72.35,72.3,72.35,15983
72.35,72.35,72.25,72.35,20781
72.35,72.4,72.3,72.4,13137
72.4,72.4,72.3,72.35,21905
72.35,72.35,72.2,72.2,23116
72.2,72.3,72.2,72.25,29027
72.25,72.3,72.2,72.3,13857
72.25,72.35,72.25,72.3,16250
72.3,72.35,72.2,72.35,17539
72.35,72.45,72.25,72.4,9361
72.4,72.4,72.3,72.35,6096
72.35,72.4,72.3,72.4,14122
72.4,72.45,72.3,72.45,25684
72.45,72.45,72.35,72.45,8914
72.4,72.55,72.4,72.5,24991
72.5,72.5,72.4,72.4,10951
72.5,72.5,72.35,72.4,23691
72.4,72.45,72.35,72.35,12653
72.35,72.4,72.35,72.4,8969
72.4,72.4,72.35,72.4,18106
72.4,72.4,72.35,72.4,7734
72.35,72.4,72.2,72.25,65056
72.3,72.4,72.25,72.4,13390
72.4,72.55,72.35,72.5,32064
72.45,72.65,72.45,72.6,62694
72.6,72.6,72.4,72.5,22313
72.5,72.5,72.4,72.45,10640
72.45,72.45,72.3,72.35,32034
