open,high,low,close,volume
166.0,166.2,164.5,165.2,278219
165.3,165.5,164.7,165.35,260557
165.25,165.5,164.9,165.5,159199
165.4,165.8,165.25,165.7,149248
165.6,166.1,165.6,166.0,111478
166.1,166.2,165.8,166.15,143563
166.15,166.4,166.0,166.35,116314
166.35,166.35,166.0,166.1,99904
166.0,166.0,165.7,165.8,91611
165.85,166.2,165.7,166.0,100706
166.0,166.0,165.7,165.75,86779
165.75,165.85,165.4,165.4,71608
165.45,165.8,165.3,165.6,59619
165.7,165.75,165.5,165.65,34423
165.75,165.8,165.15,165.4,53062
165.4,165.4,164.95,165.35,106729
165.35,165.45,165.25,165.35,46068
165.3,165.35,165.05,165.1,32038
165.1,165.1,164.65,164.75,71593
164.7,164.7,164.2,164.5,85310
164.5,164.5,164.2,164.35,70882
164.35,164.35,164.0,164.2,99218
164.1,164.2,163.7,163.9,82933
163.9,164.45,163.9,164.4,45048
164.4,164.6,164.4,164.6,44643
164.4,164.7,164.4,164.6,30595
164.6,164.85,164.55,164.7,47722
164.6,164.75,163.8,163.95,72932
163.9,164.2,163.65,164.1,111444
164.1,164.15,163.65,163.85,63362
163.8,163.95,163.3,163.6,88018
163.55,163.7,163.35,163.45,68671
163.4,163.75,163.15,163.5,57755
163.5,163.8,163.45,163.6,51963
163.6,164.15,163.6,164.0,48822
163.9,164.45,163.8,164.25,49058
164.1,164.5,163.85,163.9,43608
163.9,164.15,163.7,164.05,65562
164.05,164.1,163.75,163.8,37992
163.65,164.0,163.6,164.0,34861
163.95,164.2,163.75,164.15,52529
164.0,164.15,163.8,164.0,30831
164.0,164.2,163.7,163.8,31021
163.85,163.85,163.7,163.8,32934
163.75,163.85,163.7,163.7,13652
163.7,163.8,163.55,163.7,33049
163.7,164.0,163.65,163.9,32251
164.0,164.2,163.9,164.15,74782
164.1,164.15,163.9,164.0,28037
163.95,164.0,163.75,163.8,16199
163.8,164.05,163.8,164.0,31147
164.0,164.2,164.0,164.2,26776
164.2,164.4,164.05,164.4,26965
164.4,164.65,164.4,164.5,78896
164.6,164.75,164.5,164.75,38508
164.7,164.95,164.65,164.95,60087
164.95,165.35,164.75,165.25,109757
165.25,165.5,165.25,165.5,78486
165.45,165.6,165.4,165.4,117764
165.45,165.45,165.2,165.25,42395
165.3,165.45,165.2,165.4,61760
165.4,165.5,165.3,165.3,41670
165.3,165.45,164.8,164.95,90791
165.0,165.05,164.8,164.9,55819
164.9,165.0,164.8,164.95,56590
164.9,164.95,164.85,164.9,19385
164.85,164.95,164.6,164.7,45813
164.7,164.75,164.55,164.65,23506
164.65,164.7,164.5,164.7,32882
164.65,164.9,164.65,164.9,74073
164.85,165.3,164.8,165.25,123683
165.3,165.5,165.2,165.35,114806
165.35,165.35,165.25,165.35,29616
165.35,165.65,165.25,165.55,71197
165.5,165.6,165.35,165.5,53684
165.5,165.6,165.45,165.6,72273
165.6,165.6,165.4,165.5,36105
165.55,165.55,165.25,165.4,50733
165.4,165.5,165.3,165.45,49922
165.45,165.45,165.3,165.4,33513
165.45,165.5,165.4,165.4,20151
165.4,165.5,165.0,165.15,103903
165.05,165.25,165.05,165.25,22835
165.25,165.45,165.25,165.4,43339
165.3,165.65,165.3,165.65,89390
165.6,165.65,165.45,165.45,28617
165.45,165.5,165.4,165.5,21841
165.5,165.5,165.35,165.5,38549
165.5,165.5,165.3,165.4,18240
165.4,165.6,165.3,165.6,54240
165.5,165.65,165.3,165.3,39745
165.35,165.4,164.9,164.9,93418
164.85,164.9,164.5,164.75,71415
164.65,165.0,164.65,164.95,34373
164.95,164.95,164.8,164.9,25620
164.9,165.05,164.8,165.0,42205
165.0,165.0,164.9,164.95,27438
164.9,164.95,164.65,164.75,44597
164.85,165.05,164.75,165.05,81908
165.0,165.1,164.9,165.0,46037
165.0,165.1,164.9,165.0,60514
165.05,165.05,164.85,165.05,80654
165.05,165.35,164.95,164.95,61774
164.9,165.2,164.85,165.1,85656
165.1,165.25,165.05,165.05,31697
165.05,165.5,165.05,165.3,163289
165.45,165.45,165.25,165.4,35473
165.4,165.45,165.35,165.35,41541
165.35,165.5,165.25,165.45,75032
165.5,165.5,165.4,165.4,35044
165.45,165.45,165.3,165.45,38554
165.45,165.45,165.3,165.35,19657
165.35,165.5,165.05,165.2,97940
165.2,165.3,165.05,165.2,23974
165.15,165.2,165.05,165.1,57046
165.15,165.15,164.8,164.9,59526
164.85,165.05,164.8,164.95,74246
164.85,165.0,164.8,164.8,54510
164.9,165.0,164.8,164.9,46310
164.85,164.9,164.8,164.8,33814
164.85,165.15,164.75,165.15,149834
165.2,165.2,165.0,165.1,48509
165.1,165.4,165.0,165.4,49513
165.35,165.4,165.25,165.35,25192
165.35,165.4,165.25,165.35,17961
165.4,165.4,165.15,165.2,24170
165.25,165.45,165.15,165.4,66844
165.4,165.5,165.4,165.5,123708
165.5,165.8,165.45,165.75,125070
165.75,165.8,165.55,165.7,29900
165.7,165.7,165.55,165.55,46787
165.55,165.7,165.5,165.5,44263
165.6,165.7,165.5,165.65,53605
165.7,165.8,165.6,165.8,57172
165.75,165.85,165.75,165.8,58363
165.85,165.85,165.65,165.75,37974
165.65,165.85,165.65,165.8,26091
165.8,165.85,165.7,165.75,42170
165.8,165.85,165.7,165.85,26731
165.85,166.15,165.8,166.05,246784
166.1,166.25,166.0,166.1,133537
166.1,166.25,166.1,166.15,44064
166.15,166.2,166.0,166.15,86320
166.05,166.1,165.95,166.05,60053
166.1,166.1,165.85,166.05,63654
166.05,166.05,165.95,166.05,34098
166.0,166.3,166.0,166.3,115885
166.3,166.35,166.2,166.35,96799
166.35,166.8,166.25,166.65,219688
166.55,166.6,166.2,166.2,99404
166.2,166.4,166.2,166.25,33631
166.25,166.3,166.1,166.1,74122
166.1,166.25,166.1,166.2,32965
166.1,166.2,166.05,166.2,49755
166.2,166.25,166.1,166.25,24329
166.25,166.25,166.1,166.2,22692
166.2,166.2,166.05,166.1,19661
166.05,166.1,165.9,166.05,81532
166.05,166.05,165.85,166.05,46522
166.05,166.25,166.0,166.25,77132
166.25,166.5,166.2,166.5,44235
166.5,166.7,166.4,166.5,73218
166.5,166.6,166.45,166.5,34541
166.5,166.6,166.45,166.5,38375
166.5,166.6,166.5,166.6,68937
166.55,166.7,166.55,166.65,47721
166.65,166.7,166.5,166.6,38589
166.65,166.75,166.6,166.7,91609
166.65,166.7,166.5,166.5,33189
166.6,166.75,166.5,166.75,40275
166.7,167.1,166.7,167.05,181451
167.15,167.3,166.95,167.05,125125
167.05,167.1,166.9,167.05,83201
167.1,167.1,166.95,167.1,43745
167.05,167.05,166.8,166.95,82826
