open,high,low,close,volume
76.95,76.95,76.15,76.2,216110
76.25,76.25,75.8,75.9,143489
75.75,76.0,75.6,76.0,115532
75.9,76.0,75.7,76.0,119552
75.9,76.1,75.9,76.0,76548
76.0,76.05,75.9,75.9,52419
75.95,75.95,75.55,75.7,108420
75.6,75.65,75.5,75.55,87653
75.4,75.55,75.2,75.4,166858
75.45,75.45,75.3,75.4,40645
75.4,75.4,74.75,74.95,229788
74.95,75.1,74.9,75.0,97455
75.05,75.1,74.95,75.0,74988
75.05,75.15,74.95,75.15,60361
75.15,75.15,74.75,74.75,81603
74.8,74.8,74.45,74.45,206701
74.45,74.7,74.4,74.7,58580
74.7,74.75,74.6,74.7,34403
74.65,74.7,74.5,74.6,73801
74.65,74.65,74.35,74.55,96503
74.55,74.6,74.3,74.35,59157
74.35,74.4,74.25,74.35,73209
74.3,74.35,74.2,74.25,47936
74.25,74.5,74.25,74.45,42866
74.5,74.5,74.25,74.3,32996
74.2,74.4,74.15,74.3,61785
74.3,74.45,74.3,74.3,28963
74.3,74.35,74.1,74.1,72958
74.1,74.15,74.0,74.1,137181
74.1,74.1,73.7,73.9,156293
73.95,73.95,73.65,73.85,57456
73.9,73.95,73.8,73.9,53113
73.95,74.45,73.9,74.35,111300
74.35,74.5,74.3,74.4,43924
74.4,74.65,74.3,74.6,71097
74.6,74.7,74.5,74.65,41885
74.65,74.65,74.35,74.35,28179
74.35,74.45,74.3,74.4,25940
74.5,74.6,74.35,74.45,31511
74.4,74.55,74.2,74.5,43298
74.5,74.55,74.4,74.45,25518
74.45,74.65,74.4,74.55,63110
74.55,74.6,74.4,74.45,37701
74.45,74.6,74.45,74.5,17836
74.5,74.65,74.45,74.5,36244
74.5,74.5,74.35,74.5,47766
74.5,74.55,74.4,74.55,23802
74.55,74.6,74.4,74.45,17184
74.45,74.6,74.4,74.6,25771
74.5,74.6,74.5,74.5,14247
74.5,74.65,74.5,74.55,20243
74.55,74.6,74.4,74.6,20238
74.6,74.65,74.5,74.6,9202
74.6,74.65,74.55,74.6,9669
74.6,74.65,74.45,74.6,30548
74.55,74.55,74.45,74.55,17584
74.55,74.55,74.4,74.5,13907
74.5,74.6,74.45,74.45,6989
74.5,74.6,74.45,74.5,12178
74.5,74.55,74.45,74.5,16384
74.5,74.7,74.45,74.7,40143
74.7,74.7,74.6,74.6,19823
74.6,74.8,74.6,74.8,35952
74.8,74.85,74.7,74.75,67310
74.75,74.95,74.75,74.85,60684
74.85,75.2,74.85,75.15,116004
75.15,75.2,75.0,75.05,28196
75.05,75.1,74.95,75.0,39503
75.0,75.1,75.0,75.0,21352
75.05,75.05,74.95,74.95,8779
74.95,75.2,74.9,75.15,74909
75.15,75.25,75.1,75.15,44783
75.2,75.2,75.1,75.15,12585
75.1,75.2,75.1,75.15,8232
75.1,75.35,75.1,75.2,78163
75.25,75.25,75.0,75.0,39787
75.0,75.05,74.95,74.95,21644
75.0,75.1,74.95,75.05,64367
75.05,75.1,75.0,75.0,9516
75.0,75.05,74.95,75.0,36074
75.0,75.0,74.7,74.7,48977
74.7,74.8,74.6,74.65,43616
74.65,74.8,74.6,74.7,25581
74.75,74.8,74.7,74.75,16928
74.75,74.85,74.55,74.55,45795
74.65,74.65,74.5,74.6,11853
74.5,74.6,74.4,74.5,42354
74.5,74.5,74.4,74.5,14556
74.5,74.5,74.4,74.5,18478
74.5,74.6,74.45,74.5,33020
74.55,74.55,74.3,74.35,41901
74.35,74.4,74.2,74.2,94174
74.25,74.3,74.15,74.25,45632
74.25,74.25,74.15,74.25,19872
74.3,74.3,74.15,74.2,14666
74.2,74.4,74.2,74.25,22212
74.25,74.3,74.25,74.3,8209
74.25,74.3,74.15,74.25,32156
74.25,74.25,74.15,74.2,11101
74.15,74.3,74.1,74.2,25577
74.2,74.2,74.0,74.05,41647
74.0,74.05,73.9,74.0,90270
74.0,74.05,73.9,74.0,33536
74.0,74.1,73.8,74.05,67738
74.0,74.1,73.9,74.1,37144
74.1,74.15,73.9,74.0,29399
74.0,74.0,73.8,73.9,31459
73.9,73.95,73.75,73.95,53344
73.85,74.0,73.8,73.9,40049
73.85,74.0,73.85,73.95,15429
73.95,73.95,73.75,73.85,25479
73.85,73.9,73.75,73.9,27966
73.9,73.9,73.75,73.9,29986
73.85,73.9,73.8,73.85,15728
73.9,73.9,73.7,73.75,52048
73.75,73.75,73.65,73.75,37199
73.75,73.9,73.7,73.75,29284
73.8,73.85,73.7,73.8,20846
73.8,74.0,73.75,73.95,51938
73.95,74.0,73.95,74.0,8889
74.0,74.0,73.9,73.95,26293
74.0,74.0,73.9,73.9,8243
73.95,74.0,73.9,73.95,16298
73.95,74.0,73.8,73.9,19349
73.9,73.9,73.8,73.8,6408
73.9,73.9,73.8,73.8,12525
73.8,73.85,73.8,73.85,11035
73.9,73.9,73.7,73.75,29807
73.75,73.75,73.7,73.7,15266
73.75,73.8,73.65,73.75,21901
73.85,73.85,73.6,73.7,47169
73.65,73.7,73.55,73.65,64906
73.5,73.65,73.5,73.65,45965
73.65,73.75,73.6,73.65,20613
73.65,73.75,73.65,73.75,4650
73.75,73.85,73.7,73.85,24753
73.85,74.1,73.8,74.1,58246
74.1,74.15,74.05,74.1,17972
74.1,74.15,74.0,74.0,21697
74.05,74.1,73.95,74.0,54546
73.9,74.2,73.9,74.1,37858
74.15,74.2,74.05,74.1,10095
74.15,74.15,74.05,74.15,6043
74.15,74.35,74.1,74.3,45689
74.35,74.35,74.15,74.2,19441
74.2,74.2,74.05,74.1,18314
74.1,74.15,74.05,74.15,5423
74.15,74.25,74.05,74.25,23294
74.25,74.3,74.15,74.2,50173
74.2,74.3,74.15,74.25,29737
74.25,74.3,74.15,74.25,25940
74.3,74.35,74.25,74.25,10761
74.3,74.3,74.15,74.25,28754
74.3,74.35,74.25,74.35,11365
74.35,74.5,74.35,74.4,44174
74.45,74.5,74.35,74.35,13094
74.35,74.5,74.35,74.4,34017
74.4,74.5,74.4,74.4,4376
74.45,74.5,74.4,74.45,11845
74.5,74.6,74.5,74.6,91362
74.6,74.6,74.45,74.5,28907
74.5,74.8,74.45,74.75,60633
74.6,74.7,74.5,74.6,21247
74.55,74.7,74.5,74.55,15389
74.5,74.6,74.5,74.5,10969
74.5,74.6,74.5,74.55,12829
74.55,74.75,74.55,74.75,20450
74.65,74.75,74.65,74.65,8469
74.7,74.75,74.6,74.65,6662
74.65,74.65,74.6,74.65,4000
74.6,74.75,74.6,74.7,23011
74.7,74.75,74.6,74.65,5258
74.65,74.75,74.65,74.75,8893
74.75,74.8,74.7,74.8,35406
74.8,74.8,74.6,74.6,22182
74.6,74.7,74.55,74.6,22286
74.6,74.6,74.35,74.35,26704
74.35,74.45,74.25,74.45,42670
74.4,74.45,74.35,74.35,10140
74.4,74.4,74.25,74.3,31728
74.3,74.35,74.25,74.3,15896
74.25,74.3,74.15,74.25,32108
74.15,74.25,74.15,74.2,5138
74.2,74.25,74.2,74.2,12141
74.2,74.3,74.2,74.2,10086
74.2,74.25,74.15,74.2,8275
74.2,74.2,74.1,74.15,6953
74.15,74.15,74.1,74.15,6233
74.15,74.15,74.0,74.0,62070
74.0,74.05,73.8,73.8,49206
73.8,73.9,73.8,73.85,32209
73.85,73.95,73.85,73.95,20993
73.95,74.0,73.9,74.0,12799
74.05,74.15,73.95,74.05,11725
74.0,74.15,74.0,74.15,8390
74.15,74.2,74.05,74.15,12569
74.15,74.25,74.15,74.15,13264
74.2,74.25,74.15,74.25,11984
74.25,74.4,74.25,74.4,9324
74.4,74.45,74.35,74.4,14874
74.35,74.35,74.25,74.35,9985
74.35,74.35,74.25,74.25,4869
74.25,74.3,74.15,74.2,18590
74.2,74.2,74.15,74.2,3437
74.15,74.3,74.15,74.3,7649
74.3,74.3,74.2,74.25,4346
74.2,74.3,74.15,74.15,9266
74.2,74.2,74.1,74.1,9788
74.1,74.15,74.1,74.15,6934
74.15,74.25,74.1,74.2,15075
74.2,74.35,74.2,74.35,7971
74.35,74.4,74.25,74.35,17746
74.4,74.4,74.25,74.3,24636
74.25,74.3,74.15,74.2,27574
74.2,74.25,74.15,74.2,7093
74.2,74.25,74.15,74.2,5263
74.15,74.2,74.1,74.15,10768
74.15,74.25,74.1,74.25,13846
74.25,74.25,74.2,74.25,8341
74.25,74.25,74.2,74.25,6666
74.25,74.25,74.2,74.25,3716
74.25,74.25,74.2,74.25,3317
74.2,74.25,74.15,74.15,11617
74.15,74.2,74.1,74.15,7138
74.2,74.25,74.15,74.25,5058
74.25,74.25,74.15,74.2,9845
74.15,74.2,74.15,74.15,12554
74.2,74.2,74.1,74.2,6773
74.2,74.2,74.1,74.2,12997
74.2,74.2,74.05,74.15,26349
74.15,74.15,74.05,74.1,5000
74.1,74.1,73.85,73.9,85092
73.9,74.1,73.9,74.1,25762
74.1,74.1,74.0,74.0,6818
74.05,74.05,74.0,74.05,5792
74.05,74.05,74.0,74.05,2945
74.05,74.05,74.0,74.05,6645
74.05,74.05,74.0,74.05,4427
74.05,74.1,74.0,74.1,10263
74.1,74.15,74.05,74.15,14598
74.15,74.2,74.1,74.2,22996
74.2,74.2,74.1,74.15,21936
74.15,74.15,74.05,74.1,9110
74.1,74.15,74.05,74.15,4189
74.1,74.15,74.1,74.1,4395
74.15,74.15,74.05,74.05,10300
74.1,74.15,74.05,74.1,10333
74.15,74.15,74.05,74.05,3767
74.1,74.1,74.0,74.1,37336
74.1,74.15,74.05,74.1,15429
74.15,74.15,74.05,74.05,3587
74.1,74.15,74.05,74.1,2379
74.15,74.15,73.9,73.95,27479
74.0,74.05,73.95,74.05,7780
74.05,74.1,74.0,74.1,8910
74.1,74.1,73.9,73.95,24148
73.95,74.0,73.9,73.95,9291
74.0,74.05,73.95,74.05,7178
74.05,74.05,73.9,74.0,21069
74.0,74.0,73.9,74.0,16990
74.0,74.15,74.0,74.15,19371
74.15,74.15,74.05,74.05,6598
74.1,74.15,74.05,74.1,3971
74.05,74.1,74.0,74.05,3755
74.05,74.05,74.0,74.05,4470
74.05,74.1,74.0,74.0,4974
74.0,74.05,74.0,74.05,3096
74.05,74.1,74.0,74.0,11905
74.0,74.05,74.0,74.0,2767
74.05,74.05,73.95,74.0,29375
74.0,74.15,73.95,74.15,17713
74.15,74.3,74.1,74.3,66046
74.3,74.35,74.25,74.3,11140
74.3,74.3,74.2,74.2,9126
74.25,74.25,74.2,74.25,3574
74.25,74.3,74.2,74.3,15206
74.3,74.3,74.15,74.25,12577
74.25,74.25,74.2,74.25,7319
74.2,74.25,74.2,74.25,4582
74.25,74.25,74.15,74.2,9312
74.25,74.5,74.25,74.45,68794
74.45,74.5,74.35,74.4,10930
74.45,74.5,74.4,74.45,18254
74.45,74.5,74.45,74.45,9590
74.5,74.5,74.4,74.45,16025
74.45,74.45,74.4,74.4,5063
74.45,74.45,74.3,74.35,19103
74.4,74.45,74.3,74.4,13665
74.4,74.5,74.35,74.4,28168
74.4,74.45,74.35,74.45,7361
74.4,74.45,74.4,74.45,5292
74.45,74.45,74.3,74.35,4582
74.35,74.4,74.3,74.4,6264
74.45,74.45,74.35,74.45,7965
74.45,74.45,74.3,74.45,14158
74.45,74.45,74.35,74.4,21607
74.4,74.45,74.35,74.45,4145
74.45,74.45,74.35,74.4,10754
74.4,74.4,74.3,74.35,3805
74.35,74.35,74.3,74.35,15622
74.35,74.35,74.3,74.3,11202
74.3,74.3,74.25,74.25,4292
74.25,74.3,74.15,74.15,17559
74.2,74.2,74.05,74.1,21267
74.15,74.15,74.1,74.1,9680
74.15,74.2,74.1,74.15,30064
74.2,74.2,74.1,74.15,9939
74.2,74.2,74.05,74.1,23556
74.1,74.15,74.05,74.15,4287
74.15,74.25,74.1,74.15,22733
74.2,74.2,74.15,74.2,4696
74.2,74.2,74.15,74.15,6634
74.2,74.2,74.15,74.2,8065
74.2,74.25,74.15,74.25,4668
74.3,74.3,74.2,74.25,14936
74.25,74.25,74.1,74.2,29160
74.2,74.25,74.15,74.25,17168
74.15,74.3,74.15,74.25,9456
74.25,74.3,74.2,74.25,5190
74.25,74.3,74.15,74.15,17387
74.1,74.15,74.1,74.1,10963
74.15,74.25,74.05,74.15,35722
74.2,74.25,74.1,74.15,10739
74.15,74.2,74.1,74.2,10765
74.2,74.2,74.1,74.15,2649
74.15,74.25,74.1,74.2,24645
74.2,74.2,74.1,74.15,4491
74.15,74.2,74.15,74.15,2942
74.15,74.15,74.1,74.1,7431
74.1,74.15,74.1,74.1,9178
74.15,74.15,73.9,73.95,112972
73.95,74.1,73.85,74.05,28912
74.1,74.1,73.95,74.0,6839
74.0,74.0,73.95,73.95,10582
73.95,73.95,73.9,73.95,7302
73.95,74.0,73.85,73.95,12886
73.95,73.95,73.9,73.95,9331
73.9,73.95,73.9,73.95,32531
73.9,74.0,73.9,74.0,9343
73.95,74.0,73.9,73.9,10072
73.9,73.95,73.7,73.75,71157
73.75,73.85,73.75,73.85,16532
73.85,73.85,73.7,73.7,28965
73.75,73.75,73.5,73.5,87841
73.55,73.6,73.5,73.5,36387
73.5,73.55,73.4,73.4,136815
73.45,73.45,73.25,73.25,90465
73.3,73.3,73.2,73.2,80821
73.2,73.55,73.2,73.35,141233
73.35,73.5,73.25,73.5,127488
73.45,73.5,73.25,73.25,50038
73.3,73.3,73.25,73.25,67994
73.25,73.3,73.15,73.3,85756
73.3,73.3,73.2,73.25,72276
73.2,73.25,73.15,73.15,77752
73.15,73.25,73.0,73.05,134720
73.0,73.05,72.85,72.9,144715
72.9,72.95,72.85,72.9,104347
72.9,72.95,72.7,72.75,70070
72.7,72.9,72.65,72.85,90240
72.85,72.9,72.75,72.75,77799
72.75,72.95,72.75,72.8,137246
72.8,72.9,72.75,72.85,114680
72.85,72.9,72.75,72.75,83560
72.7,72.8,72.7,72.7,112793
72.7,72.8,72.65,72.7,101315
72.75,72.75,72.55,72.55,144858
72.55,72.6,72.5,72.55,98365
72.6,72.65,72.5,72.65,98414
72.65,72.7,72.55,72.6,83329
72.6,72.65,72.5,72.55,92450
72.5,72.6,72.5,72.55,92064
72.55,72.55,72.4,72.55,108862
72.5,72.65,72.5,72.6,68731
72.6,72.7,72.55,72.7,68084
74.4,75.15,74.1,75.0,357462
