open,high,low,close,volume
166.4,166.4,163.8,163.95,611973
163.9,164.15,163.55,164.0,403161
163.95,164.2,163.65,164.05,349346
164.0,164.1,163.5,163.95,324686
164.0,164.1,163.15,163.4,411145
163.35,163.8,163.25,163.55,216286
163.6,163.6,162.55,162.55,631542
162.6,162.65,162.2,162.2,520017
162.1,162.1,161.6,161.95,687734
162.0,162.2,161.8,162.05,279491
162.1,162.15,161.6,161.95,302990
161.95,162.05,161.5,161.8,355338
161.65,161.85,161.3,161.3,384314
161.3,161.75,161.25,161.6,351968
161.65,161.9,161.3,161.55,274064
161.55,161.55,161.0,161.05,715103
161.05,161.45,161.05,161.4,268845
161.45,161.6,161.25,161.5,212167
161.65,161.65,161.1,161.15,228846
161.15,161.35,161.1,161.25,210600
161.3,161.35,160.95,161.2,415136
161.2,161.2,160.05,160.15,907522
160.1,160.4,160.0,160.35,469099
160.3,160.65,160.25,160.5,309110
160.5,160.5,159.85,159.95,999137
159.8,160.3,159.8,160.25,377721
160.2,160.65,159.9,160.0,381215
160.0,160.0,159.2,159.55,600708
159.45,159.55,158.95,159.5,663332
159.3,159.4,158.85,159.0,401354
158.85,158.95,158.05,158.4,810375
158.5,158.85,158.3,158.5,518626
158.5,159.1,158.05,158.7,496936
158.75,158.85,158.45,158.7,333342
158.7,159.25,158.6,159.0,336428
159.05,159.7,158.9,159.3,371502
159.35,159.55,158.7,158.9,332409
158.9,159.35,158.85,159.3,304331
159.4,159.5,158.65,158.7,329202
158.65,158.8,158.3,158.65,392719
158.7,158.8,158.4,158.8,167121
158.75,159.15,158.7,159.0,357986
158.9,159.35,158.8,159.2,237430
159.3,159.55,159.2,159.45,201560
159.55,159.6,159.15,159.25,190051
159.3,159.3,158.85,159.2,268542
159.15,159.75,159.1,159.75,267733
159.65,159.85,159.65,159.8,195728
159.8,159.8,159.35,159.65,153211
159.75,159.75,159.45,159.6,151218
159.65,159.85,159.45,159.5,183772
159.4,159.5,159.05,159.2,253207
159.1,159.55,159.05,159.45,141888
159.4,159.6,159.4,159.4,113938
159.5,159.7,159.35,159.55,125547
159.45,159.55,159.0,159.1,423140
159.1,159.1,158.75,159.1,286050
159.1,159.3,159.1,159.2,100201
159.3,159.5,159.1,159.25,155139
159.3,159.35,158.9,158.9,222172
158.9,159.05,158.65,158.85,329830
158.8,158.95,158.75,158.85,101072
158.85,158.95,158.4,158.5,308733
158.5,158.55,158.3,158.4,207304
158.35,158.6,158.35,158.5,192130
158.45,158.75,158.45,158.6,173771
158.55,158.7,158.3,158.65,187813
158.65,158.7,158.5,158.7,135061
158.65,159.1,158.45,158.9,432596
158.9,159.1,158.85,159.05,396057
159.05,159.05,158.8,158.8,215728
158.8,158.95,158.65,158.7,176267
158.7,158.9,158.45,158.45,318298
158.5,158.75,158.4,158.65,193912
158.6,158.85,158.5,158.5,188893
158.55,158.65,158.4,158.65,177086
158.65,158.75,158.55,158.7,140305
158.7,158.95,158.6,158.85,138623
158.85,158.9,158.7,158.85,113833
158.85,158.9,158.65,158.8,92123
158.8,159.05,158.6,158.75,229804
158.75,158.8,158.4,158.5,239444
158.5,158.65,158.3,158.65,255544
158.7,158.95,158.6,158.8,127679
158.8,158.95,158.75,158.8,91277
158.8,158.85,158.6,158.75,123585
158.75,158.8,158.45,158.65,171221
158.65,158.75,158.5,158.7,87560
158.65,158.75,158.35,158.5,156304
158.4,158.6,158.1,158.2,424089
158.1,158.2,157.6,157.8,1338823
157.7,157.7,157.15,157.35,603826
157.3,157.55,157.15,157.4,266195
157.45,157.85,157.4,157.75,290328
157.75,157.75,157.2,157.25,252156
157.25,157.5,157.15,157.15,243053
157.15,157.35,157.05,157.35,342684
157.35,157.35,156.8,157.15,554607
157.1,157.4,157.05,157.25,182870
157.35,157.35,156.6,156.6,354344
156.65,156.9,156.4,156.45,332757
156.35,156.7,156.3,156.55,328400
156.6,156.6,156.2,156.5,243806
156.55,156.65,156.4,156.6,252410
156.6,156.6,156.15,156.3,391403
156.3,156.3,155.55,156.05,779503
156.1,156.5,156.05,156.4,354099
156.4,156.7,156.1,156.7,283731
156.6,156.65,156.4,156.5,177281
156.45,156.7,156.45,156.6,144983
156.65,156.65,156.35,156.55,159265
156.5,156.9,156.45,156.8,181113
156.8,156.95,156.75,156.9,128231
156.9,156.95,156.75,156.9,126328
156.95,157.0,156.55,156.55,261883
156.55,156.6,156.25,156.4,186898
156.4,156.5,156.25,156.45,113043
156.35,156.55,156.35,156.4,123769
156.35,156.65,156.35,156.65,118501
156.65,156.75,156.55,156.6,78982
156.55,156.55,156.25,156.5,131504
156.55,156.7,156.5,156.6,158641
156.55,156.65,156.5,156.65,89105
156.6,156.65,156.25,156.45,150171
156.45,156.5,156.3,156.35,93095
156.35,156.4,156.0,156.3,347231
156.3,156.45,156.15,156.45,86842
156.45,156.45,156.05,156.05,106409
156.05,156.25,156.0,156.1,109409
156.1,156.25,156.0,156.2,202698
156.1,156.15,155.8,155.95,182346
156.0,156.05,155.9,156.0,200850
156.0,156.25,155.95,156.2,93971
156.2,156.3,156.05,156.3,98598
156.3,156.4,156.1,156.25,115015
156.3,156.45,156.2,156.4,162502
156.35,156.7,156.35,156.7,146824
156.7,156.75,156.45,156.55,90486
156.6,156.7,156.45,156.5,118793
156.5,156.7,156.5,156.6,66956
156.6,156.8,156.6,156.65,146447
156.65,156.75,156.35,156.4,145134
156.4,156.45,156.05,156.45,129069
156.35,156.65,156.3,156.55,103645
156.55,156.7,156.55,156.6,90927
156.6,156.6,156.35,156.45,79709
156.4,156.45,156.25,156.4,117192
156.35,156.65,156.3,156.65,98049
156.65,156.8,156.6,156.7,121502
156.65,156.75,156.55,156.65,111666
156.65,156.85,156.45,156.8,206201
156.75,156.95,156.7,156.8,151028
