open,high,low,close,volume
351.2,355.0,349.9,354.9,31922
355.15,355.15,352.1,352.2,24774
352.2,353.4,352.2,353.35,13730
353.35,354.75,353.35,354.7,8800
354.45,355.0,354.1,354.5,17524
354.25,355.7,354.05,354.5,22505
354.5,354.75,353.65,354.0,19508
354.0,354.1,353.3,353.75,10840
353.6,354.95,353.1,354.95,15266
354.65,355.1,353.6,353.7,23838
353.65,354.3,353.25,354.3,21530
354.1,354.65,354.0,354.0,10039
354.0,354.0,353.05,353.05,12635
353.25,353.45,351.55,352.55,50597
352.8,354.1,352.6,353.7,99635
353.9,354.85,353.65,354.85,20751
354.85,354.85,354.1,354.2,10183
354.1,354.3,353.6,354.2,10265
354.2,354.5,353.55,353.75,7471
353.75,353.8,353.05,353.8,5012
353.6,354.65,353.2,354.65,11063
354.6,354.7,353.85,354.3,9415
354.4,354.45,353.85,354.0,8369
353.9,354.45,353.6,354.0,16763
354.0,354.45,353.8,353.95,14464
353.85,353.95,352.5,353.15,14618
353.15,353.4,352.45,352.55,12639
352.55,352.55,351.4,351.5,11963
351.5,351.9,351.0,351.85,11714
351.85,352.0,350.65,350.9,10239
350.85,351.0,350.1,350.15,14603
350.5,350.5,348.85,348.85,20788
349.0,350.0,348.6,349.7,15387
349.8,350.45,349.7,350.15,5809
350.3,351.5,350.15,350.8,15869
351.0,351.65,350.3,351.3,6452
351.3,351.6,350.55,350.55,6252
350.7,351.0,350.0,350.0,8480
350.0,350.2,349.15,349.15,8039
349.25,349.25,348.55,348.95,8605
348.85,349.25,348.45,349.05,9144
348.9,349.85,348.7,349.55,9375
349.65,349.8,349.3,349.45,9937
349.45,349.6,349.3,349.45,3526
349.6,349.95,349.45,349.95,7469
349.8,349.95,349.2,349.3,8282
349.3,349.3,348.55,348.7,7164
348.6,348.65,347.55,347.6,15032
347.6,347.8,347.25,347.3,14349
347.3,348.15,347.3,348.0,14507
348.0,348.95,348.0,348.95,7584
348.95,348.95,348.0,348.6,5951
348.6,348.6,347.7,348.2,5513
348.2,348.65,348.2,348.6,5082
348.6,349.4,348.6,349.35,5500
349.35,349.45,349.3,349.35,4992
349.4,349.55,349.35,349.4,4010
349.4,349.55,349.4,349.45,3995
349.5,350.4,349.5,350.0,12167
350.0,350.0,349.05,349.7,9523
349.7,349.8,349.5,349.6,2734
349.8,350.0,349.55,349.55,10321
349.5,349.55,349.0,349.0,3894
349.0,349.4,348.95,349.3,5014
349.3,349.95,349.1,349.9,5671
349.9,350.4,349.9,350.3,7281
350.3,350.8,350.15,350.55,9526
350.55,350.85,350.5,350.55,6839
350.55,351.55,350.55,351.55,22243
351.55,351.55,351.1,351.1,5130
351.2,352.4,351.1,352.1,13771
352.3,352.4,352.0,352.0,7065
352.2,352.4,352.0,352.1,9681
352.1,352.3,351.3,351.3,5152
351.5,351.6,351.25,351.55,4045
351.55,352.15,351.55,351.9,2852
351.9,352.15,351.9,351.95,6534
351.95,352.15,351.85,352.0,5450
351.95,352.2,351.9,352.1,4254
352.1,352.45,352.1,352.3,10150
352.3,352.3,351.8,351.95,7330
351.95,352.0,351.5,351.5,6052
351.5,351.65,351.5,351.65,3630
351.55,352.3,351.55,352.0,6861
352.0,352.3,352.0,352.2,6105
352.25,352.25,351.65,351.65,3584
351.65,351.65,351.5,351.5,2854
351.5,351.95,351.5,351.75,2346
351.75,352.0,351.05,351.15,19285
351.3,351.6,351.0,351.3,8464
351.3,351.3,350.65,350.65,2641
350.65,350.85,350.15,350.2,6194
350.2,350.2,349.55,349.65,8906
349.8,350.05,349.65,350.0,8055
350.05,350.2,349.75,349.8,5100
349.8,350.0,349.5,349.5,3411
349.5,350.2,349.5,350.1,3608
350.1,350.1,349.45,349.65,9006
349.65,350.2,349.6,350.0,4836
350.0,350.2,349.5,349.5,4940
349.5,349.5,348.75,348.8,6694
348.85,349.0,348.55,348.55,3997
348.85,349.05,348.55,348.55,6567
348.55,348.55,348.1,348.1,9223
348.2,348.25,348.0,348.0,5678
348.1,348.2,347.55,348.0,10573
348.0,348.4,347.65,348.35,5503
348.35,348.6,348.25,348.55,5688
348.55,348.95,348.45,348.95,3251
348.95,348.95,348.2,348.35,5581
348.35,348.6,348.2,348.25,6955
348.25,348.5,348.25,348.45,4492
348.45,348.8,348.45,348.8,4365
348.8,348.8,348.1,348.15,9320
348.15,348.2,347.7,347.7,5840
347.7,348.0,347.45,348.0,9922
348.0,348.5,347.9,348.35,4267
348.35,348.9,348.35,348.55,6726
348.55,349.0,348.55,348.85,4471
348.9,349.1,348.6,349.0,10870
349.0,349.4,348.75,349.15,4590
349.1,349.5,349.1,349.5,4902
