open,high,low,close,volume
84.5,84.5,83.2,83.35,455790
83.2,83.5,83.15,83.2,491603
83.2,83.45,82.9,83.4,395355
83.3,83.35,82.9,83.1,378726
83.1,83.4,83.05,83.3,288927
83.35,83.55,83.1,83.15,350977
83.05,83.1,82.75,83.0,455148
82.95,83.0,82.5,82.5,426267
82.5,82.7,82.3,82.65,308085
82.65,82.75,82.55,82.65,188930
82.65,82.7,82.5,82.6,175929
82.65,82.85,82.55,82.7,160010
82.65,82.85,82.5,82.55,151899
82.55,82.75,82.45,82.7,152447
82.75,82.9,82.6,82.75,162785
82.6,82.65,82.2,82.45,488676
82.45,82.55,82.3,82.35,279353
82.3,82.3,82.0,82.25,450072
82.2,82.25,82.0,82.15,155130
82.1,82.2,82.0,82.1,185866
82.15,82.15,81.8,81.9,380438
81.85,81.85,81.5,81.55,302496
81.55,81.8,81.45,81.65,347002
81.65,81.85,81.55,81.8,148511
81.7,81.8,81.5,81.55,153784
81.55,81.6,81.3,81.5,326659
81.5,81.65,81.2,81.3,287644
81.25,81.3,81.0,81.05,310610
81.05,81.2,80.7,80.75,472739
80.65,80.75,80.4,80.45,467888
80.35,80.5,79.95,80.4,604646
80.45,80.9,80.4,80.8,321644
80.85,81.2,80.7,81.0,326209
81.05,81.25,80.9,81.1,335652
81.1,81.4,81.1,81.25,199606
81.15,81.35,80.9,81.25,319136
81.25,81.35,80.75,80.85,264593
80.85,81.15,80.75,81.1,150852
81.2,81.25,80.85,80.85,101762
80.75,80.9,80.6,80.8,226835
80.8,80.85,80.6,80.8,216768
80.8,80.9,80.7,80.85,76147
80.85,81.05,80.8,80.9,150624
80.9,81.2,80.85,81.1,160455
81.15,81.25,80.9,80.9,199266
80.85,81.0,80.7,80.9,132562
80.85,81.15,80.8,81.15,130000
81.1,81.15,80.95,81.1,124008
81.05,81.15,81.0,81.15,71957
81.15,81.2,81.0,81.1,103529
81.1,81.3,81.1,81.15,176541
81.15,81.15,80.9,81.0,291424
81.05,81.15,81.0,81.1,43085
81.1,81.1,80.9,80.95,128675
81.0,81.2,80.95,81.05,155512
81.0,81.1,80.85,81.1,203082
81.1,81.1,80.9,81.0,72487
81.0,81.1,80.95,81.05,54712
81.05,81.2,80.9,81.1,154013
81.1,81.1,80.85,80.9,92489
80.9,81.0,80.85,80.95,89623
80.9,81.0,80.9,81.0,34271
80.9,81.05,80.85,80.9,81966
80.85,80.95,80.85,80.95,32041
80.85,81.15,80.85,81.1,137877
81.05,81.25,81.05,81.15,105832
81.15,81.25,81.05,81.2,86536
81.2,81.25,81.1,81.2,36326
81.2,81.25,81.15,81.25,24566
81.25,81.25,81.15,81.2,114221
81.1,81.4,81.1,81.3,281944
81.3,81.4,81.25,81.35,50732
81.35,81.4,81.3,81.3,50440
81.4,81.4,81.2,81.25,229551
81.25,81.25,81.0,81.05,90455
81.05,81.15,81.0,81.1,142469
81.1,81.15,81.0,81.1,48444
81.1,81.15,81.05,81.1,64737
81.15,81.2,81.1,81.2,42088
81.2,81.2,81.05,81.1,80243
81.15,81.2,81.0,81.0,39914
81.05,81.1,80.9,80.9,113232
80.95,81.15,80.95,81.05,90446
81.15,81.2,81.05,81.1,92679
81.1,81.15,81.1,81.15,16528
81.15,81.15,81.0,81.05,66271
81.05,81.05,80.95,81.0,115393
80.95,81.05,80.85,81.0,228431
80.95,80.95,80.75,80.75,135667
80.75,81.0,80.7,80.85,109037
80.8,80.85,80.55,80.65,194308
80.55,80.65,80.35,80.35,351767
80.4,80.5,80.3,80.45,123951
80.4,80.6,80.4,80.5,100567
80.55,80.55,80.3,80.35,114544
80.4,80.45,80.25,80.3,142598
80.3,80.45,80.3,80.45,51776
80.45,80.45,80.3,80.45,104565
80.45,80.5,80.4,80.45,113783
80.4,80.5,80.3,80.35,67278
80.35,80.35,80.1,80.1,262162
80.1,80.2,80.0,80.1,208285
80.1,80.1,79.75,80.0,878962
80.0,80.4,79.95,80.35,192124
80.4,80.5,80.2,80.3,109657
80.3,80.35,80.15,80.3,88662
80.35,80.6,80.3,80.35,338383
80.4,80.5,80.25,80.5,83958
80.5,80.5,80.4,80.45,65786
80.45,80.5,80.4,80.4,38895
80.45,80.5,80.25,80.3,121501
80.35,80.6,80.3,80.5,125132
80.5,80.6,80.45,80.5,57772
