open,high,low,close,volume
31.95,32.0,31.75,31.8,456610
31.8,32.05,31.65,32.0,567723
31.95,32.05,31.8,31.9,588089
32.0,32.0,31.9,32.0,218596
32.0,32.05,32.0,32.0,170543
32.05,32.05,31.85,31.85,262479
31.8,31.85,31.5,31.6,373537
31.65,31.65,31.5,31.5,258596
31.4,31.65,31.35,31.55,411123
31.55,31.65,31.55,31.6,153118
31.6,31.65,31.55,31.6,132235
31.6,31.65,31.55,31.6,111401
31.55,31.65,31.4,31.4,254799
31.4,31.55,31.3,31.45,342929
31.55,31.55,31.4,31.4,98255
31.45,31.45,31.3,31.35,140191
31.35,31.4,31.3,31.35,52865
31.3,31.4,31.3,31.35,87299
31.35,31.35,31.15,31.2,202321
31.2,31.2,31.0,31.1,199050
31.1,31.2,31.1,31.15,131688
31.15,31.25,31.15,31.2,205185
31.2,31.25,31.1,31.15,239527
31.15,31.35,31.15,31.3,139783
31.3,31.35,31.3,31.35,105032
31.3,31.55,31.3,31.5,256302
31.5,31.65,31.5,31.6,182975
31.5,31.55,31.4,31.45,193922
31.45,31.55,31.4,31.5,211079
31.5,31.55,31.35,31.35,171328
31.35,31.4,31.2,31.35,261142
31.4,31.4,31.3,31.3,157966
31.3,31.4,31.2,31.2,272661
31.2,31.3,31.2,31.3,50566
31.3,31.4,31.25,31.35,132970
31.35,31.35,31.25,31.35,75423
31.3,31.35,31.2,31.25,104714
31.2,31.25,31.2,31.2,51242
31.2,31.25,31.2,31.25,41275
31.25,31.25,31.05,31.15,194592
31.15,31.15,31.1,31.1,48723
31.1,31.25,31.1,31.15,68977
31.15,31.2,31.1,31.2,57902
31.15,31.2,31.1,31.15,44415
31.15,31.3,31.15,31.2,151188
31.25,31.25,31.15,31.15,49107
31.15,31.35,31.15,31.35,129802
31.35,31.35,31.25,31.3,129376
31.3,31.5,31.3,31.5,273264
31.45,31.5,31.35,31.35,95758
31.4,31.5,31.35,31.45,80767
31.45,31.5,31.35,31.35,72671
31.4,31.4,31.3,31.35,48579
31.35,31.4,31.3,31.35,50989
31.35,31.45,31.35,31.4,30395
31.4,31.45,31.3,31.35,96134
31.35,31.4,31.35,31.35,34243
31.35,31.4,31.35,31.4,50011
31.4,31.45,31.35,31.4,50029
31.4,31.45,31.4,31.4,24031
31.4,31.45,31.4,31.4,41564
31.4,31.45,31.35,31.4,47976
31.4,31.4,31.35,31.4,17598
31.4,31.4,31.35,31.4,11414
31.4,31.4,31.35,31.4,11250
31.4,31.4,31.35,31.4,6922
31.4,31.4,31.35,31.4,21634
31.4,31.4,31.35,31.35,12309
31.35,31.4,31.35,31.4,22390
31.4,31.4,31.35,31.35,11556
31.35,31.45,31.35,31.4,166259
31.4,31.45,31.4,31.4,15312
31.45,31.45,31.4,31.45,12064
31.45,31.45,31.4,31.45,6955
31.45,31.45,31.3,31.3,125382
31.3,31.35,31.25,31.25,113902
31.25,31.3,31.25,31.25,21072
31.3,31.3,31.25,31.25,38835
31.25,31.3,31.25,31.3,11523
31.25,31.3,31.25,31.3,12833
31.3,31.3,31.2,31.2,120553
31.25,31.25,31.1,31.1,106406
31.15,31.2,31.1,31.2,53991
31.15,31.2,31.15,31.2,13392
31.15,31.2,31.15,31.15,47051
31.2,31.2,31.15,31.2,41384
31.2,31.2,31.1,31.15,51012
31.15,31.15,31.1,31.1,59954
31.1,31.2,31.1,31.15,52352
31.15,31.2,31.1,31.2,31406
31.05,31.15,31.0,31.1,226398
31.05,31.1,31.0,31.0,199759
31.0,31.05,30.95,30.95,367787
30.95,30.95,30.7,30.8,391690
30.75,30.8,30.7,30.8,99075
30.75,30.9,30.6,30.7,497394
30.7,30.75,30.65,30.7,90013
30.7,30.75,30.65,30.65,119333
30.65,30.8,30.6,30.65,204622
30.65,30.65,30.5,30.5,236653
30.5,30.55,30.45,30.45,139174
30.5,30.5,30.4,30.45,67697
30.45,30.65,30.4,30.65,127226
30.6,30.8,30.6,30.8,91895
30.8,30.8,30.7,30.7,95955
30.7,30.7,30.55,30.6,85061
30.55,30.65,30.55,30.65,64361
30.65,30.7,30.6,30.7,79438
30.7,30.75,30.6,30.7,63805
30.7,30.7,30.65,30.7,34248
30.7,30.7,30.6,30.65,61959
30.65,30.7,30.6,30.65,54192
30.7,30.7,30.6,30.65,21129
30.6,30.65,30.6,30.6,23272
30.6,30.65,30.55,30.55,118743
30.55,30.55,30.4,30.4,73594
30.4,30.45,30.35,30.4,274529
30.4,30.5,30.35,30.45,67652
30.4,30.5,30.4,30.5,26071
30.5,30.5,30.35,30.35,186982
30.4,30.45,30.35,30.4,25027
30.4,30.5,30.4,30.5,41312
30.5,30.5,30.45,30.5,16169
30.5,30.5,30.45,30.5,16058
30.5,30.5,30.45,30.45,9656
30.5,30.5,30.4,30.4,123676
30.4,30.45,30.35,30.45,35879
30.4,30.45,30.35,30.35,104049
30.35,30.4,30.35,30.4,16120
30.4,30.4,30.3,30.35,39575
30.35,30.35,30.3,30.35,4006
30.35,30.35,30.25,30.25,80397
30.3,30.35,30.25,30.3,60653
30.3,30.35,30.3,30.35,31621
30.3,30.35,30.3,30.35,56620
30.35,30.35,30.25,30.25,80945
30.25,30.35,30.25,30.35,84134
30.35,30.5,30.35,30.45,115282
30.45,30.45,30.4,30.4,73271
30.4,30.55,30.4,30.55,88108
30.55,30.65,30.55,30.6,91147
30.6,30.65,30.55,30.55,43692
30.5,30.55,30.45,30.5,47144
30.5,30.55,30.45,30.55,11255
30.55,30.55,30.5,30.55,6923
30.5,30.55,30.5,30.55,7613
30.5,30.55,30.45,30.5,37671
30.5,30.5,30.45,30.5,28755
30.55,30.6,30.5,30.6,60822
30.6,30.6,30.55,30.55,8348
30.6,30.7,30.5,30.7,163736
30.7,30.75,30.65,30.75,196004
30.75,30.85,30.75,30.8,362359
30.75,31.05,30.75,31.05,328636
31.0,31.1,30.9,30.95,186686
30.95,30.95,30.85,30.85,85599
