open,high,low,close,volume
182.05,183.95,182.05,182.8,103274
182.7,182.9,182.35,182.6,37235
182.55,182.8,182.15,182.75,47670
182.85,183.3,182.2,183.0,54020
183.0,183.05,182.65,182.9,17622
182.9,182.9,182.6,182.7,11759
182.7,182.7,182.45,182.6,24461
182.5,182.55,182.4,182.5,15058
182.4,182.5,182.4,182.5,19318
182.5,183.05,182.4,182.85,23645
182.8,182.85,182.5,182.7,9622
182.7,182.85,182.25,182.25,20480
182.3,182.65,182.2,182.65,16581
182.5,182.75,182.25,182.45,15740
182.4,182.45,182.1,182.2,24422
182.15,182.25,181.6,181.85,70655
181.9,181.9,181.75,181.9,27436
182.05,182.25,181.95,182.05,13984
182.1,182.15,181.8,182.0,15952
182.0,182.1,182.0,182.1,9862
182.05,182.1,182.05,182.1,3701
182.1,182.1,181.45,181.5,44563
181.45,182.05,181.25,182.05,66734
182.05,182.25,181.25,181.4,57431
181.4,181.7,181.2,181.65,90149
181.7,182.15,181.65,182.0,21832
182.0,182.05,181.8,181.8,300577
181.8,181.85,181.35,181.35,18087
181.35,181.55,181.3,181.55,25522
181.45,181.85,181.4,181.65,181393
181.6,181.9,181.5,181.75,61097
181.75,182.1,181.6,181.7,78237
181.7,182.35,181.65,182.3,48665
182.3,182.5,182.1,182.1,20986
182.1,182.2,181.9,181.95,16017
181.95,181.95,181.7,181.75,31632
181.7,181.85,181.3,181.75,54111
181.75,182.0,181.65,181.8,8873
181.8,181.95,181.8,181.95,3010
181.95,181.95,181.75,181.95,6953
181.95,182.0,181.75,181.9,3350
181.95,182.15,181.9,182.15,20471
182.2,182.3,182.05,182.2,8935
182.2,182.45,182.2,182.35,11458
182.35,182.4,182.25,182.25,6237
182.25,182.25,181.85,181.95,18014
181.95,181.95,181.5,181.8,22108
181.8,181.95,181.8,181.95,13795
181.95,181.95,181.8,181.9,6775
181.9,182.1,181.85,182.0,19043
182.0,182.1,181.85,181.9,6356
181.9,182.0,181.5,181.6,32537
181.6,181.75,181.5,181.55,7933
181.6,181.75,181.6,181.75,9797
