open,high,low,close,volume
79.7,79.7,79.0,79.3,264610
79.35,79.45,78.7,78.7,248046
78.7,78.75,78.35,78.7,215659
78.75,78.8,78.3,78.35,126528
78.3,78.95,78.3,78.9,130241
78.85,79.1,78.55,78.65,119680
78.65,78.65,78.1,78.5,451159
78.5,78.5,78.2,78.35,99277
78.3,78.6,78.3,78.5,97144
78.6,78.9,78.55,78.8,102679
78.75,78.85,78.5,78.6,127018
78.55,78.95,78.55,78.75,165301
78.75,78.85,78.6,78.6,65004
78.6,78.75,78.6,78.7,22196
78.65,78.95,78.65,78.8,91217
78.75,78.9,78.7,78.8,42689
78.9,78.95,78.55,78.55,96794
78.55,78.65,78.35,78.4,53832
78.4,78.6,78.4,78.55,58545
78.55,78.75,78.55,78.7,39338
78.8,78.9,78.7,78.9,52356
78.9,78.9,78.55,78.55,67045
78.55,78.65,78.5,78.55,39981
78.55,78.65,78.5,78.65,38652
78.65,78.9,78.65,78.9,83596
78.9,78.95,78.7,78.95,135449
78.9,78.95,78.85,78.95,104510
78.95,79.2,78.85,78.95,282928
79.0,79.25,78.9,79.25,63715
79.25,79.4,79.15,79.35,139525
79.35,79.35,78.9,78.9,139454
78.9,78.95,78.8,78.9,73000
78.9,78.95,78.85,78.85,32022
78.85,79.1,78.85,79.1,48601
79.1,79.2,78.95,79.15,56802
79.15,79.4,79.15,79.3,76220
79.3,79.45,79.3,79.35,76383
79.3,79.45,79.3,79.4,66807
79.4,79.4,79.1,79.3,105352
79.2,79.4,79.15,79.35,51091
79.4,79.7,79.4,79.65,190197
79.6,79.9,79.55,79.85,144859
79.8,79.85,79.65,79.8,179221
79.75,79.95,79.75,79.85,70098
79.9,80.0,79.85,79.95,120074
79.9,79.95,79.4,79.4,423254
79.4,79.75,79.35,79.65,77077
79.65,79.9,79.6,79.85,75376
79.85,79.85,79.7,79.7,38362
79.7,79.85,79.55,79.8,86276
79.85,80.1,79.8,80.1,216655
80.1,80.2,79.95,80.15,194258
80.15,80.35,80.1,80.2,143553
80.15,80.35,80.05,80.3,130584
80.2,80.5,80.2,80.4,122793
80.4,80.6,80.4,80.6,207635
80.6,80.6,80.35,80.35,101944
80.4,80.5,80.3,80.35,72907
80.35,80.5,80.3,80.35,137335
80.45,80.5,80.35,80.45,52578
80.35,80.8,80.35,80.6,142683
80.6,80.6,80.35,80.35,120153
80.4,80.4,80.25,80.3,94684
80.25,80.3,80.0,80.0,115064
80.05,80.45,80.05,80.4,55490
80.4,80.5,80.35,80.4,93309
80.35,80.55,80.35,80.5,142637
80.5,80.5,80.4,80.45,38789
80.5,80.55,80.4,80.45,48072
80.45,80.75,80.45,80.65,80272
80.65,80.65,80.55,80.55,37343
80.5,80.75,80.5,80.75,52305
80.7,80.8,80.65,80.8,51817
80.75,80.8,80.65,80.7,127647
80.65,80.9,80.65,80.8,120565
80.8,80.9,80.7,80.7,63105
80.7,80.8,80.35,80.35,85949
80.4,80.45,80.25,80.4,154778
80.4,80.45,80.35,80.45,43044
80.45,80.5,80.35,80.45,129265
80.45,80.45,80.15,80.15,76488
80.2,80.25,80.05,80.05,80263
80.15,80.2,80.1,80.15,64759
80.1,80.15,80.0,80.1,84096
80.1,80.5,80.1,80.4,95481
80.5,80.65,80.4,80.5,81794
80.55,80.55,80.35,80.4,25087
80.35,80.45,80.25,80.3,27195
80.3,80.4,80.2,80.2,26423
80.25,80.25,80.1,80.1,25142
80.1,80.15,80.0,80.05,80793
80.05,80.3,80.0,80.3,67949
80.3,80.3,80.2,80.25,13239
80.25,80.3,80.1,80.3,34810
80.2,80.45,80.2,80.3,46279
80.3,80.4,80.15,80.2,30517
80.15,80.35,80.15,80.25,8476
80.25,80.3,80.25,80.25,10171
80.2,80.3,80.2,80.3,8654
80.3,80.3,80.2,80.3,30406
80.3,80.4,80.2,80.4,28311
80.4,80.4,80.25,80.3,12931
80.3,80.5,80.25,80.45,39211
80.45,80.45,80.3,80.4,20659
80.4,80.45,80.35,80.45,6904
80.4,80.5,80.4,80.45,45931
80.4,80.45,80.3,80.3,57578
80.3,80.35,80.2,80.2,18252
80.3,80.3,80.1,80.15,61129
80.15,80.2,80.1,80.15,69981
80.15,80.2,80.0,80.0,47637
80.05,80.05,79.95,80.0,122584
80.0,80.15,80.0,80.15,26601
80.15,80.15,80.0,80.05,45099
80.05,80.15,80.0,80.1,32744
80.1,80.25,80.05,80.25,30731
80.15,80.35,80.1,80.35,70131
80.3,80.35,80.2,80.3,15896
80.25,80.3,80.15,80.15,24551
80.15,80.25,80.15,80.15,14055
80.15,80.2,80.05,80.1,29105
80.1,80.1,80.0,80.05,14639
80.05,80.1,80.0,80.0,59379
80.05,80.15,80.0,80.1,17755
80.1,80.2,80.05,80.15,13496
80.15,80.15,80.0,80.0,30774
80.05,80.1,80.0,80.05,9915
80.05,80.25,80.05,80.2,44805
80.25,80.35,80.2,80.3,87574
80.25,80.3,80.2,80.25,8969
80.25,80.3,80.15,80.3,37261
80.3,80.3,80.15,80.2,18276
80.2,80.2,79.95,79.95,68681
79.95,80.1,79.9,80.0,64417
80.1,80.2,80.0,80.15,27442
80.15,80.25,80.1,80.25,23508
80.25,80.25,80.15,80.2,11343
80.2,80.2,80.0,80.0,22312
80.0,80.05,80.0,80.0,21887
80.0,80.1,80.0,80.1,18519
80.1,80.2,80.05,80.1,18857
80.1,80.15,80.05,80.1,6891
80.1,80.1,79.75,79.85,101858
79.9,79.95,79.75,79.75,48163
79.75,79.85,79.55,79.75,151661
79.75,79.75,79.55,79.65,48728
79.65,79.7,79.55,79.55,44188
79.6,79.65,79.55,79.55,65740
79.55,79.75,79.55,79.7,75839
79.7,79.75,79.65,79.7,22556
79.7,79.75,79.4,79.4,146423
79.4,79.55,79.4,79.5,45794
79.5,79.6,79.45,79.6,28096
79.6,79.65,79.5,79.6,57595
79.55,79.8,79.55,79.75,39941
79.75,79.85,79.7,79.8,79736
79.8,79.85,79.7,79.75,25540
79.7,79.75,79.7,79.75,23319
79.75,79.85,79.75,79.85,15842
79.85,79.85,79.75,79.8,15531
79.8,80.05,79.8,80.0,66139
80.05,80.1,80.0,80.1,79792
80.05,80.15,80.05,80.1,40458
80.15,80.15,80.0,80.05,34102
80.05,80.05,80.0,80.05,23358
