open,high,low,close
365.7,365.8,365.65,365.65
365.8,365.8,365.4,365.6
365.5,365.5,365.0,365.05
365.1,365.2,365.0,365.0
365.1,365.15,365.0,365.15
365.05,365.15,365.0,365.1
365.1,365.15,364.9,365.1
365.0,365.75,364.9,365.6
365.65,366.4,365.5,366.3
366.4,366.5,366.25,366.5
366.4,366.5,365.75,366.1
366.05,367.15,366.05,366.45
366.5,366.8,366.3,366.3
366.35,366.4,366.2,366.25
366.2,366.35,366.0,366.1
366.15,366.4,366.1,366.2
366.1,366.15,365.9,366.05
366.05,366.5,365.9,366.5
366.35,366.4,365.65,365.65
365.6,365.6,365.25,365.55
365.5,365.5,364.9,365.05
365.05,365.25,365.0,365.0
364.95,365.2,364.95,365.1
365.25,365.35,365.0,365.0
365.1,365.15,364.85,365.0
365.05,365.15,364.9,365.1
365.1,365.1,364.9,365.0
365.0,365.3,364.9,365.15
365.3,365.3,364.65,364.65
364.7,364.9,364.5,364.7
364.8,365.0,364.7,364.95
364.95,365.3,364.9,365.3
365.2,366.25,365.2,366.2
366.05,366.3,366.0,366.15
366.2,366.75,366.15,366.35
366.6,366.6,365.95,366.05
366.05,366.25,365.95,366.15
366.25,366.7,366.2,366.55
366.55,366.85,366.45,366.6
366.65,366.75,366.55,366.75
366.9,367.0,366.5,366.5
366.7,366.75,366.2,366.4
366.25,366.6,366.25,366.55
366.6,366.6,366.15,366.3
366.1,366.2,365.9,366.0
365.9,366.0,365.85,365.9
365.95,365.95,365.75,365.75
365.75,365.9,365.75,365.8
365.8,366.1,365.8,366.0
366.0,366.5,366.0,366.45
366.45,366.55,366.35,366.5
366.4,366.75,366.35,366.75
366.7,367.2,366.7,367.15
367.3,367.4,367.15,367.15
367.15,367.7,367.05,367.5
367.6,368.1,367.6,368.05
368.15,368.15,367.55,367.85
367.9,368.0,367.8,367.9
367.85,368.0,367.75,367.9
367.85,367.9,367.55,367.65
367.6,368.0,367.6,368.0
367.85,368.2,367.85,368.2
368.1,368.15,367.8,368.0
367.95,368.5,367.95,368.35
368.35,368.8,368.35,368.7
368.7,369.0,368.6,369.0
369.0,369.35,368.8,368.8
368.75,368.9,368.5,368.85
368.9,369.0,368.65,368.9
369.0,369.5,369.0,369.5
369.4,369.5,368.65,368.7
368.6,368.85,368.55,368.7
368.75,368.95,368.55,368.75
368.8,369.25,368.8,368.95
369.0,369.0,368.6,368.6
368.6,368.65,368.4,368.5
368.5,368.5,368.0,368.2
368.2,368.55,368.1,368.4
368.5,368.9,368.45,368.8
368.8,368.85,368.55,368.7
368.75,369.1,368.65,368.95
369.1,369.1,368.8,369.0
368.95,369.0,368.75,368.8
368.75,369.0,368.5,368.9
369.0,369.5,368.95,369.3
369.3,369.35,369.05,369.1
369.1,369.25,368.8,368.8
368.95,368.95,368.65,368.75
368.75,368.85,368.7,368.75
368.8,368.8,368.5,368.6
368.55,368.7,368.4,368.45
368.4,368.5,368.25,368.4
368.25,368.3,368.0,368.0
368.1,368.25,367.9,368.1
368.1,368.2,368.0,368.1
368.0,368.1,367.8,367.95
367.9,367.95,367.65,367.7
367.6,367.8,367.55,367.65
367.65,367.7,367.35,367.7
367.6,367.9,367.6,367.6
367.6,367.7,367.4,367.4
367.5,367.55,367.3,367.5
367.6,367.75,367.5,367.55
367.55,367.65,367.55,367.6
367.55,367.8,367.5,367.75
367.7,368.0,367.7,368.0
368.15,368.15,367.6,367.65
367.55,367.75,367.55,367.65
367.7,367.7,367.4,367.4
367.4,367.5,367.25,367.3
367.35,367.4,367.05,367.3
367.25,367.55,367.25,367.25
367.4,367.4,367.0,367.15
367.1,367.15,367.1,367.15
367.15,367.15,366.7,367.15
367.15,367.25,366.7,366.7
366.7,366.8,366.5,366.65
366.65,366.9,366.55,366.9
366.85,366.9,366.55,366.6
366.6,366.65,366.25,366.35
366.1,366.7,366.1,366.55
366.5,366.8,366.35,366.75
366.7,366.85,366.45,366.85
366.7,367.1,366.7,367.1
367.0,367.1,366.7,366.8
366.7,366.8,366.5,366.5
366.6,366.75,366.5,366.7
366.7,366.7,366.4,366.6
366.55,366.6,366.35,366.4
366.4,366.5,366.3,366.4
366.4,366.45,366.1,366.4
366.2,366.35,366.2,366.25
366.2,366.3,366.1,366.25
366.25,366.35,366.1,366.25
366.25,366.75,366.2,366.65
366.65,366.7,366.35,366.45
366.55,366.8,366.45,366.75
366.7,366.9,366.5,366.9
366.9,366.95,366.55,366.6
366.6,366.85,366.55,366.7
366.8,366.8,366.6,366.75
366.85,367.0,366.8,367.0
366.95,367.45,366.95,367.35
367.45,367.45,367.2,367.3
367.35,367.5,367.35,367.4
367.45,367.5,367.3,367.3
367.4,367.6,367.3,367.6
367.6,367.7,367.5,367.55
367.55,367.9,367.25,367.75
