open,high,low,close
371.0,371.0,370.85,371.0
370.85,371.2,370.85,371.15
371.2,371.2,371.0,371.1
371.0,371.15,370.95,370.95
371.0,371.2,371.0,371.1
371.2,371.2,370.7,370.75
370.85,370.85,370.0,370.1
370.05,370.05,369.6,369.9
369.8,369.95,369.25,369.4
369.35,369.35,368.6,368.8
368.75,369.0,368.7,368.9
368.9,368.9,368.25,368.4
368.4,368.45,368.25,368.45
368.45,368.65,368.3,368.65
368.6,368.85,368.45,368.8
368.75,369.4,368.75,369.2
369.3,369.4,368.9,369.3
369.2,369.55,369.2,369.55
369.45,369.65,369.45,369.55
369.6,369.7,369.5,369.65
369.6,369.65,369.45,369.6
369.5,369.65,369.15,369.25
369.25,369.35,368.8,368.8
368.8,369.05,368.8,369.0
369.1,369.35,369.05,369.3
369.3,369.35,369.1,369.1
369.15,369.2,369.0,369.15
369.05,369.1,368.7,368.85
368.75,369.0,368.75,368.9
368.9,369.5,368.85,369.35
369.45,369.5,369.0,369.05
369.0,369.05,368.55,368.65
368.65,368.8,368.5,368.8
368.85,368.85,368.6,368.8
368.75,368.85,368.65,368.7
368.7,368.7,368.05,368.25
368.1,368.7,368.1,368.7
368.65,368.9,368.4,368.55
368.55,368.7,368.45,368.5
368.5,368.65,368.45,368.55
368.5,368.55,368.35,368.5
368.45,368.95,368.45,368.95
368.95,369.0,368.75,369.0
368.95,368.95,368.5,368.6
368.6,368.9,368.6,368.6
368.65,368.8,368.5,368.75
368.75,368.85,368.65,368.85
368.75,368.85,368.6,368.65
368.65,368.65,368.5,368.65
368.65,368.85,368.6,368.8
368.85,369.0,368.7,368.95
368.95,368.95,368.7,368.95
368.8,368.9,368.75,368.9
368.75,368.9,368.4,368.4
368.4,368.5,368.35,368.35
368.4,368.4,368.1,368.25
368.15,368.35,368.15,368.3
368.35,368.5,368.3,368.5
368.5,368.6,368.4,368.45
368.4,368.5,368.2,368.2
368.0,368.05,367.6,367.6
367.5,367.65,366.2,366.45
366.35,366.8,366.35,366.75
366.5,367.0,366.5,366.95
366.9,367.1,366.7,367.1
366.9,367.05,366.45,367.0
366.95,367.2,366.95,367.15
367.1,367.4,367.1,367.3
367.25,367.6,367.25,367.6
367.4,367.5,366.7,366.8
366.8,367.0,366.8,367.0
366.9,367.1,366.8,367.1
367.0,367.45,367.0,367.1
367.1,367.2,366.7,366.75
366.7,366.9,366.6,366.75
366.75,366.9,366.7,366.85
366.85,366.85,366.7,366.7
366.7,366.75,366.6,366.7
366.7,367.1,366.5,367.05
367.0,367.05,366.65,366.9
367.0,367.35,366.95,367.3
367.3,367.4,367.25,367.3
367.3,367.6,367.2,367.5
367.5,367.6,367.35,367.35
367.5,367.7,367.35,367.65
367.6,367.65,367.5,367.55
367.55,367.55,367.1,367.1
367.2,367.3,367.0,367.25
367.3,367.45,367.2,367.45
367.35,367.45,367.0,367.05
367.0,367.1,366.75,366.9
366.9,366.9,366.05,366.05
