open,high,low,close
320.65,320.7,320.65,320.7
320.8,321.0,320.25,320.6
320.5,320.7,320.3,320.55
320.55,320.6,320.25,320.25
320.25,321.4,320.25,321.25
321.35,321.75,321.2,321.35
321.3,321.7,321.3,321.7
321.8,322.15,321.8,322.05
322.1,322.3,321.95,322.0
322.0,322.05,321.25,321.4
321.3,321.4,320.9,321.35
321.35,321.5,321.05,321.2
321.1,321.1,320.05,320.3
320.4,320.8,320.2,320.7
320.6,321.0,320.55,320.85
321.0,321.0,320.7,320.8
320.9,321.25,320.9,321.0
321.0,321.4,320.75,321.4
321.35,321.4,321.0,321.15
321.1,321.35,321.0,321.35
321.8,321.8,321.0,321.05
321.0,321.05,320.2,320.2
320.25,320.75,320.2,320.45
320.45,320.7,320.0,320.05
320.05,320.2,320.0,320.05
320.05,320.35,320.0,320.35
320.2,320.35,320.2,320.25
320.25,320.35,320.0,320.0
320.05,320.2,319.35,319.65
319.75,320.0,319.65,319.75
319.65,320.05,319.55,320.05
320.05,320.85,319.8,320.75
320.8,321.45,320.65,321.05
321.1,321.35,320.8,321.2
321.35,321.35,320.8,321.0
320.85,321.35,320.85,321.3
321.15,321.45,321.1,321.2
321.15,321.35,321.15,321.25
321.25,321.3,321.05,321.1
321.1,321.6,321.05,321.55
321.55,321.55,321.05,321.1
321.1,321.35,320.8,321.25
321.15,322.0,321.1,321.95
321.9,322.5,321.75,322.25
322.0,322.35,321.95,322.3
322.35,322.35,322.05,322.05
322.05,322.5,322.0,322.5
322.6,323.15,322.55,322.85
322.6,322.95,322.55,322.8
322.85,322.85,322.6,322.6
322.75,322.8,322.3,322.35
322.35,322.4,322.05,322.3
322.2,322.4,322.1,322.35
322.35,322.4,321.8,321.8
321.95,322.2,321.7,322.2
322.05,322.2,321.85,321.9
321.8,322.2,321.55,322.2
322.3,322.8,322.3,322.75
322.7,322.95,322.3,322.45
322.45,322.45,321.95,322.1
322.2,322.7,322.0,322.7
322.55,322.65,322.2,322.2
322.35,322.65,322.2,322.65
322.55,322.9,322.55,322.8
322.9,323.15,322.75,322.9
322.9,323.35,322.9,323.2
323.25,323.3,323.0,323.0
323.1,323.2,322.8,323.0
322.9,323.1,322.85,323.1
323.1,323.1,322.55,322.55
322.7,322.7,322.2,322.25
322.35,322.55,322.25,322.45
322.4,322.5,322.1,322.1
322.15,322.3,322.05,322.1
322.1,322.3,322.0,322.25
322.3,322.4,322.2,322.35
322.25,322.35,322.05,322.25
322.2,322.35,322.0,322.25
322.25,322.45,322.25,322.4
322.35,322.4,322.2,322.3
322.3,322.35,322.1,322.15
322.2,322.25,322.0,322.2
322.2,322.3,322.0,322.0
322.0,322.1,321.8,322.0
322.05,322.3,321.9,322.05
322.2,322.2,322.0,322.15
322.2,322.2,322.0,322.05
322.05,322.15,321.9,321.95
321.95,321.95,321.6,321.75
321.8,322.1,321.8,321.95
321.8,321.9,321.7,321.7
321.7,321.8,321.5,321.65
321.6,321.65,321.3,321.3
321.3,321.75,321.15,321.6
321.8,321.85,321.65,321.75
321.75,321.85,321.65,321.75
321.75,321.85,321.4,321.4
321.5,321.6,321.35,321.45
321.4,321.45,321.2,321.3
321.25,321.4,321.2,321.2
321.2,321.2,321.0,321.0
321.0,321.15,321.0,321.15
321.1,321.4,321.1,321.2
321.4,321.45,321.25,321.45
321.3,321.45,321.25,321.45
321.4,321.7,321.4,321.7
321.7,321.85,321.55,321.65
321.65,321.75,321.55,321.7
321.7,321.8,321.55,321.7
321.8,321.8,321.6,321.7
321.75,321.75,321.65,321.7
321.65,321.75,321.5,321.5
321.55,321.6,321.0,321.0
321.15,321.15,320.35,320.35
320.35,320.4,320.15,320.15
320.15,320.35,319.7,319.85
319.85,320.0,319.7,320.0
319.95,320.2,319.9,320.05
320.1,320.1,319.75,319.8
319.75,319.85,319.15,319.25
319.15,319.85,319.05,319.85
319.75,320.35,319.1,319.45
319.1,319.65,318.55,319.55
319.5,319.55,319.0,319.15
319.05,319.5,318.5,319.5
319.55,319.95,319.5,319.9
319.85,319.95,319.4,319.9
319.85,320.5,319.85,320.1
320.25,321.0,319.7,320.0
320.0,320.4,319.9,320.05
320.05,320.3,320.05,320.2
320.1,320.15,319.5,319.6
319.6,319.8,319.55,319.6
319.65,319.85,319.55,319.6
319.55,320.05,319.55,319.9
319.9,320.0,319.7,320.0
320.0,320.2,319.8,320.15
320.15,320.2,319.85,319.9
320.0,320.0,319.75,319.75
319.75,320.3,319.75,320.3
320.3,320.6,320.3,320.45
320.5,320.5,320.25,320.3
320.4,320.7,320.35,320.55
320.6,320.9,320.55,320.8
320.8,320.9,320.5,320.6
320.65,320.85,320.55,320.7
320.7,320.8,320.65,320.65
320.8,320.95,320.7,320.95
320.95,320.95,320.75,320.75
320.7,320.8,320.6,320.6
320.8,320.8,320.5,320.75
320.75,321.2,320.65,321.2
321.1,321.3,321.0,321.1
321.15,321.15,320.4,320.5
320.6,320.6,320.1,320.3
320.3,320.35,319.8,320.0
320.0,320.1,319.85,320.0
320.0,320.25,319.9,320.15
320.3,320.35,320.15,320.25
320.25,320.35,320.1,320.15
320.15,320.4,320.15,320.35
320.25,320.45,320.2,320.45
320.35,320.75,320.35,320.65
320.7,321.2,320.65,321.1
321.35,321.35,321.1,321.25
321.3,321.3,321.1,321.2
321.15,321.4,321.15,321.3
321.2,321.4,321.2,321.3
321.3,321.5,321.3,321.5
321.4,321.6,321.4,321.6
321.6,321.6,321.45,321.5
321.55,322.0,321.35,321.95
321.95,322.45,321.95,322.4
322.5,322.5,322.35,322.4
322.4,322.8,322.4,322.7
322.75,322.75,322.35,322.35
322.5,322.5,322.3,322.3
322.3,322.6,322.1,322.6
322.6,323.0,322.6,322.95
322.95,323.0,322.65,322.65
322.8,323.15,322.7,323.1
323.15,323.8,323.0,323.7
323.65,324.15,323.65,324.05
324.1,324.65,324.1,324.55
324.75,324.85,324.0,324.0
323.95,324.0,323.8,323.9
324.0,324.7,324.0,324.6
324.35,324.55,324.25,324.4
324.25,324.65,324.25,324.45
324.4,324.5,324.15,324.25
324.2,324.35,324.15,324.25
324.15,324.15,323.8,323.8
323.9,324.1,323.85,324.0
324.1,324.1,323.9,323.95
323.9,324.3,323.9,324.3
324.3,325.0,324.3,324.95
325.0,325.0,324.85,324.95
324.95,324.95,324.5,324.65
324.6,325.2,324.6,325.2
325.15,325.45,325.1,325.4
325.35,325.5,325.2,325.45
325.45,325.6,324.75,325.0
325.0,325.0,324.5,324.55
324.55,324.75,324.5,324.65
324.7,324.75,324.0,324.0
324.05,324.3,324.05,324.15
324.2,324.3,324.2,324.2
324.25,324.3,323.85,323.85
323.8,323.95,323.65,323.9
323.9,323.95,323.55,323.55
323.5,323.7,323.4,323.5
323.55,323.6,323.4,323.5
323.4,323.5,323.35,323.4
323.45,323.45,323.2,323.35
323.3,323.4,323.2,323.3
323.3,323.4,323.2,323.4
323.4,323.7,323.35,323.6
323.7,323.8,323.55,323.7
323.8,323.9,323.45,323.5
323.4,323.6,323.3,323.45
323.45,323.6,323.15,323.15
323.2,323.35,322.75,322.9
322.9,322.9,322.6,322.75
322.75,322.85,322.65,322.75
322.5,322.6,321.75,321.8
321.85,322.1,321.8,321.8
321.85,321.9,321.5,321.6
