open,high,low,close
325.25,325.35,325.25,325.35
325.35,325.4,325.15,325.25
325.1,325.1,324.5,324.75
324.8,325.0,324.7,324.85
324.85,325.25,324.85,325.0
325.05,325.2,323.8,324.4
324.4,324.5,323.7,323.8
323.75,324.2,323.5,324.2
324.0,324.0,323.55,323.7
323.7,323.7,323.25,323.35
323.4,323.55,323.2,323.55
323.6,323.6,322.3,322.3
322.3,322.3,321.65,322.0
322.0,322.7,321.85,322.7
322.6,322.65,322.25,322.5
322.5,322.95,322.4,322.75
322.75,322.75,322.05,322.75
322.65,323.55,322.65,323.4
323.3,323.7,323.1,323.55
323.55,323.9,322.9,322.9
323.0,323.0,322.5,322.8
322.65,322.8,322.5,322.7
322.65,322.7,322.2,322.45
322.3,323.1,322.3,322.8
322.75,323.7,322.75,323.5
323.5,323.7,323.4,323.6
323.5,323.7,322.55,322.65
322.4,322.75,322.4,322.55
322.55,322.85,322.5,322.8
322.65,323.0,322.65,322.95
322.8,323.2,322.8,323.0
322.9,323.2,322.75,322.95
322.95,323.2,322.85,323.05
323.05,323.2,322.4,322.75
322.6,322.7,322.45,322.6
322.6,322.9,322.45,322.75
322.6,322.95,322.1,322.3
322.3,322.5,321.2,321.2
321.2,321.5,321.2,321.35
321.5,321.5,319.85,319.85
320.1,320.9,319.7,320.75
320.5,321.3,320.45,320.8
320.9,321.2,320.55,320.6
320.3,320.65,320.2,320.65
320.65,320.95,320.25,320.25
320.45,321.0,320.3,320.85
320.55,321.1,320.55,320.9
320.85,321.35,320.8,321.35
321.35,321.35,321.0,321.2
321.35,321.45,321.05,321.1
321.0,321.25,321.0,321.0
320.8,321.2,320.75,321.2
321.2,321.5,321.2,321.45
321.45,321.45,320.9,321.0
321.05,321.05,320.9,321.05
321.0,321.2,320.9,321.0
321.1,321.1,320.6,320.6
320.45,320.5,320.25,320.3
320.5,321.0,320.35,320.8
320.85,320.9,320.1,320.1
320.05,320.3,319.5,319.7
319.65,319.75,318.75,319.0
319.0,319.05,318.7,318.95
319.05,319.65,319.0,319.65
319.65,319.65,319.1,319.5
319.3,319.75,319.25,319.65
319.8,320.3,319.7,320.05
319.8,320.2,319.8,320.05
320.05,320.05,319.75,319.95
320.0,320.1,319.6,320.1
320.1,320.25,320.0,320.15
320.15,320.7,320.15,320.65
320.65,320.9,320.55,320.75
320.85,320.9,320.0,320.0
320.2,320.2,320.0,320.1
320.0,320.15,319.85,320.0
320.0,320.0,319.45,319.45
319.45,319.45,319.1,319.3
319.4,319.8,319.15,319.8
319.8,319.9,318.75,318.75
318.9,319.0,318.65,318.85
318.7,319.2,318.6,319.0
319.2,319.7,318.95,319.6
319.75,320.1,319.55,320.0
320.1,320.65,320.1,320.5
320.55,320.55,319.65,319.65
319.7,319.7,319.4,319.6
319.25,319.5,319.0,319.3
319.35,319.5,319.25,319.5
319.5,319.5,318.9,318.9
318.9,319.4,318.7,319.05
319.0,319.05,318.75,318.85
318.85,319.0,318.6,318.6
318.5,318.6,317.55,317.55
317.5,317.95,317.5,317.75
317.6,317.65,317.35,317.6
317.65,318.35,317.6,318.1
318.1,318.35,318.0,318.35
318.3,318.5,318.15,318.25
318.15,318.3,318.0,318.1
318.25,318.35,318.15,318.15
318.0,318.35,318.0,318.35
318.3,318.5,318.2,318.5
318.5,318.55,318.25,318.45
318.1,318.5,318.1,318.2
318.25,318.65,318.15,318.65
318.8,319.0,318.6,318.75
318.7,318.7,318.1,318.35
318.5,318.55,318.0,318.1
318.15,318.35,318.05,318.25
318.2,318.35,318.05,318.05
318.2,318.25,317.7,317.75
317.6,317.7,317.2,317.4
317.5,317.6,317.15,317.25
317.15,317.3,317.0,317.0
317.2,317.65,317.1,317.4
317.35,317.75,317.35,317.7
317.55,318.1,317.55,317.95
317.85,317.85,317.6,317.8
317.7,318.45,317.7,318.0
