open,high,low,close
291.5,291.95,291.5,291.85
291.75,291.95,291.35,291.35
291.5,291.55,290.7,290.8
290.9,290.9,290.1,290.2
290.1,290.25,289.85,289.9
290.0,290.75,289.85,290.7
290.7,290.7,289.9,290.0
289.9,290.3,289.9,290.3
290.3,290.3,289.9,290.0
290.0,290.2,290.0,290.1
290.05,290.05,289.75,289.75
289.75,289.85,289.65,289.7
289.65,289.7,289.2,289.4
289.4,289.4,289.05,289.15
289.0,289.65,288.3,289.35
289.45,289.75,289.4,289.55
289.5,289.6,289.3,289.3
289.3,289.35,289.15,289.25
289.3,289.55,289.1,289.3
289.1,289.3,289.1,289.15
289.1,289.1,288.6,288.6
288.7,288.7,288.0,288.0
288.0,288.75,287.95,288.3
288.2,288.3,288.0,288.05
288.25,288.45,288.05,288.3
288.45,289.0,288.2,288.75
288.8,289.4,288.75,289.4
289.4,289.45,289.3,289.4
289.3,289.5,289.3,289.45
289.3,289.45,289.05,289.05
289.15,289.3,289.0,289.15
289.15,289.25,289.1,289.1
289.2,289.45,289.2,289.45
289.45,289.45,289.25,289.4
289.4,289.5,289.25,289.25
289.3,289.95,289.2,289.95
289.95,290.2,289.8,290.0
290.0,290.7,290.0,290.7
290.8,290.85,290.5,290.5
290.6,290.6,290.4,290.4
290.4,290.65,290.25,290.35
290.35,290.5,290.15,290.25
290.35,290.65,290.3,290.65
290.55,290.7,290.4,290.4
290.55,290.55,290.3,290.35
290.35,290.35,289.8,289.9
289.9,289.9,289.5,289.5
289.5,289.55,289.15,289.15
289.15,289.95,289.15,289.9
289.9,290.55,289.9,290.5
290.55,290.55,290.0,290.0
289.95,290.0,289.6,289.8
289.8,289.95,289.6,289.65
289.6,289.7,289.4,289.4
289.4,289.4,289.25,289.35
289.35,289.4,289.15,289.2
289.2,289.2,289.0,289.2
289.2,289.4,289.1,289.4
289.4,289.45,289.2,289.25
289.1,289.15,288.6,288.85
288.85,288.95,288.85,288.95
288.9,289.05,288.9,289.05
289.05,289.45,289.05,289.3
289.3,289.3,289.2,289.2
289.2,289.2,288.9,289.05
289.05,289.15,288.9,289.15
289.15,289.2,289.0,289.1
289.15,289.2,289.0,289.15
289.15,289.15,289.05,289.1
289.1,289.2,289.05,289.15
289.05,289.15,288.95,289.0
289.05,289.35,289.05,289.3
289.3,289.35,289.2,289.35
289.35,289.65,289.3,289.6
289.6,289.75,289.55,289.6
289.75,290.5,289.75,290.5
290.4,290.5,290.3,290.35
290.35,290.9,290.3,290.7
290.85,291.25,290.75,291.2
291.15,291.15,290.95,291.05
291.1,291.1,290.75,290.85
290.85,291.3,290.85,291.05
291.15,291.15,290.55,290.55
290.5,291.0,290.5,290.9
290.8,291.2,290.75,291.15
291.15,291.2,290.9,290.9
291.0,291.0,290.75,290.75
290.8,291.35,290.7,291.15
291.25,291.5,291.05,291.5
291.3,291.65,291.3,291.3
291.3,291.35,291.0,291.0
291.0,291.0,290.7,290.7
290.7,290.85,290.5,290.5
290.5,290.5,290.25,290.3
290.25,290.25,289.95,290.0
290.0,290.0,289.85,289.85
289.7,289.85,289.7,289.7
289.7,289.75,289.65,289.65
289.75,289.75,289.55,289.65
289.55,289.7,289.55,289.65
289.65,289.65,289.5,289.5
289.6,289.7,289.5,289.55
289.55,289.7,289.5,289.55
289.5,289.6,289.5,289.55
289.6,289.65,289.5,289.6
289.55,289.65,289.55,289.65
289.65,289.65,289.5,289.55
289.55,289.55,289.5,289.5
289.5,289.55,289.25,289.25
289.35,289.35,289.25,289.25
289.25,289.8,289.25,289.7
289.7,289.85,289.65,289.8
289.8,289.8,289.2,289.2
289.15,289.25,289.1,289.1
289.1,289.1,288.6,288.6
288.7,289.2,288.5,288.65
288.65,288.65,288.4,288.6
288.5,288.8,288.4,288.75
288.6,288.65,288.35,288.35
288.4,288.45,288.35,288.35
288.35,288.8,288.35,288.6
288.6,288.6,288.35,288.45
288.3,288.4,288.25,288.25
288.25,288.35,288.2,288.25
