open,high,low,close
284.7,284.7,284.7,284.7
284.6,285.0,284.6,285.0
284.75,284.95,284.5,284.7
284.8,285.2,284.75,284.75
284.8,285.1,284.65,285.0
284.75,284.95,283.4,283.4
283.75,283.85,283.25,283.4
283.45,283.45,282.95,283.25
283.0,283.05,282.1,282.15
282.1,282.6,281.7,282.25
282.3,282.6,282.1,282.2
282.1,282.2,281.05,281.05
280.8,280.95,279.85,279.85
280.0,280.15,279.5,280.1
280.1,280.4,279.25,279.4
279.95,280.75,279.95,280.7
280.85,281.65,280.85,281.2
281.2,281.6,281.0,281.4
281.55,281.65,281.05,281.65
281.6,281.8,281.35,281.35
281.25,281.8,281.05,281.7
281.65,281.85,281.45,281.55
281.6,281.7,281.35,281.4
281.4,281.9,281.3,281.85
281.85,282.9,281.85,282.7
282.6,282.6,282.2,282.3
282.55,282.6,281.7,281.8
281.7,282.2,281.7,281.9
281.9,282.45,281.7,282.4
282.3,282.45,282.05,282.45
282.45,282.5,282.2,282.25
282.25,282.35,282.05,282.15
282.15,282.15,282.05,282.05
282.15,282.15,282.0,282.05
282.05,282.1,281.7,281.7
281.7,281.9,281.0,281.0
281.0,281.05,280.9,281.0
280.85,281.15,280.45,280.45
280.6,280.6,280.15,280.15
280.3,280.35,279.7,279.7
279.55,280.3,279.5,280.2
280.5,281.0,280.35,281.0
281.05,281.3,280.2,280.45
280.25,280.4,279.5,279.7
279.8,280.6,279.8,280.45
280.55,280.65,279.9,279.9
279.95,280.2,279.8,280.2
280.2,280.4,280.1,280.25
280.25,280.25,280.1,280.2
280.2,280.2,279.95,280.1
280.05,280.3,280.05,280.15
280.1,280.35,279.95,280.05
280.05,280.9,280.0,280.9
280.75,280.85,280.25,280.3
280.15,280.4,280.1,280.35
280.4,280.4,280.05,280.05
280.05,280.1,279.9,280.0
280.0,280.0,279.45,279.45
279.45,279.8,279.25,279.6
279.6,279.6,279.0,279.0
279.0,279.1,278.4,278.8
278.8,278.9,278.5,278.65
278.7,278.7,278.4,278.55
278.45,278.7,278.45,278.6
278.6,278.7,278.5,278.65
278.65,278.9,278.6,278.9
278.95,279.25,278.9,278.9
279.0,279.0,278.75,278.75
278.75,278.75,278.05,278.05
278.05,278.15,277.85,277.95
277.95,278.3,277.9,278.3
278.3,278.7,278.3,278.7
278.7,279.5,278.5,279.4
279.4,279.65,279.2,279.45
279.45,279.6,279.35,279.5
279.55,280.05,279.55,279.9
279.9,279.9,279.5,279.6
279.6,279.6,279.2,279.2
279.2,279.2,278.85,279.0
278.8,279.0,278.8,279.0
279.0,279.0,278.75,278.85
278.85,278.9,278.8,278.9
278.9,278.95,278.65,278.85
278.75,278.85,278.4,278.4
278.45,278.55,278.4,278.5
278.5,278.55,278.2,278.3
278.2,278.35,278.05,278.05
278.05,278.3,278.05,278.2
278.2,278.3,277.95,278.0
278.2,278.25,277.95,278.05
277.95,278.0,277.8,277.85
277.85,277.95,277.7,277.7
277.8,277.85,277.7,277.85
277.7,277.85,277.65,277.85
277.75,277.9,277.7,277.7
277.7,277.8,277.05,277.05
277.1,277.35,276.9,277.2
277.2,277.35,276.8,276.95
277.1,277.3,276.95,277.25
277.15,277.15,276.8,276.95
276.85,276.95,276.75,276.75
276.75,277.0,276.75,276.8
276.75,277.0,276.6,277.0
277.05,277.6,276.85,277.6
277.45,277.65,277.2,277.45
277.35,278.0,277.35,278.0
278.0,278.7,278.0,278.7
278.7,278.7,278.15,278.4
278.45,278.45,278.25,278.3
278.3,278.5,278.25,278.5
278.45,278.45,277.55,277.7
277.7,277.7,276.8,276.8
277.0,277.0,276.8,276.9
276.85,276.9,276.6,276.6
276.65,276.65,276.45,276.45
276.45,276.45,276.15,276.25
276.1,276.8,276.1,276.8
276.7,277.35,276.7,277.1
277.35,277.45,276.95,276.95
277.2,277.55,277.0,277.4
277.25,277.5,276.9,276.9
276.9,277.35,276.9,277.1
277.2,277.5,277.05,277.5
277.5,277.9,277.45,277.75
277.75,277.8,277.1,277.1
277.05,277.15,277.05,277.05
277.1,277.15,276.85,276.85
276.8,276.85,276.2,276.25
276.35,276.6,276.2,276.4
276.5,276.55,276.0,276.05
276.0,276.2,275.45,275.75
275.85,276.0,275.15,275.15
275.15,275.3,275.0,275.25
275.35,275.7,275.25,275.7
275.7,276.5,275.65,276.35
276.35,276.8,276.2,276.45
276.45,276.45,275.65,275.7
275.7,276.0,275.65,276.0
275.95,276.35,275.85,275.9
275.95,276.15,275.8,276.05
276.05,276.1,275.65,275.9
275.95,276.0,275.45,275.65
275.5,275.7,275.5,275.7
275.7,275.95,275.65,275.95
275.95,276.0,275.7,275.85
275.95,276.2,275.9,275.95
275.95,275.95,275.7,275.8
275.75,276.0,275.7,275.95
276.1,276.8,276.1,276.8
276.8,276.85,276.05,276.3
276.35,276.75,276.35,276.6
276.6,276.75,276.35,276.35
276.5,276.5,276.0,276.1
276.1,276.25,276.0,276.25
276.3,276.9,276.3,276.8
276.8,277.15,276.55,277.0
277.1,277.35,277.0,277.35
277.25,277.35,276.85,276.85
276.7,276.75,276.5,276.7
276.9,277.05,276.35,276.55
276.55,276.55,276.3,276.4
276.3,276.55,276.2,276.5
276.55,276.55,276.25,276.4
276.3,276.7,276.3,276.6
276.55,276.65,276.0,276.25
276.25,276.25,276.05,276.2
