open,high,low,close
187.7,187.9,187.7,187.85
187.65,187.7,187.2,187.3
187.35,187.8,187.35,187.65
187.65,188.2,187.65,188.15
188.2,188.3,187.75,187.75
187.85,187.9,187.75,187.75
187.8,188.5,187.8,188.2
188.1,188.4,188.05,188.25
188.25,188.7,188.25,188.5
188.45,188.65,188.4,188.4
188.45,188.6,188.3,188.5
188.5,188.5,187.75,188.0
188.1,188.35,188.0,188.2
188.3,188.3,187.5,187.6
187.75,187.9,187.7,187.9
187.65,188.2,187.65,188.15
188.0,188.15,187.85,188.0
188.0,188.3,187.85,188.05
187.95,188.1,187.9,188.1
188.1,188.2,188.0,188.1
188.1,188.15,187.9,188.0
188.1,188.2,187.9,187.9
187.9,188.1,187.9,188.0
188.0,188.5,188.0,188.5
188.5,188.5,188.2,188.25
188.25,188.25,188.0,188.1
188.05,188.15,187.9,187.9
187.9,188.1,187.9,188.05
188.1,188.45,188.05,188.25
188.3,188.4,188.25,188.25
188.2,188.25,187.95,187.95
188.0,188.0,187.7,187.8
187.85,188.3,187.8,188.2
188.2,188.25,188.05,188.1
187.9,187.95,187.65,187.7
187.65,187.8,187.4,187.5
187.55,187.75,187.55,187.7
187.65,187.75,187.55,187.6
187.7,187.7,187.5,187.5
187.5,187.7,187.45,187.65
187.7,187.7,187.35,187.4
187.35,187.5,187.35,187.45
187.55,187.75,187.45,187.45
187.5,187.5,187.3,187.45
187.35,187.4,187.3,187.4
187.45,187.45,187.35,187.45
187.3,187.45,187.3,187.4
187.45,187.55,186.8,187.0
186.85,186.95,186.55,186.7
186.8,186.95,186.65,186.8
186.85,187.3,186.85,187.1
187.15,187.3,187.1,187.25
187.25,187.25,186.75,186.85
186.85,186.95,186.75,186.9
186.9,187.2,186.9,187.0
187.0,187.0,186.8,186.85
186.95,187.0,186.85,186.9
186.85,186.95,186.85,186.9
187.15,187.2,187.05,187.1
187.15,187.15,187.05,187.1
187.05,187.15,186.7,186.85
186.75,186.85,186.65,186.85
186.85,186.85,186.75,186.85
187.0,187.0,186.85,186.95
186.9,186.95,186.75,186.85
186.95,187.1,186.95,186.95
187.0,187.0,186.35,186.55
186.5,186.65,186.4,186.5
186.55,186.6,186.4,186.55
186.45,186.65,186.45,186.45
186.6,186.65,186.5,186.55
186.6,186.6,186.45,186.6
186.6,186.65,186.5,186.5
186.65,186.9,186.55,186.9
186.9,186.9,186.8,186.85
186.85,186.95,186.85,186.95
186.95,186.95,186.45,186.45
186.45,186.45,186.15,186.4
186.4,186.65,186.4,186.5
186.55,186.65,186.5,186.5
186.5,186.65,186.5,186.5
186.45,186.6,186.3,186.5
186.5,186.6,186.5,186.55
186.55,186.7,186.55,186.7
186.65,186.75,186.25,186.3
186.3,186.5,186.25,186.45
