open,high,low,close
193.1,193.1,193.1,193.1
193.1,193.15,193.0,193.1
193.05,193.1,192.85,192.95
192.9,192.9,192.7,192.7
192.6,192.65,192.4,192.45
192.5,192.95,192.5,192.8
192.8,192.85,192.6,192.6
192.6,192.65,192.5,192.65
192.65,192.65,192.5,192.5
192.45,192.55,192.3,192.35
192.35,192.4,192.15,192.2
192.05,192.15,191.75,192.0
192.0,192.0,191.85,192.0
191.95,192.0,191.8,191.9
191.8,191.95,191.8,191.85
191.85,191.9,191.7,191.8
191.8,191.85,191.7,191.75
191.75,193.0,191.75,193.0
193.0,193.0,192.2,192.4
192.25,192.4,192.2,192.3
192.35,192.5,192.35,192.4
192.35,192.4,192.15,192.15
192.2,192.2,192.1,192.15
192.1,192.15,192.05,192.1
192.15,192.5,192.1,192.35
192.35,192.4,192.0,192.15
192.15,192.15,192.0,192.1
192.1,192.2,192.05,192.2
192.2,192.2,192.05,192.1
192.1,192.15,192.05,192.1
192.1,192.1,192.05,192.1
192.05,192.1,192.0,192.05
192.05,192.1,192.0,192.0
192.0,192.1,191.7,191.7
191.7,191.8,191.7,191.75
191.8,191.8,191.5,191.55
191.55,191.6,191.25,191.4
191.4,192.0,191.4,191.65
191.7,191.8,191.7,191.75
191.8,192.0,191.8,191.9
191.85,191.9,191.75,191.85
191.9,192.2,191.85,192.05
192.1,192.15,192.0,192.0
192.0,192.0,191.8,191.85
191.85,191.95,191.85,191.85
191.85,191.95,191.8,191.9
191.9,191.95,191.65,191.65
191.8,191.8,191.65,191.65
191.65,191.7,191.5,191.6
191.6,191.75,191.6,191.7
191.65,191.7,191.65,191.7
191.7,191.7,191.3,191.45
191.45,191.6,191.45,191.55
191.55,191.6,191.35,191.35
191.3,191.5,191.3,191.3
191.35,191.4,191.35,191.4
191.4,191.45,191.3,191.35
191.35,191.5,191.3,191.5
191.4,191.45,191.3,191.35
191.35,191.5,191.3,191.3
191.3,191.45,191.3,191.35
191.35,191.35,191.15,191.15
191.2,191.2,191.0,191.1
191.1,191.25,191.05,191.15
191.15,191.2,191.1,191.15
191.15,191.2,191.15,191.15
191.15,191.25,191.15,191.25
191.25,191.35,191.25,191.35
191.4,191.45,191.25,191.35
191.35,191.5,191.35,191.4
191.45,191.55,191.4,191.5
191.5,191.7,191.5,191.7
191.7,191.75,191.55,191.6
191.6,191.7,191.4,191.4
191.5,191.5,191.3,191.35
191.45,191.45,191.3,191.35
191.4,191.4,191.0,191.0
191.0,191.05,190.8,190.95
190.9,190.9,190.8,190.85
190.8,190.9,190.8,190.9
190.9,190.9,190.65,190.85
190.8,190.8,190.65,190.7
190.7,190.95,190.65,190.95
190.95,190.95,190.75,190.75
190.75,190.9,190.7,190.9
190.9,190.95,190.8,190.9
190.9,190.95,190.85,190.95
190.9,191.0,190.9,191.0
190.95,191.1,190.9,191.1
191.15,191.15,191.0,191.1
191.1,191.1,191.0,191.05
191.1,191.1,191.0,191.05
191.05,191.05,191.0,191.0
191.05,191.1,190.9,191.0
191.0,191.0,190.65,190.65
190.7,190.7,190.55,190.55
190.65,190.65,190.45,190.55
190.55,190.55,190.3,190.45
190.45,190.5,190.4,190.5
190.5,190.6,190.5,190.6
190.6,190.75,190.55,190.75
190.8,190.95,190.75,190.9
190.95,191.0,190.85,190.85
190.95,191.2,190.95,191.0
191.15,191.15,190.9,190.9
190.9,190.95,190.7,190.8
190.7,190.7,190.6,190.7
190.65,190.7,190.45,190.45
190.5,190.5,190.35,190.35
190.35,190.4,189.9,190.1
190.2,190.2,190.0,190.1
190.1,190.2,190.0,190.1
190.1,190.15,189.85,189.9
189.9,189.9,189.45,189.6
189.6,189.85,189.5,189.55
189.55,189.7,189.25,189.45
189.4,189.65,189.3,189.6
189.6,189.9,189.6,189.85
189.8,189.8,189.35,189.55
189.45,189.65,189.45,189.55
189.5,189.55,189.3,189.3
189.3,189.4,189.2,189.35
189.3,189.45,189.3,189.4
189.4,189.7,189.4,189.7
189.7,189.8,189.3,189.3
189.3,189.35,189.1,189.2
189.15,189.2,189.05,189.15
189.05,189.2,188.7,188.7
188.8,189.25,188.8,189.25
189.25,189.35,189.15,189.3
189.35,189.6,189.35,189.6
189.5,189.55,189.3,189.4
189.4,189.4,189.1,189.2
189.15,189.35,189.1,189.35
189.35,189.6,189.3,189.6
189.7,189.7,189.6,189.7
189.7,189.8,189.5,189.5
189.6,189.7,189.4,189.4
189.4,189.4,189.3,189.3
189.25,189.5,189.25,189.4
189.4,189.5,189.3,189.4
